sample_name Run
CNEG021_01 200224_SN6662_A_L001_AIMI-198
CNEG021_02 200224_SN6662_A_L001_AIMI-198
CNEG021_03 200224_SN6662_A_L001_AIMI-198
CNEG021_04 200224_SN6662_A_L001_AIMI-198
CNEG021_05 200224_SN6662_A_L001_AIMI-198
CNEG021_06 200224_SN6662_A_L001_AIMI-198
CNEG021_07 200224_SN6662_A_L001_AIMI-198
CNEG021_08 200224_SN6662_A_L001_AIMI-198
CNEG021_09 200224_SN6662_A_L001_AIMI-198
CNEG021_10 200224_SN6662_A_L001_AIMI-198
CNEG021_11 200224_SN6662_A_L001_AIMI-198
CNEG021_12 200224_SN6662_A_L001_AIMI-198
SPY190553_01 200224_SN6662_A_L001_AIMI-198
SPY190553_02 200224_SN6662_A_L001_AIMI-198
SPY190553_03 200224_SN6662_A_L001_AIMI-198
SPY190553_04 200224_SN6662_A_L001_AIMI-198
SPY190553_05 200224_SN6662_A_L001_AIMI-198
SPY190553_06 200224_SN6662_A_L001_AIMI-198
SPY190553_07 200224_SN6662_A_L001_AIMI-198
SPY190553_08 200224_SN6662_A_L001_AIMI-198
SPY190553_09 200224_SN6662_A_L001_AIMI-198
SPY190553_10 200224_SN6662_A_L001_AIMI-198
SPY190553_11 200224_SN6662_A_L001_AIMI-198
SPY190553_12 200224_SN6662_A_L001_AIMI-198
SPY190554_01 200224_SN6662_A_L001_AIMI-198
SPY190554_02 200224_SN6662_A_L001_AIMI-198
SPY190554_03 200224_SN6662_A_L001_AIMI-198
SPY190554_04 200224_SN6662_A_L001_AIMI-198
SPY190554_05 200224_SN6662_A_L001_AIMI-198
SPY190554_06 200224_SN6662_A_L001_AIMI-198
SPY190554_07 200224_SN6662_A_L001_AIMI-198
SPY190554_08 200224_SN6662_A_L001_AIMI-198
SPY190554_09 200224_SN6662_A_L001_AIMI-198
SPY190554_10 200224_SN6662_A_L001_AIMI-198
SPY190554_11 200224_SN6662_A_L001_AIMI-198
SPY190554_12 200224_SN6662_A_L001_AIMI-198
SPY190557_01 200224_SN6662_A_L001_AIMI-198
