sample_name Run
SPY173250_01 180504_SND405_A_L001_AIMI-10
SPY173250_02 180504_SND405_A_L001_AIMI-10
SPY173250_03 180504_SND405_A_L001_AIMI-10
SPY173250_04 180504_SND405_A_L001_AIMI-10
SPY173250_05 180504_SND405_A_L001_AIMI-10
SPY173250_06 180504_SND405_A_L001_AIMI-10
SPY173250_07 180504_SND405_A_L001_AIMI-10
SPY173250_08 180504_SND405_A_L001_AIMI-10
SPY173250_09 180504_SND405_A_L001_AIMI-10
SPY173250_10 180504_SND405_A_L001_AIMI-10
SPY173250_11 180504_SND405_A_L001_AIMI-10
SPY173250_12 180504_SND405_A_L001_AIMI-10
SPY173251_01 180504_SND405_A_L001_AIMI-10
SPY173251_02 180504_SND405_A_L001_AIMI-10
SPY173251_03 180504_SND405_A_L001_AIMI-10
SPY173251_04 180504_SND405_A_L001_AIMI-10
SPY173251_05 180504_SND405_A_L001_AIMI-10
SPY173251_06 180504_SND405_A_L001_AIMI-10
SPY173251_07 180504_SND405_A_L001_AIMI-10
SPY173251_08 180504_SND405_A_L001_AIMI-10
SPY173251_09 180504_SND405_A_L001_AIMI-10
SPY173251_10 180504_SND405_A_L001_AIMI-10
SPY173251_11 180504_SND405_A_L001_AIMI-10
SPY173251_12 180504_SND405_A_L001_AIMI-10
SPY173252_01 180504_SND405_A_L001_AIMI-10
SPY173252_02 180504_SND405_A_L001_AIMI-10
SPY173252_03 180504_SND405_A_L001_AIMI-10
SPY173252_04 180504_SND405_A_L001_AIMI-10
SPY173252_05 180504_SND405_A_L001_AIMI-10
SPY173252_06 180504_SND405_A_L001_AIMI-10
SPY173252_07 180504_SND405_A_L001_AIMI-10
SPY173252_08 180504_SND405_A_L001_AIMI-10
SPY173252_09 180504_SND405_A_L001_AIMI-10
SPY173252_10 180504_SND405_A_L001_AIMI-10
SPY173252_11 180504_SND405_A_L001_AIMI-10
SPY173252_12 180504_SND405_A_L001_AIMI-10
