sample_name Run
SPY190390_01 200414_NB501473_A_L1-4_AIMI-219
SPY190390_02 200414_NB501473_A_L1-4_AIMI-219
SPY190390_03 200414_NB501473_A_L1-4_AIMI-219
SPY190390_04 200414_NB501473_A_L1-4_AIMI-219
SPY190390_05 200414_NB501473_A_L1-4_AIMI-219
SPY190390_06 200414_NB501473_A_L1-4_AIMI-219
SPY190390_07 200414_NB501473_A_L1-4_AIMI-219
SPY190390_08 200414_NB501473_A_L1-4_AIMI-219
SPY190390_09 200414_NB501473_A_L1-4_AIMI-219
SPY190390_10 200414_NB501473_A_L1-4_AIMI-219
SPY190390_11 200414_NB501473_A_L1-4_AIMI-219
SPY190390_12 200414_NB501473_A_L1-4_AIMI-219
SPY190393_01 200414_NB501473_A_L1-4_AIMI-219
SPY190393_02 200414_NB501473_A_L1-4_AIMI-219
SPY190393_03 200414_NB501473_A_L1-4_AIMI-219
SPY190393_04 200414_NB501473_A_L1-4_AIMI-219
SPY190393_05 200414_NB501473_A_L1-4_AIMI-219
SPY190393_06 200414_NB501473_A_L1-4_AIMI-219
SPY190393_07 200414_NB501473_A_L1-4_AIMI-219
SPY190393_08 200414_NB501473_A_L1-4_AIMI-219
SPY190393_09 200414_NB501473_A_L1-4_AIMI-219
SPY190393_10 200414_NB501473_A_L1-4_AIMI-219
SPY190393_11 200414_NB501473_A_L1-4_AIMI-219
SPY190393_12 200414_NB501473_A_L1-4_AIMI-219
SPY190411_01 200414_NB501473_A_L1-4_AIMI-219
SPY190411_02 200414_NB501473_A_L1-4_AIMI-219
SPY190411_03 200414_NB501473_A_L1-4_AIMI-219
SPY190411_04 200414_NB501473_A_L1-4_AIMI-219
SPY190411_05 200414_NB501473_A_L1-4_AIMI-219
SPY190411_06 200414_NB501473_A_L1-4_AIMI-219
SPY190411_07 200414_NB501473_A_L1-4_AIMI-219
SPY190411_08 200414_NB501473_A_L1-4_AIMI-219
SPY190411_09 200414_NB501473_A_L1-4_AIMI-219
SPY190411_10 200414_NB501473_A_L1-4_AIMI-219
SPY190411_11 200414_NB501473_A_L1-4_AIMI-219
SPY190411_12 200414_NB501473_A_L1-4_AIMI-219
SPY190453_01 200414_NB501473_A_L1-4_AIMI-219
SPY190453_02 200414_NB501473_A_L1-4_AIMI-219
SPY190453_03 200414_NB501473_A_L1-4_AIMI-219
SPY190453_04 200414_NB501473_A_L1-4_AIMI-219
SPY190453_05 200414_NB501473_A_L1-4_AIMI-219
SPY190453_06 200414_NB501473_A_L1-4_AIMI-219
SPY190453_07 200414_NB501473_A_L1-4_AIMI-219
SPY190453_08 200414_NB501473_A_L1-4_AIMI-219
SPY190453_09 200414_NB501473_A_L1-4_AIMI-219
SPY190453_10 200414_NB501473_A_L1-4_AIMI-219
SPY190453_11 200414_NB501473_A_L1-4_AIMI-219
SPY190453_12 200414_NB501473_A_L1-4_AIMI-219
SPY190458_01 200414_NB501473_A_L1-4_AIMI-219
SPY190458_02 200414_NB501473_A_L1-4_AIMI-219
SPY190458_03 200414_NB501473_A_L1-4_AIMI-219
SPY190458_04 200414_NB501473_A_L1-4_AIMI-219
SPY190458_05 200414_NB501473_A_L1-4_AIMI-219
SPY190458_06 200414_NB501473_A_L1-4_AIMI-219
SPY190458_07 200414_NB501473_A_L1-4_AIMI-219
SPY190458_08 200414_NB501473_A_L1-4_AIMI-219
SPY190458_09 200414_NB501473_A_L1-4_AIMI-219
SPY190458_10 200414_NB501473_A_L1-4_AIMI-219
SPY190458_11 200414_NB501473_A_L1-4_AIMI-219
SPY190458_12 200414_NB501473_A_L1-4_AIMI-219
SPY190461_01 200414_NB501473_A_L1-4_AIMI-219
SPY190461_02 200414_NB501473_A_L1-4_AIMI-219
SPY190461_03 200414_NB501473_A_L1-4_AIMI-219
SPY190461_04 200414_NB501473_A_L1-4_AIMI-219
SPY190461_05 200414_NB501473_A_L1-4_AIMI-219
SPY190461_06 200414_NB501473_A_L1-4_AIMI-219
SPY190461_07 200414_NB501473_A_L1-4_AIMI-219
SPY190461_08 200414_NB501473_A_L1-4_AIMI-219
SPY190461_09 200414_NB501473_A_L1-4_AIMI-219
SPY190461_10 200414_NB501473_A_L1-4_AIMI-219
SPY190461_11 200414_NB501473_A_L1-4_AIMI-219
SPY190461_12 200414_NB501473_A_L1-4_AIMI-219
SPY190463_01 200414_NB501473_A_L1-4_AIMI-219
SPY190463_02 200414_NB501473_A_L1-4_AIMI-219
SPY190463_03 200414_NB501473_A_L1-4_AIMI-219
SPY190463_04 200414_NB501473_A_L1-4_AIMI-219
SPY190463_05 200414_NB501473_A_L1-4_AIMI-219
SPY190463_06 200414_NB501473_A_L1-4_AIMI-219
SPY190463_07 200414_NB501473_A_L1-4_AIMI-219
SPY190463_08 200414_NB501473_A_L1-4_AIMI-219
SPY190463_09 200414_NB501473_A_L1-4_AIMI-219
SPY190463_10 200414_NB501473_A_L1-4_AIMI-219
SPY190463_11 200414_NB501473_A_L1-4_AIMI-219
SPY190463_12 200414_NB501473_A_L1-4_AIMI-219
SPY190465_01 200414_NB501473_A_L1-4_AIMI-219
SPY190465_02 200414_NB501473_A_L1-4_AIMI-219
SPY190465_03 200414_NB501473_A_L1-4_AIMI-219
SPY190465_04 200414_NB501473_A_L1-4_AIMI-219
SPY190465_05 200414_NB501473_A_L1-4_AIMI-219
SPY190465_06 200414_NB501473_A_L1-4_AIMI-219
SPY190465_07 200414_NB501473_A_L1-4_AIMI-219
SPY190465_08 200414_NB501473_A_L1-4_AIMI-219
SPY190465_09 200414_NB501473_A_L1-4_AIMI-219
SPY190465_10 200414_NB501473_A_L1-4_AIMI-219
SPY190465_11 200414_NB501473_A_L1-4_AIMI-219
SPY190465_12 200414_NB501473_A_L1-4_AIMI-219
SPY190470_01 200414_NB501473_A_L1-4_AIMI-219
SPY190470_02 200414_NB501473_A_L1-4_AIMI-219
SPY190470_03 200414_NB501473_A_L1-4_AIMI-219
SPY190470_04 200414_NB501473_A_L1-4_AIMI-219
SPY190470_05 200414_NB501473_A_L1-4_AIMI-219
SPY190470_06 200414_NB501473_A_L1-4_AIMI-219
SPY190470_07 200414_NB501473_A_L1-4_AIMI-219
SPY190470_08 200414_NB501473_A_L1-4_AIMI-219
SPY190470_09 200414_NB501473_A_L1-4_AIMI-219
SPY190470_10 200414_NB501473_A_L1-4_AIMI-219
SPY190470_11 200414_NB501473_A_L1-4_AIMI-219
SPY190470_12 200414_NB501473_A_L1-4_AIMI-219
SPY190472_01 200414_NB501473_A_L1-4_AIMI-219
SPY190472_02 200414_NB501473_A_L1-4_AIMI-219
SPY190472_03 200414_NB501473_A_L1-4_AIMI-219
SPY190472_04 200414_NB501473_A_L1-4_AIMI-219
SPY190472_05 200414_NB501473_A_L1-4_AIMI-219
SPY190472_06 200414_NB501473_A_L1-4_AIMI-219
SPY190472_07 200414_NB501473_A_L1-4_AIMI-219
SPY190472_08 200414_NB501473_A_L1-4_AIMI-219
SPY190472_09 200414_NB501473_A_L1-4_AIMI-219
SPY190472_10 200414_NB501473_A_L1-4_AIMI-219
SPY190472_11 200414_NB501473_A_L1-4_AIMI-219
SPY190472_12 200414_NB501473_A_L1-4_AIMI-219
