sample_name Run
SPY181498_01 190809_SND405_A_L001_AIMI-119
SPY181498_02 190809_SND405_A_L001_AIMI-119
SPY181498_03 190809_SND405_A_L001_AIMI-119
SPY181498_04 190809_SND405_A_L001_AIMI-119
SPY181498_05 190809_SND405_A_L001_AIMI-119
SPY181498_06 190809_SND405_A_L001_AIMI-119
SPY181498_07 190809_SND405_A_L001_AIMI-119
SPY181498_08 190809_SND405_A_L001_AIMI-119
SPY181498_09 190809_SND405_A_L001_AIMI-119
SPY181498_10 190809_SND405_A_L001_AIMI-119
SPY181498_11 190809_SND405_A_L001_AIMI-119
SPY181498_12 190809_SND405_A_L001_AIMI-119
SPY181499_01 190809_SND405_A_L001_AIMI-119
SPY181499_02 190809_SND405_A_L001_AIMI-119
SPY181499_03 190809_SND405_A_L001_AIMI-119
SPY181499_04 190809_SND405_A_L001_AIMI-119
SPY181499_05 190809_SND405_A_L001_AIMI-119
SPY181499_06 190809_SND405_A_L001_AIMI-119
SPY181499_07 190809_SND405_A_L001_AIMI-119
SPY181499_08 190809_SND405_A_L001_AIMI-119
SPY181499_09 190809_SND405_A_L001_AIMI-119
SPY181499_10 190809_SND405_A_L001_AIMI-119
SPY181499_11 190809_SND405_A_L001_AIMI-119
SPY181499_12 190809_SND405_A_L001_AIMI-119
SPY181500_01 190809_SND405_A_L001_AIMI-119
SPY181500_02 190809_SND405_A_L001_AIMI-119
SPY181500_03 190809_SND405_A_L001_AIMI-119
SPY181500_04 190809_SND405_A_L001_AIMI-119
SPY181500_05 190809_SND405_A_L001_AIMI-119
SPY181500_06 190809_SND405_A_L001_AIMI-119
SPY181500_07 190809_SND405_A_L001_AIMI-119
SPY181500_08 190809_SND405_A_L001_AIMI-119
SPY181500_09 190809_SND405_A_L001_AIMI-119
SPY181500_10 190809_SND405_A_L001_AIMI-119
SPY181500_11 190809_SND405_A_L001_AIMI-119
SPY181500_12 190809_SND405_A_L001_AIMI-119
SPY181501_01 190809_SND405_A_L001_AIMI-119
SPY181501_02 190809_SND405_A_L001_AIMI-119
SPY181501_03 190809_SND405_A_L001_AIMI-119
SPY181501_04 190809_SND405_A_L001_AIMI-119
SPY181501_05 190809_SND405_A_L001_AIMI-119
SPY181501_06 190809_SND405_A_L001_AIMI-119
SPY181501_07 190809_SND405_A_L001_AIMI-119
SPY181501_08 190809_SND405_A_L001_AIMI-119
SPY181501_09 190809_SND405_A_L001_AIMI-119
SPY181501_10 190809_SND405_A_L001_AIMI-119
SPY181501_11 190809_SND405_A_L001_AIMI-119
SPY181501_12 190809_SND405_A_L001_AIMI-119
SPY181503_01 190809_SND405_A_L001_AIMI-119
SPY181503_02 190809_SND405_A_L001_AIMI-119
SPY181503_03 190809_SND405_A_L001_AIMI-119
SPY181503_04 190809_SND405_A_L001_AIMI-119
SPY181503_05 190809_SND405_A_L001_AIMI-119
SPY181503_06 190809_SND405_A_L001_AIMI-119
SPY181503_07 190809_SND405_A_L001_AIMI-119
SPY181503_08 190809_SND405_A_L001_AIMI-119
SPY181503_09 190809_SND405_A_L001_AIMI-119
SPY181503_10 190809_SND405_A_L001_AIMI-119
SPY181503_11 190809_SND405_A_L001_AIMI-119
SPY181503_12 190809_SND405_A_L001_AIMI-119
SPY181504_01 190809_SND405_A_L001_AIMI-119
SPY181504_02 190809_SND405_A_L001_AIMI-119
SPY181504_03 190809_SND405_A_L001_AIMI-119
SPY181504_04 190809_SND405_A_L001_AIMI-119
SPY181504_05 190809_SND405_A_L001_AIMI-119
SPY181504_06 190809_SND405_A_L001_AIMI-119
SPY181504_07 190809_SND405_A_L001_AIMI-119
SPY181504_08 190809_SND405_A_L001_AIMI-119
SPY181504_09 190809_SND405_A_L001_AIMI-119
SPY181504_10 190809_SND405_A_L001_AIMI-119
SPY181504_11 190809_SND405_A_L001_AIMI-119
SPY181504_12 190809_SND405_A_L001_AIMI-119
SPY181505_01 190809_SND405_A_L001_AIMI-119
SPY181505_02 190809_SND405_A_L001_AIMI-119
SPY181505_03 190809_SND405_A_L001_AIMI-119
SPY181505_04 190809_SND405_A_L001_AIMI-119
SPY181505_05 190809_SND405_A_L001_AIMI-119
SPY181505_06 190809_SND405_A_L001_AIMI-119
SPY181505_07 190809_SND405_A_L001_AIMI-119
SPY181505_08 190809_SND405_A_L001_AIMI-119
SPY181505_09 190809_SND405_A_L001_AIMI-119
SPY181505_10 190809_SND405_A_L001_AIMI-119
SPY181505_11 190809_SND405_A_L001_AIMI-119
SPY181505_12 190809_SND405_A_L001_AIMI-119
SPY181506_01 190809_SND405_A_L001_AIMI-119
SPY181506_02 190809_SND405_A_L001_AIMI-119
SPY181506_03 190809_SND405_A_L001_AIMI-119
SPY181506_04 190809_SND405_A_L001_AIMI-119
SPY181506_05 190809_SND405_A_L001_AIMI-119
SPY181506_06 190809_SND405_A_L001_AIMI-119
SPY181506_07 190809_SND405_A_L001_AIMI-119
SPY181506_08 190809_SND405_A_L001_AIMI-119
SPY181506_09 190809_SND405_A_L001_AIMI-119
SPY181506_10 190809_SND405_A_L001_AIMI-119
SPY181506_11 190809_SND405_A_L001_AIMI-119
SPY181506_12 190809_SND405_A_L001_AIMI-119
SPY181508_01 190809_SND405_A_L001_AIMI-119
SPY181508_02 190809_SND405_A_L001_AIMI-119
SPY181508_03 190809_SND405_A_L001_AIMI-119
SPY181508_04 190809_SND405_A_L001_AIMI-119
SPY181508_05 190809_SND405_A_L001_AIMI-119
SPY181508_06 190809_SND405_A_L001_AIMI-119
SPY181508_07 190809_SND405_A_L001_AIMI-119
SPY181508_08 190809_SND405_A_L001_AIMI-119
SPY181508_09 190809_SND405_A_L001_AIMI-119
SPY181508_10 190809_SND405_A_L001_AIMI-119
SPY181508_11 190809_SND405_A_L001_AIMI-119
SPY181508_12 190809_SND405_A_L001_AIMI-119
SPY181509_01 190809_SND405_A_L001_AIMI-119
SPY181509_02 190809_SND405_A_L001_AIMI-119
SPY181509_03 190809_SND405_A_L001_AIMI-119
SPY181509_04 190809_SND405_A_L001_AIMI-119
SPY181509_05 190809_SND405_A_L001_AIMI-119
SPY181509_06 190809_SND405_A_L001_AIMI-119
SPY181509_07 190809_SND405_A_L001_AIMI-119
SPY181509_08 190809_SND405_A_L001_AIMI-119
SPY181509_09 190809_SND405_A_L001_AIMI-119
SPY181509_10 190809_SND405_A_L001_AIMI-119
SPY181509_11 190809_SND405_A_L001_AIMI-119
SPY181509_12 190809_SND405_A_L001_AIMI-119
SPY181512_01 190809_SND405_A_L001_AIMI-119
SPY181512_02 190809_SND405_A_L001_AIMI-119
SPY181512_03 190809_SND405_A_L001_AIMI-119
SPY181512_04 190809_SND405_A_L001_AIMI-119
