"species_name","class_name"
"Paralichthys_olivaceus","Actinopteri"
"Carassius_auratus","Actinopteri"
"Mustelus_manazo","Chondrichthyes"
"Sigmops_gracilis","Actinopteri"
"Acheilognathus_barbatulus","Actinopteri"
"Acanthorhodeus_chankaensis","Actinopteri"
"Acheilognathus_cyanostigma","Actinopteri"
"Acheilognathus_longipinnis","Actinopteri"
"Acheilognathus_melanogaster","Actinopteri"
"Acheilognathus_rhombeus","Actinopteri"
"Acheilognathus_tabira","Actinopteri"
"Acheilognathus_tonkinensis","Actinopteri"
"Acheilognathus_typus","Actinopteri"
"Acheilognathus_yamatsutae","Actinopteri"
"Abbottina_rivularis","Actinopteri"
"Acheilognathus_macropterus","Actinopteri"
"Rhodeus_atremius","Actinopteri"
"Rhodeus_fangi","Actinopteri"
"Rhodeus_lighti","Actinopteri"
"Rhodeus_amarus","Actinopteri"
"Tanakia_himantegus","Actinopteri"
"Tanakia_lanceolata","Actinopteri"
"Acheilognathus_signifer","Actinopteri"
"Tanakia_tanago","Actinopteri"
"Zacco_platypus","Actinopteri"
"Anguilla_megastoma","Actinopteri"
"Anguilla_interioris","Actinopteri"
"Anguilla_japonica","Actinopteri"
"Anguilla_australis","Actinopteri"
"Anguilla_marmorata","Actinopteri"
"Anguilla_mossambica","Actinopteri"
"Anguilla_bicolor","Actinopteri"
"Anguilla_malgumora","Actinopteri"
"Anguilla_celebesensis","Actinopteri"
"Anguilla_obscura","Actinopteri"
"Anguilla_dieffenbachii","Actinopteri"
"Anguilla_reinhardtii","Actinopteri"
"Eleotris_oxycephala","Actinopteri"
"Mugilogobius_abei","Actinopteri"
"Mugilogobius_chulae","Actinopteri"
"Mugilogobius_parvus","Actinopteri"
"Tridentiger_barbatus","Actinopteri"
"Tridentiger_bifasciatus","Actinopteri"
"Tridentiger_kuroiwae","Actinopteri"
"Tridentiger_nudicervicus","Actinopteri"
"Tridentiger_trigonocephalus","Actinopteri"
"Syngnathus_schlegeli","Actinopteri"
"Hippocampus_kuda","Actinopteri"
"Diplophos_sp._MM-1999","Actinopteri"
"Polymixia_japonica","Actinopteri"
"Conger_myriaster","Actinopteri"
"Amia_calva","Actinopteri"
"Pantodon_buchholzi","Actinopteri"
"Carassius_cuvieri","Actinopteri"
"Eurypharynx_pelecanoides","Actinopteri"
"Plecoglossus_altivelis","Actinopteri"
"Hime_japonica","Actinopteri"
"Saccopharynx_lavenbergi","Actinopteri"
"Megalops_cyprinoides","Actinopteri"
"Pterothrissus_gissu","Actinopteri"
"Cobitis_striata","Actinopteri"
"Lefua_echigonia","Actinopteri"
"Corydoras_rabauti","Actinopteri"
"Phenacogrammus_interruptus","Actinopteri"
"Chalceus_macrolepidotus","Actinopteri"
"Eigenmannia_sp._CBM-ZF-10620","Actinopteri"
"Apteronotus_albifrons","Actinopteri"
"Chanos_chanos","Actinopteri"
"Gonorynchus_greyi","Actinopteri"
"Cyprinella_lutrensis","Actinopteri"
"Boulengerella_maculata","Actinopteri"
"Phractolaemus_ansorgii","Actinopteri"
"Ophiocara_porocephala","Actinopteri"
"Hexagrammos_stelleri","Actinopteri"
"Pleurogrammus_azonus","Actinopteri"
"Pleurogrammus_monopterygius","Actinopteri"
"Trichodon_trichodon","Actinopteri"
"Arctoscopus_japonicus","Actinopteri"
"Micropercops_swinhonis","Actinopteri"
"Odontobutis_hikimius","Actinopteri"
"Odontobutis_obscura","Actinopteri"
"Spirinchus_lanceolatus","Actinopteri"
"Euthynnus_alletteratus","Actinopteri"
"Katsuwonus_pelamis","Actinopteri"
"Scomber_japonicus","Actinopteri"
"Luciogobius_guttatus","Actinopteri"
"Eutaeniichthys_gilli","Actinopteri"
"Scomber_scombrus","Actinopteri"
"Choerodon_azurio","Actinopteri"
"Halichoeres_tenuispinis","Actinopteri"
"Ophthalmolepis_lineolata","Actinopteri"
"Suezichthys_gracilis","Actinopteri"
"Notolabrus_gymnogenis","Actinopteri"
"Notolabrus_parilus","Actinopteri"
"Pseudolabrus_biserialis","Actinopteri"
"Pseudolabrus_eoethinus","Actinopteri"
"Pseudolabrus_fuentesi","Actinopteri"
"Pseudolabrus_guentheri","Actinopteri"
"Pseudolabrus_miles","Actinopteri"
"Pseudolabrus_sieboldi","Actinopteri"
"Austrolabrus_maculatus","Actinopteri"
"Eupetrichthys_angustipes","Actinopteri"
"Cycleptus_elongatus","Actinopteri"
"Carpiodes_carpio","Actinopteri"
"Notemigonus_crysoleucas","Actinopteri"
"Fowleria_isostigma","Actinopteri"
"Fowleria_variegata","Actinopteri"
"Apogon_crassiceps","Actinopteri"
"Apogon_erythrinus","Actinopteri"
"Nectamia_fusca","Actinopteri"
"Apogon_semiornatus","Actinopteri"
"Pristiapogon_exostigma","Actinopteri"
"Pristiapogon_fraenatus","Actinopteri"
"Pristiapogon_kallopterus","Actinopteri"
"Pristicon_rhodopterus","Actinopteri"
"Pristicon_trimaculatus","Actinopteri"
"Zoramia_leptacantha","Actinopteri"
"Zoramia_gilberti","Actinopteri"
"Fibramia_amboinensis","Actinopteri"
"Ostorhinchus_angustatus","Actinopteri"
"Ostorhinchus_apogonoides","Actinopteri"
"Ostorhinchus_aureus","Actinopteri"
"Jaydia_carinatus","Actinopteri"
"Apogon_cathetogrammus","Actinopteri"
"Ostorhinchus_compressus","Actinopteri"
"Ostorhinchus_cookii","Actinopteri"
"Ostorhinchus_doederleini","Actinopteri"
"Apogon_ellioti","Actinopteri"
"Ostorhinchus_endekataenia","Actinopteri"
"Ostorhinchus_guamensis","Actinopteri"
"Ostorhinchus_ishigakiensis","Actinopteri"
"Ostorhinchus_kiensis","Actinopteri"
"Jaydia_lineata","Actinopteri"
"Apogonichthyoides_melas","Actinopteri"
"Apogonichthyoides_niger","Actinopteri"
"Ostorhinchus_nigrofasciatus","Actinopteri"
"Apogon_notatus","Actinopteri"
"Ostorhinchus_novemfasciatus","Actinopteri"
"Ostorhinchus_properuptus","Actinopteri"
"Ostorhinchus_quadrifasciatus","Actinopteri"
"Ostorhinchus_sangiensis","Actinopteri"
"Nectamia_savayensis","Actinopteri"
"Ostorhinchus_selas","Actinopteri"
"Apogon_semilineatus","Actinopteri"
"Apogon_sp._1_'barred'","Actinopteri"
"Ostorhinchus_taeniophorus","Actinopteri"
"Ostorhinchus_ventrifasciatus","Actinopteri"
"Girella_punctata","Actinopteri"
"Girella_leonina","Actinopteri"
"Girella_mezina","Actinopteri"
"Tinca_tinca","Actinopteri"
"Gnathopogon_elongatus","Actinopteri"
"Aphyocypris_chinensis","Actinopteri"
"Opsariichthys_uncirostris","Actinopteri"
"Nipponocypris_sieboldii","Actinopteri"
"Myxocyprinus_asiaticus","Actinopteri"
"Tonlesapia_tsukawakii","Actinopteri"
"Barbus_barbus","Actinopteri"
"Barbonymus_gonionotus","Actinopteri"
"Labeo_batesii","Actinopteri"
"Labeo_senegalensis","Actinopteri"
"Pethia_ticto","Actinopteri"
"Alburnus_alburnus","Actinopteri"
"Esomus_metallicus","Actinopteri"
"Gobio_gobio","Actinopteri"
"Pungtungia_herzi","Actinopteri"
"Pseudorasbora_pumila","Actinopteri"
"Enteromius_trimaculatus","Actinopteri"
"Acantopsis_choirorhynchos","Actinopteri"
"Chromobotia_macracanthus","Actinopteri"
"Gyrinocheilus_aymonieri","Actinopteri"
"Pseudohomaloptera_leonardi","Actinopteri"
"Minytrema_melanops","Actinopteri"
"Moxostoma_poecilurum","Actinopteri"
"Pangio_anguillaris","Actinopteri"
"Hypentelium_nigricans","Actinopteri"
"Misgurnus_nikolskyi","Actinopteri"
"Schistura_balteata","Actinopteri"
"Vaillantella_maassi","Actinopteri"
