"","X.1","X","code_spygen","code_explo","rep","date","station","site","region","country","project","sample_type","sample_method","time_start","time_end","duration_min","volume","depth","temperature","turbidity","habitat","habitat_type","gps_start","latitude_start","longitude_start","gps_b","lat_gps_b","long_gps_b","gps_c","lat_gps_c","long_gps_c","gps_d","lat_gps_d","long_gps_d","gps_half_turn","latitude_turn","longitude_turn","gps_end","latitude_end","longitude_end","filter","data_manager","gps_owner","comment","longitude_start_clean","latitude_start_clean","dist_to_coast..m.","dist_to_CT"
"1",1,1,"SPY181729","YPVD01",1,"29/06/2018","margarita_south_west","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","14:07","14:45","38",40,"0",NA,0,"marine",NA,"97","13.34043","-81.39829",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","13.31942","-81.38904","97","13.34043","-81.39829",0.2,"JB Juhel","JB Juhel","1 cablage corrodé inutilisable. 1 seul replicat - phanérogames marines agglomérées autour du fil du plomb (et donc crépine)",-81.39829,13.34043,175,15945.82
"2",2,2,"SPY181719","YPVD01",2,"30/06/2018","margarita_south_west","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","08:57","09:39","36",40,"0",NA,0,"marine",NA,"97","13.34043","-81.39829",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","13.31942","-81.38904","97","13.34043","-81.39829",0.2,"JB Juhel","JB Juhel","phanérogames marines agglomérées autour du fil du plomb (et donc crépine)",-81.39829,13.34043,175,15945.82
"3",3,3,"SPY181723","YPVD02",1,"30/06/2018","providencia_west","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","12:50","13:48","58",40,"0",NA,1,"marine",NA,"101","13.34393","-81.39777",NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","13.34926","-81.39236","101","13.34393","-81.39777",0.2,"JB Juhel","JB Juhel","phanérogames marines again",-81.39777,13.34393,307,15945.77
"4",4,4,"SPY181734","YPVD02",2,"30/06/2018","providencia_west","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","12:50","13:48","58",40,"0",NA,1,"marine",NA,"101","13.34393","-81.39777",NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","13.34926","-81.39236","101","13.34393","-81.39777",0.2,"JB Juhel","JB Juhel","phanérogames marines again",-81.39777,13.34393,307,15945.77
"5",5,5,"SPY181732","YPVD03",1,"01/07/2018","providencia_north_west","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:25","10:09","44",40,"0",NA,1,"marine",NA,"104","13.36786","-81.38864",NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","13.39011","-81.38049","104","13.36786","-81.38864",0.2,"JB Juhel","JB Juhel","phanérogames marines again - 9h57 pompe mise en mode forward sans intervention (reparamétrage)",-81.38864,13.36786,111,15945.97
"6",6,6,"SPY181724","YPVD03",2,"01/07/2018","providencia_north_west","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:25","10:09","44",40,"0",NA,1,"marine",NA,"104","13.36786","-81.38864",NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","13.39011","-81.38049","104","13.36786","-81.38864",0.2,"JB Juhel","JB Juhel","phanérogames marines again",-81.38864,13.36786,111,15945.97
"7",7,7,"SPY181721","YPVD04",1,"02/07/2018","catalina_north","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:10","09:50","40",40,"0",NA,0,"marine",NA,"108","13.39172","-81.38029",NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","13.38386","-81.35956","108","13.39172","-81.38029",0.2,"JB Juhel","JB Juhel",NA,-81.38029,13.39172,114,15946.09
"8",8,8,"SPY181730","YPVD04",2,"02/07/2018","catalina_north","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:10","09:50","40",40,"0",NA,0,"marine",NA,"108","13.39172","-81.38029",NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","13.38386","-81.35956","108","13.39172","-81.38029",0.2,"JB Juhel","JB Juhel",NA,-81.38029,13.39172,114,15946.09
"9",9,9,"SPY181725","YPVD05",1,"02/07/2018","providencia_north","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","10:06","10:50","44",40,"0",NA,0,"marine",NA,"110","13.38322","-81.35909",NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","13.36224","-81.34910","110","13.38322","-81.35909",0.2,"JB Juhel","JB Juhel",NA,-81.35909,13.38322,116,15948.56
"10",10,10,"SPY181733","YPVD05",2,"02/07/2018","providencia_north","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","10:06","10:50","44",40,"0",NA,0,"marine",NA,"110","13.38322","-81.35909",NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","13.36224","-81.34910","110","13.38322","-81.35909",0.2,"JB Juhel","JB Juhel",NA,-81.35909,13.38322,116,15948.56
"11",11,11,"SPY181718","YPVD06",1,"03/07/2018","providencia_east","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:42","10:13","31",40,"0",NA,1,"marine",NA,"113","13.36264","-81.34969",NA,NA,NA,NA,NA,NA,NA,NA,NA,"114","13.34073","-81.35573","113","13.36264","-81.34969",0.2,"JB Juhel","JB Juhel",NA,-81.34969,13.36264,18,15950.18
"12",12,12,"SPY181727","YPVD06",2,"03/07/2018","providencia_east","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:42","10:13","31",40,"0",NA,1,"marine",NA,"113","13.36264","-81.34969",NA,NA,NA,NA,NA,NA,NA,NA,NA,"114","13.34073","-81.35573","113","13.36264","-81.34969",0.2,"JB Juhel","JB Juhel",NA,-81.34969,13.36264,18,15950.18
"13",13,13,"SPY181726","YPVD07",1,"03/07/2018","providencia_south_east","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","10:30","11:00","30",40,"0",NA,1,"marine",NA,"115","13.34072","-81.35561",NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","13.32539","-81.37273","115","13.34072","-81.35561",0.2,"JB Juhel","JB Juhel",NA,-81.35561,13.34072,10,15950.25
"14",14,14,"SPY181731","YPVD07",2,"03/07/2018","providencia_south_east","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","10:30","11:00","30",40,"0",NA,1,"marine",NA,"115","13.34072","-81.35561",NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","13.32539","-81.37273","115","13.34072","-81.35561",0.2,"JB Juhel","JB Juhel","Après echantillonnage. grosde pluie tropicale toute la journée et toute la nuit",-81.35561,13.34072,10,15950.25
"15",15,15,"SPY181717","YPVD08",1,"04/07/2018","patch1","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:10","09:40","30",40,"0",NA,0,"marine",NA,"117","13.36541","-81.41025",NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","13.38515","-81.39906","117","13.36541","-81.41025",0.2,"JB Juhel","JB Juhel",NA,-81.41025,13.36541,2148,15943.8
"16",16,16,"SPY181715","YPVD08",2,"04/07/2018","patch1","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:10","09:40","30",40,"0",NA,0,"marine",NA,"117","13.36541","-81.41025",NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","13.38515","-81.39906","117","13.36541","-81.41025",0.2,"JB Juhel","JB Juhel",NA,-81.41025,13.36541,2148,15943.8
"17",17,17,"SPY181728","YPVD09",1,"04/07/2018","patch2","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:56","10:34","38",40,"0",NA,0,"marine",NA,"119","13.36726","-81.41335",NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","13.34492","-81.41827","119","13.36726","-81.41335",0.2,"JB Juhel","JB Juhel",NA,-81.41335,13.36726,2548,15943.42
"18",18,18,"SPY181722","YPVD09",2,"04/07/2018","patch2","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:56","10:34","38",40,"0",NA,0,"marine",NA,"119","13.36726","-81.41335",NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","13.34492","-81.41827","119","13.36726","-81.41335",0.2,"JB Juhel","JB Juhel",NA,-81.41335,13.36726,2548,15943.42
"19",19,19,"SPY181716","YPVD10",1,"05/07/2018","patch3","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:27","10:07","40",40,"0",NA,0,"marine",NA,"123","13.32225","-81.36716",NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","13.33839","-81.35116","123","13.32225","-81.36716",0.2,"JB Juhel","JB Juhel","Zigzag entre les patates au niveau barrière interne",-81.36716,13.32225,641,15949.62
"20",20,20,"SPY180774","YPVD10",2,"05/07/2018","patch3","providencia","Caribbean","Columbia","megafauna","transect","transect_aller_retour","09:27","10:07","40",40,"0",NA,0,"marine",NA,"123","13.32225","-81.36716",NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","13.33839","-81.35116","123","13.32225","-81.36716",0.2,"JB Juhel","JB Juhel",NA,-81.36716,13.32225,641,15949.62
"21",56,57,"SPY173261","YGA007",1,"28/02/2018","anse_bertrand_cote","guadeloupe","Caribbean","France","megafauna","transect","transect_rectangle","15:03","15:33","30",30,"0",28,0,"marine",NA,"E61","?16.48538","?-61.50429","E62","?16.49499","?-61.48521","E63","?16.49877","?-61.48784","E64","?16.49212","?-61.50035",NA,NA,NA,"E64","?16.49212","?-61.50035",0.2,"Virginie Marques","megafauna","Ecoute : petit Rorqual et Baleine à bosse mâl à grande distance (>4 miles)",-61.50429,16.48538,278,17655.6
