"","station","lat","long","site35","site30","site25","site20","site10","site5"
"1","margarita_south_west",13.34043,-81.39829,"site1","site1","site1","site1","site1","site1"
"2","providencia_west",13.34393,-81.39777,"site1","site1","site1","site1","site1","site1"
"3","providencia_north_west",13.36786,-81.38864,"site1","site1","site1","site1","site1","site1"
"4","catalina_north",13.39172,-81.38029,"site1","site1","site1","site1","site1","site2"
"5","providencia_north",13.38322,-81.35909,"site1","site1","site1","site1","site1","site2"
"6","providencia_east",13.36264,-81.34969,"site1","site1","site1","site1","site1","site2"
"7","providencia_south_east",13.34072,-81.35561,"site1","site1","site1","site1","site1","site3"
"8","patch1",13.36541,-81.41025,"site1","site1","site1","site1","site1","site1"
"9","patch2",13.36726,-81.41335,"site1","site1","site1","site1","site1","site1"
"10","patch3",13.32225,-81.36716,"site1","site1","site1","site1","site1","site3"
"11","malpelo_20m",3.9982,-81.56845,"site2","site2","site2","site2","site2","site4"
"12","malpelo_100m",3.99737,-81.56515,"site2","site2","site2","site2","site2","site4"
"13","malpelo_50m",4.00307,-81.5703,"site2","site2","site2","site2","site2","site4"
"14","malpelo_100m",4.00307,-81.5703,"site2","site2","site2","site2","site2","site4"
"15","malpelo_300m",4.00307,-81.5703,"site2","site2","site2","site2","site2","site4"
"16","malpelo_200m",4.00307,-81.5703,"site2","site2","site2","site2","site2","site4"
"17","malpelo_10m",4.00307,-81.5703,"site2","site2","site2","site2","site2","site4"
"18","malpelo1",4.01142,-81.59661,"site2","site2","site2","site2","site2","site4"
"19","malpelo_600m",3.98735,-81.57326,"site2","site2","site2","site2","site2","site4"
"20","malpelo2",4.00685,-81.60143,"site2","site2","site2","site2","site2","site4"
"21","malpelo6",3.98944,-81.60462,"site2","site2","site2","site2","site2","site5"
"22","malpelo5",4.00885,-81.60547,"site2","site2","site2","site2","site2","site4"
"23","malpelo3",4.00515,-81.59995,"site2","site2","site2","site2","site2","site4"
"24","malpelo4",3.99871,-81.62184,"site2","site2","site2","site2","site2","site5"
"25","bois_flottant",4.02167,-81.585,"site2","site2","site2","site2","site2","site4"
"26","camera1",4.00594,-81.60334,"site2","site2","site2","site2","site2","site4"
"27","camera2",4.00276,-81.60248,"site2","site2","site2","site2","site2","site4"
"28","camera3",4.00286,-81.60259,"site2","site2","site2","site2","site2","site4"
"29","bruv1",3.99357,-81.61842,"site2","site2","site2","site2","site2","site5"
"30","bruv2",3.9929,-81.6205,"site2","site2","site2","site2","site2","site5"
"31","camera4",4.00226,-81.60371,"site2","site2","site2","site2","site2","site4"
"32","camera4",4.00202,-81.60332,"site2","site2","site2","site2","site2","site4"
"33","camera5",4.0023,-81.60392,"site2","site2","site2","site2","site2","site4"
"34","anse_bertrand_cote",16.48538,-61.50429,"site3","site3","site3","site3","site3","site6"
"35","anse_bertrand_large",16.50096,-61.51445,"site3","site3","site3","site3","site3","site6"
"36","anse_colas",16.47047,-61.52166,"site3","site3","site3","site3","site3","site6"
"37","bouillante_large",16.07855,-61.85716,"site4","site4","site4","site4","site4","site7"
"38","chateau_petite_terre",16.20771,-61.14683,"site5","site5","site5","site5","site5","site8"
"39","fajou",16.359,-61.57521,"site3","site3","site6","site6","site6","site9"
