"region","step","Reads","MOTUs","Species"
"Caribbean","before",51576345,14152,102
"Caribbean","tenreads",51498562,982,86
"Caribbean","blanks",51498562,982,86
"Caribbean","fishonly",45933782,776,83
"Caribbean","readlength",45931410,773,83
"Caribbean","PCR_all",45774124,506,74
"Caribbean","LULU",37335866,384,72
"Caribbean","LULU_family",26522373,242,72
"Central_Indo_Pacific","before",333369000,82099,276
"Central_Indo_Pacific","tenreads",333083161,3935,257
"Central_Indo_Pacific","blanks",333083161,3935,257
"Central_Indo_Pacific","fishonly",250160276,2676,251
"Central_Indo_Pacific","readlength",250160242,2675,251
"Central_Indo_Pacific","PCR_all",247306426,1494,217
"Central_Indo_Pacific","LULU",200583481,1066,203
"Central_Indo_Pacific","LULU_family",165650749,760,203
"Central_Pacific","before",11004457,2753,65
"Central_Pacific","tenreads",10996898,324,60
"Central_Pacific","blanks",10996898,324,60
"Central_Pacific","fishonly",10081076,273,59
"Central_Pacific","readlength",10081076,273,59
"Central_Pacific","PCR_all",9788265,166,46
"Central_Pacific","LULU",9546270,147,46
"Central_Pacific","LULU_family",8315208,117,46
"South_West_Pacific","before",72329350,19049,215
"South_West_Pacific","tenreads",72280582,1558,211
"South_West_Pacific","blanks",72280582,1558,211
"South_West_Pacific","fishonly",65287449,1333,208
"South_West_Pacific","readlength",65287449,1333,208
"South_West_Pacific","PCR_all",64418989,981,189
"South_West_Pacific","LULU",58511803,820,180
"South_West_Pacific","LULU_family",43615329,605,180
"West_Indian","before",36178115,13931,122
"West_Indian","tenreads",36136353,945,117
"West_Indian","blanks",36136353,945,117
"West_Indian","fishonly",31198453,784,114
"West_Indian","readlength",31198453,784,114
"West_Indian","PCR_all",30632178,443,98
"West_Indian","LULU",29332594,350,93
"West_Indian","LULU_family",26334222,280,93
