"project_name","step","Reads","MOTUs","Scientific_names"
"Fakarava","before",22701861,3270,267
"Fakarava","tenreads",22693248,389,179
"Fakarava","blanks",22693248,389,179
"Fakarava","fishonly",13308235,308,163
"Fakarava","readlength",13308235,308,163
"Fakarava","PCR_all",12734690,168,111
"Fakarava","LULU",12478389,147,105
"Fakarava","LULU_family",11226184,117,95
"Guadeloupe","before",17974309,3317,262
"Guadeloupe","tenreads",17965436,461,167
"Guadeloupe","blanks",17965436,461,167
"Guadeloupe","fishonly",13331534,365,152
"Guadeloupe","readlength",13331534,365,152
"Guadeloupe","PCR_all",13055484,212,120
"Guadeloupe","LULU",12198147,180,115
"Guadeloupe","LULU_family",9023157,122,97
"Lengguru","before",333369000,82099,893
"Lengguru","tenreads",333116815,4595,663
"Lengguru","blanks",221983275,4541,650
"Lengguru","fishonly",208834815,3234,608
"Lengguru","readlength",208834781,3233,608
"Lengguru","PCR_all",205970104,1621,503
"Lengguru","LULU",200583481,1066,464
"Lengguru","LULU_family",165650749,760,416
"Malpelo","before",13435734,2428,257
"Malpelo","tenreads",13425467,377,171
"Malpelo","blanks",13425467,377,171
"Malpelo","fishonly",8360668,214,156
"Malpelo","readlength",8357020,213,155
"Malpelo","PCR_all",8123875,139,109
"Malpelo","LULU",7900400,125,101
"Malpelo","LULU_family",6681149,104,89
"Providencia","before",17737965,6781,314
"Providencia","tenreads",17707143,616,201
"Providencia","blanks",17707143,616,201
"Providencia","fishonly",17306321,531,183
"Providencia","readlength",17306011,530,182
"Providencia","PCR_all",17233850,331,146
"Providencia","LULU",15744656,227,135
"Providencia","LULU_family",9842899,143,116
"SantaMarta","before",27551089,7943,330
"SantaMarta","tenreads",27520847,730,213
"SantaMarta","blanks",17268974,704,200
"SantaMarta","fishonly",16742738,600,179
"SantaMarta","readlength",16740676,598,178
"SantaMarta","PCR_all",16457843,318,138
"SantaMarta","LULU",16296235,232,126
"SantaMarta","LULU_family",13421645,157,108
