"","family","n_total","n_res","resolution"
"1","Paralichthyidae",7,7,1
"3","Triakidae",6,6,1
"4","Gonostomatidae",1,1,1
"12","Diplophidae",1,1,1
"13","Polymixiidae",2,2,1
"18","Amiidae",1,1,1
"20","Pantodontidae",1,1,1
"21","Eurypharyngidae",1,1,1
"22","Plecoglossidae",1,1,1
"23","Aulopidae",1,1,1
"24","Saccopharyngidae",1,1,1
"26","Megalopidae",2,2,1
"27","Albulidae",2,2,1
"31","Callichthyidae",5,5,1
"32","Alestidae",3,3,1
"33","Chalceidae",1,1,1
"35","Apteronotidae",3,3,1
"36","Chanidae",1,1,1
"37","Gonorynchidae",2,2,1
"38","Ctenoluciidae",2,2,1
"39","Kneriidae",6,6,1
"41","Trichodontidae",2,2,1
"43","Odontobutidae",10,10,1
"54","Callionymidae",7,7,1
"58","Vaillantellidae",1,1,1
"59","Soleidae",13,13,1
"60","Solenostomidae",2,2,1
"61","Stylephoridae",1,1,1
"63","Antennariidae",3,3,1
"64","Tetrabrachiidae",1,1,1
"65","Brachionichthyidae",1,1,1
"68","Caulophrynidae",2,2,1
"69","Neoceratiidae",1,1,1
"71","Himantolophidae",2,2,1
"73","Oneirodidae",4,4,1
"74","Thaumatichthyidae",2,2,1
"75","Centrophrynidae",1,1,1
"76","Ceratiidae",2,2,1
"77","Gigantactinidae",2,2,1
"79","Pomatomidae",1,1,1
"81","Rachycentridae",1,1,1
"82","Coryphaenidae",2,2,1
"83","Menidae",1,1,1
"84","Leiognathidae",5,5,1
"85","Lobotidae",2,2,1
"86","Gerreidae",4,4,1
"88","Centracanthidae",1,1,1
"89","Lethrinidae",7,7,1
"91","Polynemidae",6,6,1
"93","Pempheridae",2,2,1
"96","Hemiramphidae",6,6,1
"98","Aplocheilidae",3,3,1
"99","Isonidae",1,1,1
"100","Belonidae",4,4,1
"103","Aulorhynchidae",2,2,1
"104","Xiphiidae",1,1,1
"106","Chlamydoselachidae",1,1,1
"107","Hexanchidae",4,4,1
"109","Pseudotriakidae",1,1,1
"112","Pristiophoridae",2,2,1
"113","Nototheniidae",7,7,1
"114","Pentacerotidae",4,4,1
"119","Helostomatidae",1,1,1
"121","Schilbeidae",8,8,1
"126","Polyodontidae",2,2,1
"128","Fundulidae",6,6,1
"129","Chlopsidae",4,4,1
"130","Muraenidae",15,15,1
"131","Muraenesocidae",6,6,1
"133","Ophichthidae",16,16,1
"135","Nemichthyidae",3,3,1
"136","Derichthyidae",2,2,1
"137","Serrivomeridae",4,4,1
"138","Notacanthidae",3,3,1
"140","Gymnuridae",2,2,1
"142","Pristidae",4,4,1
"145","Hexatrygonidae",1,1,1
"147","Narcinidae",4,4,1
"148","Narkidae",1,1,1
"149","Platyrhinidae",1,1,1
"150","Plesiobatidae",1,1,1
"151","Potamotrygonidae",5,5,1
"153","Rhinidae",1,1,1
"155","Rhinochimaeridae",3,3,1
"156","Rhynchobatidae",2,2,1
"157","Torpedinidae",2,2,1
"158","Urolophidae",1,1,1
"159","Anacanthobatidae",1,1,1
"162","Valenciidae",2,2,1
"167","Tripterygiidae",6,6,1
"168","Blenniidae",9,9,1
"170","Polyprionidae",1,1,1
"172","Stomiidae",3,3,1
"173","Ateleopodidae",2,2,1
"174","Chlorophthalmidae",2,2,1
"175","Synodontidae",9,9,1
"176","Neoscopelidae",4,4,1
"177","Lampridae",1,1,1
"178","Trachipteridae",2,2,1
"179","Percopsidae",2,2,1
"180","Macrouridae",6,6,1
"182","Melamphaidae",2,2,1
"184","Rondeletiidae",1,1,1
"185","Trachichthyidae",1,1,1
"187","Holocentridae",6,6,1
"188","Zeidae",3,3,1
"189","Caproidae",2,2,1
"190","Synbranchidae",2,2,1
"192","Dactylopteridae",3,3,1
"193","Elassomatidae",2,2,1
"195","Halosauridae",3,3,1
"197","Bathylagidae",1,1,1
"198","Umbridae",4,4,1
"199","Esocidae",4,4,1
"201","Argentinidae",2,2,1
"202","Microstomatidae",2,2,1
"203","Platytroctidae",4,4,1
"204","Retropinnidae",2,2,1
"206","Opisthoproctidae",7,7,1
"207","Giganturidae",2,2,1
"208","Ipnopidae",1,1,1
"209","Scopelarchidae",2,2,1
