"region","step","Reads","MOTUs","Scientific_names"
"Caribbean","before",51576345,14152,446
"Caribbean","tenreads",51514885,1163,277
"Caribbean","blanks",51514885,1163,277
"Caribbean","fishonly",45949687,947,251
"Caribbean","readlength",45947315,944,250
"Caribbean","PCR_all",45787628,565,209
"Caribbean","LULU",44239038,421,199
"Caribbean","LULU_family",32287701,275,175
"Central_Indo_Pacific","before",333369000,82099,893
"Central_Indo_Pacific","tenreads",333116815,4595,663
"Central_Indo_Pacific","blanks",333116815,4595,663
"Central_Indo_Pacific","fishonly",250191799,3268,619
"Central_Indo_Pacific","readlength",250191765,3267,619
"Central_Indo_Pacific","PCR_all",247327088,1655,515
"Central_Indo_Pacific","LULU",200583481,1066,464
"Central_Indo_Pacific","LULU_family",165650749,760,416
"Central_Pacific","before",11004457,2753,245
"Central_Pacific","tenreads",10997692,343,168
"Central_Pacific","blanks",10997692,343,168
"Central_Pacific","fishonly",10081824,290,154
"Central_Pacific","readlength",10081824,290,154
"Central_Pacific","PCR_all",9788652,168,111
"Central_Pacific","LULU",12478389,147,105
"Central_Pacific","LULU_family",11226184,117,95
"South_West_Pacific","before",72329350,19049,673
"South_West_Pacific","tenreads",72283094,1621,506
"South_West_Pacific","blanks",72283094,1621,506
"South_West_Pacific","fishonly",65289934,1394,485
"South_West_Pacific","readlength",65289934,1394,485
"South_West_Pacific","PCR_all",64420254,995,426
"South_West_Pacific","LULU",105442035,940,443
"South_West_Pacific","LULU_family",80016395,683,400
"West_Indian","before",36178115,13931,461
"West_Indian","tenreads",36142078,1090,319
"West_Indian","blanks",36142078,1090,319
"West_Indian","fishonly",31204154,927,301
"West_Indian","readlength",31204154,927,301
"West_Indian","PCR_all",30634904,476,241
"West_Indian","LULU",62184413,393,254
"West_Indian","LULU_family",53098010,308,224
