"family","n_motus","n_asymtote"
"Acanthuridae","48",53
"Apogonidae","62",75
"Balistidae","21",22
"Blenniidae","8",9
"Carangidae","39",44
"Chaetodontidae","20",23
"Dasyatidae","15",17
"Gobiidae","97",147
"Haemulidae","8",8
"Holocentridae","21",23
"Labridae","104",117
"Lethrinidae","21",21
"Lutjanidae","56",63
"Monacanthidae","9",11
"Mullidae","16",19
"Muraenidae","49",67
"Pomacanthidae","21",24
"Pomacentridae","91",105
"Scombridae","16",19
"Serranidae","46",51
"Siganidae","8",12
"Synodontidae","11",12
"Tetraodontidae","16",19
