"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",19,626,0.0303514376996805
"2","Albulidae",2,626,0.00319488817891374
"3","Ambassidae",1,626,0.00159744408945687
"4","Anomalopidae",1,626,0.00159744408945687
"5","Apogonidae",53,626,0.0846645367412141
"6","Atherinidae",3,626,0.00479233226837061
"7","Aulostomidae",1,626,0.00159744408945687
"8","Balistidae",9,626,0.0143769968051118
"9","Belonidae",4,626,0.00638977635782748
"10","Blenniidae",7,626,0.0111821086261981
"11","Bothidae",2,626,0.00319488817891374
"12","Bramidae",1,626,0.00159744408945687
"13","Bregmacerotidae",1,626,0.00159744408945687
"14","Callionymidae",2,626,0.00319488817891374
"15","Carangidae",14,626,0.0223642172523962
"16","Carcharhinidae",11,626,0.0175718849840256
"17","Centriscidae",1,626,0.00159744408945687
"18","Chaetodontidae",8,626,0.012779552715655
"19","Chanidae",1,626,0.00159744408945687
"20","Chirocentridae",1,626,0.00159744408945687
"21","Cichlidae",1,626,0.00159744408945687
"22","Cirrhitidae",2,626,0.00319488817891374
"23","Clupeidae",6,626,0.00958466453674121
"24","Congridae",3,626,0.00479233226837061
"25","Dasyatidae",7,626,0.0111821086261981
"26","Diodontidae",2,626,0.00319488817891374
"27","Dussumieriidae",2,626,0.00319488817891374
"28","Echeneidae",1,626,0.00159744408945687
"29","Elopidae",1,626,0.00159744408945687
"30","Engraulidae",4,626,0.00638977635782748
"31","Ephippidae",1,626,0.00159744408945687
"32","Evermannellidae",1,626,0.00159744408945687
"33","Exocoetidae",3,626,0.00479233226837061
"34","Fistulariidae",1,626,0.00159744408945687
"35","Gempylidae",1,626,0.00159744408945687
"36","Gerreidae",2,626,0.00319488817891374
"37","Ginglymostomatidae",1,626,0.00159744408945687
"38","Gobiesocidae",2,626,0.00319488817891374
"39","Gobiidae",79,626,0.126198083067093
"40","Haemulidae",7,626,0.0111821086261981
"41","Hemiramphidae",1,626,0.00159744408945687
"42","Holocentridae",13,626,0.0207667731629393
"43","Istiophoridae",1,626,0.00159744408945687
"44","Kuhliidae",1,626,0.00159744408945687
"45","Kyphosidae",4,626,0.00638977635782748
"46","Labridae",58,626,0.0926517571884984
"47","Leiognathidae",3,626,0.00479233226837061
"48","Lethrinidae",11,626,0.0175718849840256
"49","Lutjanidae",21,626,0.0335463258785942
"50","Megalopidae",1,626,0.00159744408945687
"51","Monacanthidae",10,626,0.0159744408945687
"52","Monodactylidae",1,626,0.00159744408945687
"53","Mugilidae",6,626,0.00958466453674121
"54","Mullidae",15,626,0.023961661341853
"55","Muraenidae",26,626,0.0415335463258786
"56","Myctophidae",31,626,0.0495207667731629
"57","Myliobatidae",4,626,0.00638977635782748
"58","Nomeidae",1,626,0.00159744408945687
"59","Ophichthidae",4,626,0.00638977635782748
"60","Osphronemidae",1,626,0.00159744408945687
"61","Ostraciidae",4,626,0.00638977635782748
"62","Paralepididae",1,626,0.00159744408945687
"63","Pempheridae",4,626,0.00638977635782748
"64","Pinguipedidae",3,626,0.00479233226837061
"65","Plesiopidae",1,626,0.00159744408945687
"66","Plotosidae",2,626,0.00319488817891374
"67","Pomacanthidae",11,626,0.0175718849840256
"68","Pomacentridae",44,626,0.0702875399361022
"69","Priacanthidae",1,626,0.00159744408945687
"70","Pseudochromidae",1,626,0.00159744408945687
"71","Rhynchobatidae",1,626,0.00159744408945687
"72","Scaridae",6,626,0.00958466453674121
"73","Scatophagidae",1,626,0.00159744408945687
"74","Scombridae",7,626,0.0111821086261981
"75","Scorpaenidae",2,626,0.00319488817891374
"76","Serranidae",22,626,0.0351437699680511
"77","Siganidae",6,626,0.00958466453674121
"78","Sillaginidae",1,626,0.00159744408945687
"79","Soleidae",1,626,0.00159744408945687
"80","Sphyraenidae",2,626,0.00319488817891374
"81","Stegostomatidae",1,626,0.00159744408945687
"82","Stomiidae",1,626,0.00159744408945687
"83","Synanceiidae",1,626,0.00159744408945687
"84","Syngnathidae",1,626,0.00159744408945687
"85","Synodontidae",5,626,0.00798722044728434
"86","Tetraodontidae",9,626,0.0143769968051118
"87","Trichiuridae",1,626,0.00159744408945687
"88","Tripterygiidae",3,626,0.00479233226837061
"89","Zanclidae",1,626,0.00159744408945687
