"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",2,228,0.0087719298245614
"2","Albulidae",1,228,0.0043859649122807
"3","Apogonidae",7,228,0.0307017543859649
"4","Atherinidae",2,228,0.0087719298245614
"5","Aulostomidae",1,228,0.0043859649122807
"6","Balistidae",5,228,0.0219298245614035
"7","Belonidae",3,228,0.0131578947368421
"8","Blenniidae",1,228,0.0043859649122807
"9","Bramidae",1,228,0.0043859649122807
"10","Carangidae",16,228,0.0701754385964912
"11","Carcharhinidae",4,228,0.0175438596491228
"12","Centrarchidae",1,228,0.0043859649122807
"13","Chaetodontidae",1,228,0.0043859649122807
"14","Chlopsidae",2,228,0.0087719298245614
"15","Cichlidae",1,228,0.0043859649122807
"16","Clupeidae",9,228,0.0394736842105263
"17","Congridae",1,228,0.0043859649122807
"18","Diodontidae",2,228,0.0087719298245614
"19","Diplophidae",1,228,0.0043859649122807
"20","Eleotridae",1,228,0.0043859649122807
"21","Elopidae",2,228,0.0087719298245614
"22","Engraulidae",4,228,0.0175438596491228
"23","Exocoetidae",4,228,0.0175438596491228
"24","Fistulariidae",1,228,0.0043859649122807
"25","Gempylidae",1,228,0.0043859649122807
"26","Gerreidae",1,228,0.0043859649122807
"27","Ginglymostomatidae",1,228,0.0043859649122807
"28","Gobiesocidae",2,228,0.0087719298245614
"29","Gobiidae",13,228,0.0570175438596491
"30","Haemulidae",2,228,0.0087719298245614
"31","Hemiramphidae",4,228,0.0175438596491228
"32","Holocentridae",6,228,0.0263157894736842
"33","Istiophoridae",1,228,0.0043859649122807
"34","Kyphosidae",4,228,0.0175438596491228
"35","Labridae",15,228,0.0657894736842105
"36","Lutjanidae",8,228,0.0350877192982456
"37","Malacanthidae",1,228,0.0043859649122807
"38","Megalopidae",1,228,0.0043859649122807
"39","Monacanthidae",5,228,0.0219298245614035
"40","Moringuidae",1,228,0.0043859649122807
"41","Mugilidae",5,228,0.0219298245614035
"42","Mullidae",2,228,0.0087719298245614
"43","Muraenidae",8,228,0.0350877192982456
"44","Myctophidae",14,228,0.0614035087719298
"45","Myliobatidae",1,228,0.0043859649122807
"46","Narcinidae",2,228,0.0087719298245614
"47","Nemichthyidae",1,228,0.0043859649122807
"48","Nomeidae",1,228,0.0043859649122807
"49","Ophichthidae",2,228,0.0087719298245614
"50","Opistognathidae",1,228,0.0043859649122807
"51","Poeciliidae",1,228,0.0043859649122807
"52","Pomacanthidae",2,228,0.0087719298245614
"53","Pomacentridae",12,228,0.0526315789473684
"54","Priacanthidae",1,228,0.0043859649122807
"55","Rachycentridae",1,228,0.0043859649122807
"56","Scaridae",3,228,0.0131578947368421
"57","Sciaenidae",6,228,0.0263157894736842
"58","Scombridae",8,228,0.0350877192982456
"59","Scorpaenidae",1,228,0.0043859649122807
"60","Serranidae",7,228,0.0307017543859649
"61","Sparidae",2,228,0.0087719298245614
"62","Sphyraenidae",1,228,0.0043859649122807
"63","Syngnathidae",1,228,0.0043859649122807
"64","Tetraodontidae",3,228,0.0131578947368421
"65","Urotrygonidae",2,228,0.0087719298245614
"66","Xenocyprididae",1,228,0.0043859649122807
