"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",19,276,0.0688405797101449
"2","Albulidae",2,276,0.0072463768115942
"3","Aphaniidae",1,276,0.0036231884057971
"4","Apogonidae",9,276,0.0326086956521739
"5","Atherinidae",1,276,0.0036231884057971
"6","Balistidae",9,276,0.0326086956521739
"7","Belonidae",6,276,0.0217391304347826
"8","Blenniidae",1,276,0.0036231884057971
"9","Bothidae",1,276,0.0036231884057971
"10","Carangidae",6,276,0.0217391304347826
"11","Carcharhinidae",3,276,0.0108695652173913
"12","Chaetodontidae",3,276,0.0108695652173913
"13","Chanidae",1,276,0.0036231884057971
"14","Channidae",1,276,0.0036231884057971
"15","Cirrhitidae",3,276,0.0108695652173913
"16","Clupeidae",1,276,0.0036231884057971
"17","Congridae",2,276,0.0072463768115942
"18","Coryphaenidae",1,276,0.0036231884057971
"19","Dactylopteridae",1,276,0.0036231884057971
"20","Dasyatidae",5,276,0.0181159420289855
"21","Diodontidae",1,276,0.0036231884057971
"22","Diplophidae",1,276,0.0036231884057971
"23","Eleotridae",1,276,0.0036231884057971
"24","Engraulidae",1,276,0.0036231884057971
"25","Exocoetidae",4,276,0.0144927536231884
"26","Fistulariidae",1,276,0.0036231884057971
"27","Gempylidae",2,276,0.0072463768115942
"28","Gobiidae",9,276,0.0326086956521739
"29","Haemulidae",1,276,0.0036231884057971
"30","Hemiramphidae",3,276,0.0108695652173913
"31","Holocentridae",8,276,0.0289855072463768
"32","Kyphosidae",3,276,0.0108695652173913
"33","Labridae",34,276,0.123188405797101
"34","Lethrinidae",3,276,0.0108695652173913
"35","Lutjanidae",14,276,0.0507246376811594
"36","Monacanthidae",1,276,0.0036231884057971
"37","Moringuidae",1,276,0.0036231884057971
"38","Mugilidae",2,276,0.0072463768115942
"39","Mullidae",5,276,0.0181159420289855
"40","Muraenidae",11,276,0.0398550724637681
"41","Myctophidae",22,276,0.0797101449275362
"42","Myliobatidae",1,276,0.0036231884057971
"43","Nomeidae",1,276,0.0036231884057971
"44","Notosudidae",1,276,0.0036231884057971
"45","Ostraciidae",1,276,0.0036231884057971
"46","Pempheridae",2,276,0.0072463768115942
"47","Percidae",1,276,0.0036231884057971
"48","Pinguipedidae",1,276,0.0036231884057971
"49","Pomacanthidae",3,276,0.0108695652173913
"50","Pomacentridae",23,276,0.0833333333333333
"51","Potamotrygonidae",1,276,0.0036231884057971
"52","Scaridae",3,276,0.0108695652173913
"53","Scombridae",4,276,0.0144927536231884
"54","Serranidae",13,276,0.0471014492753623
"55","Siganidae",1,276,0.0036231884057971
"56","Siluridae",1,276,0.0036231884057971
"57","Sphyraenidae",2,276,0.0072463768115942
"58","Stomiidae",1,276,0.0036231884057971
"59","Synodontidae",3,276,0.0108695652173913
"60","Tetraodontidae",7,276,0.0253623188405797
"61","Uranoscopidae",1,276,0.0036231884057971
"62","Zanclidae",1,276,0.0036231884057971
