"","family","n_species","n_sp_total","prop","site35","province"
"13","Labridae",33,134,0.246268656716418,"site25","Northwest_Australian_Shelf"
"24","Pomacentridae",22,134,0.164179104477612,"site25","Northwest_Australian_Shelf"
"4","Blenniidae",7,134,0.0522388059701493,"site25","Northwest_Australian_Shelf"
"6","Chaetodontidae",7,134,0.0522388059701493,"site25","Northwest_Australian_Shelf"
"10","Gobiidae",7,134,0.0522388059701493,"site25","Northwest_Australian_Shelf"
"26","Scaridae",7,134,0.0522388059701493,"site25","Northwest_Australian_Shelf"
"1","Acanthuridae",5,134,0.0373134328358209,"site25","Northwest_Australian_Shelf"
"28","Serranidae",5,134,0.0373134328358209,"site25","Northwest_Australian_Shelf"
"19","Mullidae",4,134,0.0298507462686567,"site25","Northwest_Australian_Shelf"
"2","Apogonidae",3,134,0.0223880597014925,"site25","Northwest_Australian_Shelf"
"16","Lutjanidae",3,134,0.0223880597014925,"site25","Northwest_Australian_Shelf"
"23","Pomacanthidae",3,134,0.0223880597014925,"site25","Northwest_Australian_Shelf"
"29","Siganidae",3,134,0.0223880597014925,"site25","Northwest_Australian_Shelf"
"31","Synodontidae",3,134,0.0223880597014925,"site25","Northwest_Australian_Shelf"
"3","Balistidae",2,134,0.0149253731343284,"site25","Northwest_Australian_Shelf"
"18","Monacanthidae",2,134,0.0149253731343284,"site25","Northwest_Australian_Shelf"
"20","Nemipteridae",2,134,0.0149253731343284,"site25","Northwest_Australian_Shelf"
"25","Pseudochromidae",2,134,0.0149253731343284,"site25","Northwest_Australian_Shelf"
"5","Carangidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"7","Diodontidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"8","Fistulariidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"9","Gobiesocidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"11","Haemulidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"12","Holocentridae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"14","Latidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"15","Lethrinidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"17","Microdesmidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"21","Ostraciidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"22","Pinguipedidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"27","Scorpaenidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"30","Sphyraenidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"32","Zanclidae",1,134,0.00746268656716418,"site25","Northwest_Australian_Shelf"
"111","Gobiidae",10,46,0.217391304347826,"site198","Sahul_Shelf"
"141","Labridae",5,46,0.108695652173913,"site198","Sahul_Shelf"
"71","Chaetodontidae",3,46,0.0652173913043478,"site198","Sahul_Shelf"
"210","Apogonidae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"41","Blenniidae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"121","Haemulidae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"171","Nemipteridae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"181","Pinguipedidae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"191","Pomacanthidae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"201","Pomacentridae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"221","Serranidae",2,46,0.0434782608695652,"site198","Sahul_Shelf"
"110","Acanthuridae",1,46,0.0217391304347826,"site198","Sahul_Shelf"
"33","Balistidae",1,46,0.0217391304347826,"site198","Sahul_Shelf"
"51","Caesionidae",1,46,0.0217391304347826,"site198","Sahul_Shelf"
"61","Carangidae",1,46,0.0217391304347826,"site198","Sahul_Shelf"
