"","family","n_motus","n_motus_total","prop","site","province"
"30","Gobiidae",40,339,0.117994100294985,"site57","Tropical_Southwestern_Pacific"
"35","Labridae",37,339,0.109144542772861,"site57","Tropical_Southwestern_Pacific"
"4","Apogonidae",34,339,0.100294985250737,"site57","Tropical_Southwestern_Pacific"
"53","Pomacentridae",29,339,0.0855457227138643,"site57","Tropical_Southwestern_Pacific"
"38","Lutjanidae",16,339,0.0471976401179941,"site57","Tropical_Southwestern_Pacific"
"45","Myctophidae",14,339,0.0412979351032448,"site57","Tropical_Southwestern_Pacific"
"1","Acanthuridae",11,339,0.0324483775811209,"site57","Tropical_Southwestern_Pacific"
"43","Mullidae",11,339,0.0324483775811209,"site57","Tropical_Southwestern_Pacific"
"58","Serranidae",10,339,0.0294985250737463,"site57","Tropical_Southwestern_Pacific"
"33","Holocentridae",9,339,0.0265486725663717,"site57","Tropical_Southwestern_Pacific"
"11","Carcharhinidae",8,339,0.023598820058997,"site57","Tropical_Southwestern_Pacific"
"37","Lethrinidae",7,339,0.0206489675516224,"site57","Tropical_Southwestern_Pacific"
"52","Pomacanthidae",6,339,0.0176991150442478,"site57","Tropical_Southwestern_Pacific"
"55","Scaridae",6,339,0.0176991150442478,"site57","Tropical_Southwestern_Pacific"
"6","Balistidae",5,339,0.0147492625368732,"site57","Tropical_Southwestern_Pacific"
"10","Carangidae",5,339,0.0147492625368732,"site57","Tropical_Southwestern_Pacific"
"16","Clupeidae",5,339,0.0147492625368732,"site57","Tropical_Southwestern_Pacific"
"57","Scombridae",5,339,0.0147492625368732,"site57","Tropical_Southwestern_Pacific"
"59","Siganidae",5,339,0.0147492625368732,"site57","Tropical_Southwestern_Pacific"
"18","Dasyatidae",4,339,0.0117994100294985,"site57","Tropical_Southwestern_Pacific"
"31","Haemulidae",4,339,0.0117994100294985,"site57","Tropical_Southwestern_Pacific"
"40","Monacanthidae",4,339,0.0117994100294985,"site57","Tropical_Southwestern_Pacific"
"42","Mugilidae",4,339,0.0117994100294985,"site57","Tropical_Southwestern_Pacific"
"62","Tetraodontidae",4,339,0.0117994100294985,"site57","Tropical_Southwestern_Pacific"
"8","Blenniidae",3,339,0.00884955752212389,"site57","Tropical_Southwestern_Pacific"
"23","Engraulidae",3,339,0.00884955752212389,"site57","Tropical_Southwestern_Pacific"
"36","Leiognathidae",3,339,0.00884955752212389,"site57","Tropical_Southwestern_Pacific"
"44","Muraenidae",3,339,0.00884955752212389,"site57","Tropical_Southwestern_Pacific"
"7","Belonidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"15","Cirrhitidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"20","Dussumieriidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"26","Exocoetidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"27","Gerreidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"46","Myliobatidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"61","Synodontidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"64","Tripterygiidae",2,339,0.00589970501474926,"site57","Tropical_Southwestern_Pacific"
"2","Ambassidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"3","Anomalopidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"5","Aulostomidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"9","Bothidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"12","Centriscidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"13","Chaetodontidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"14","Chirocentridae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"17","Congridae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"19","Diodontidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"21","Echeneidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"22","Elopidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"24","Ephippidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"25","Evermannellidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"28","Ginglymostomatidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"29","Gobiesocidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"32","Hemiramphidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"34","Kyphosidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"39","Megalopidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"41","Monodactylidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"47","Ophichthidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"48","Ostraciidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"49","Paralepididae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"50","Pempheridae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"51","Pinguipedidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"54","Rhynchobatidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"56","Scatophagidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"60","Sphyraenidae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"63","Trichiuridae",1,339,0.00294985250737463,"site57","Tropical_Southwestern_Pacific"
"311","Labridae",41,336,0.12202380952381,"site54","Tropical_Southwestern_Pacific"
"261","Gobiidae",28,336,0.0833333333333333,"site54","Tropical_Southwestern_Pacific"
"210","Apogonidae",22,336,0.0654761904761905,"site54","Tropical_Southwestern_Pacific"
"391","Myctophidae",21,336,0.0625,"site54","Tropical_Southwestern_Pacific"
"481","Pomacentridae",21,336,0.0625,"site54","Tropical_Southwestern_Pacific"
"110","Acanthuridae",15,336,0.0446428571428571,"site54","Tropical_Southwestern_Pacific"
"331","Lethrinidae",11,336,0.0327380952380952,"site54","Tropical_Southwestern_Pacific"
"341","Lutjanidae",11,336,0.0327380952380952,"site54","Tropical_Southwestern_Pacific"
"291","Holocentridae",10,336,0.0297619047619048,"site54","Tropical_Southwestern_Pacific"
"371","Mullidae",10,336,0.0297619047619048,"site54","Tropical_Southwestern_Pacific"
"531","Serranidae",9,336,0.0267857142857143,"site54","Tropical_Southwestern_Pacific"
"101","Carcharhinidae",8,336,0.0238095238095238,"site54","Tropical_Southwestern_Pacific"
"510","Balistidae",7,336,0.0208333333333333,"site54","Tropical_Southwestern_Pacific"
"381","Muraenidae",7,336,0.0208333333333333,"site54","Tropical_Southwestern_Pacific"
"471","Pomacanthidae",7,336,0.0208333333333333,"site54","Tropical_Southwestern_Pacific"
"91","Carangidae",6,336,0.0178571428571429,"site54","Tropical_Southwestern_Pacific"
"151","Clupeidae",6,336,0.0178571428571429,"site54","Tropical_Southwestern_Pacific"
"171","Dasyatidae",6,336,0.0178571428571429,"site54","Tropical_Southwestern_Pacific"
"591","Tetraodontidae",6,336,0.0178571428571429,"site54","Tropical_Southwestern_Pacific"
"351","Monacanthidae",5,336,0.0148809523809524,"site54","Tropical_Southwestern_Pacific"
"511","Scaridae",5,336,0.0148809523809524,"site54","Tropical_Southwestern_Pacific"
"521","Scombridae",5,336,0.0148809523809524,"site54","Tropical_Southwestern_Pacific"
"65","Belonidae",4,336,0.0119047619047619,"site54","Tropical_Southwestern_Pacific"
"431","Ostraciidae",4,336,0.0119047619047619,"site54","Tropical_Southwestern_Pacific"
"541","Siganidae",4,336,0.0119047619047619,"site54","Tropical_Southwestern_Pacific"
"581","Synodontidae",4,336,0.0119047619047619,"site54","Tropical_Southwestern_Pacific"
"310","Atherinidae",3,336,0.00892857142857143,"site54","Tropical_Southwestern_Pacific"
"111","Chaetodontidae",3,336,0.00892857142857143,"site54","Tropical_Southwestern_Pacific"
"271","Haemulidae",3,336,0.00892857142857143,"site54","Tropical_Southwestern_Pacific"
"401","Myliobatidae",3,336,0.00892857142857143,"site54","Tropical_Southwestern_Pacific"
"451","Pinguipedidae",3,336,0.00892857142857143,"site54","Tropical_Southwestern_Pacific"
"601","Tripterygiidae",3,336,0.00892857142857143,"site54","Tropical_Southwestern_Pacific"
"71","Blenniidae",2,336,0.00595238095238095,"site54","Tropical_Southwestern_Pacific"
