"","family","n_motus","n_motus_total","prop","site","province"
"1","Acanthuridae",2,28,0.0714285714285714,"site6","Tropical_Northwestern_Atlantic"
"3","Carangidae",2,28,0.0714285714285714,"site6","Tropical_Northwestern_Atlantic"
"6","Clupeidae",2,28,0.0714285714285714,"site6","Tropical_Northwestern_Atlantic"
"7","Engraulidae",2,28,0.0714285714285714,"site6","Tropical_Northwestern_Atlantic"
"10","Labridae",2,28,0.0714285714285714,"site6","Tropical_Northwestern_Atlantic"
"11","Lutjanidae",2,28,0.0714285714285714,"site6","Tropical_Northwestern_Atlantic"
"2","Balistidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"4","Centrarchidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"5","Chaetodontidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"8","Gerreidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"9","Hemiramphidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"12","Mullidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"13","Myctophidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"14","Myliobatidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"15","Nomeidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"16","Opistognathidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"17","Pomacentridae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"18","Scaridae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"19","Scombridae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"20","Scorpaenidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"21","Sparidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"22","Sphyraenidae",1,28,0.0357142857142857,"site6","Tropical_Northwestern_Atlantic"
"181","Myctophidae",12,56,0.214285714285714,"site4","Tropical_Northwestern_Atlantic"
"161","Labridae",5,56,0.0892857142857143,"site4","Tropical_Northwestern_Atlantic"
"23","Scombridae",5,56,0.0892857142857143,"site4","Tropical_Northwestern_Atlantic"
"71","Carangidae",4,56,0.0714285714285714,"site4","Tropical_Northwestern_Atlantic"
"111","Exocoetidae",4,56,0.0714285714285714,"site4","Tropical_Northwestern_Atlantic"
"141","Hemiramphidae",3,56,0.0535714285714286,"site4","Tropical_Northwestern_Atlantic"
"51","Belonidae",2,56,0.0357142857142857,"site4","Tropical_Northwestern_Atlantic"
"81","Clupeidae",2,56,0.0357142857142857,"site4","Tropical_Northwestern_Atlantic"
"131","Gobiidae",2,56,0.0357142857142857,"site4","Tropical_Northwestern_Atlantic"
"151","Holocentridae",2,56,0.0357142857142857,"site4","Tropical_Northwestern_Atlantic"
"201","Pomacentridae",2,56,0.0357142857142857,"site4","Tropical_Northwestern_Atlantic"
"110","Acanthuridae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"25","Albulidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"31","Apogonidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"41","Atherinidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"61","Bramidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"91","Diodontidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"101","Diplophidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"121","Gempylidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"171","Malacanthidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"191","Nomeidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"211","Priacanthidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"221","Scaridae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"24","Scorpaenidae",1,56,0.0178571428571429,"site4","Tropical_Northwestern_Atlantic"
"202","Labridae",11,99,0.111111111111111,"site3","Tropical_Northwestern_Atlantic"
"212","Lutjanidae",7,99,0.0707070707070707,"site3","Tropical_Northwestern_Atlantic"
"32","Pomacentridae",7,99,0.0707070707070707,"site3","Tropical_Northwestern_Atlantic"
"82","Carangidae",5,99,0.0505050505050505,"site3","Tropical_Northwestern_Atlantic"
"102","Clupeidae",5,99,0.0505050505050505,"site3","Tropical_Northwestern_Atlantic"
"38","Serranidae",5,99,0.0505050505050505,"site3","Tropical_Northwestern_Atlantic"
"310","Apogonidae",4,99,0.0404040404040404,"site3","Tropical_Northwestern_Atlantic"
"162","Gobiidae",4,99,0.0404040404040404,"site3","Tropical_Northwestern_Atlantic"
"182","Holocentridae",4,99,0.0404040404040404,"site3","Tropical_Northwestern_Atlantic"
"62","Balistidae",3,99,0.0303030303030303,"site3","Tropical_Northwestern_Atlantic"
"72","Belonidae",3,99,0.0303030303030303,"site3","Tropical_Northwestern_Atlantic"
"251","Muraenidae",3,99,0.0303030303030303,"site3","Tropical_Northwestern_Atlantic"
"26","Myctophidae",3,99,0.0303030303030303,"site3","Tropical_Northwestern_Atlantic"
"34","Scaridae",3,99,0.0303030303030303,"site3","Tropical_Northwestern_Atlantic"
"112","Acanthuridae",2,99,0.0202020202020202,"site3","Tropical_Northwestern_Atlantic"
"113","Diodontidae",2,99,0.0202020202020202,"site3","Tropical_Northwestern_Atlantic"
"172","Hemiramphidae",2,99,0.0202020202020202,"site3","Tropical_Northwestern_Atlantic"
"241","Mullidae",2,99,0.0202020202020202,"site3","Tropical_Northwestern_Atlantic"
"411","Tetraodontidae",2,99,0.0202020202020202,"site3","Tropical_Northwestern_Atlantic"
"210","Albulidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"42","Atherinidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"52","Aulostomidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"92","Chaetodontidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"122","Engraulidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"132","Exocoetidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"142","Gempylidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"152","Ginglymostomatidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"192","Kyphosidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"222","Malacanthidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"231","Monacanthidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"27","Myliobatidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"28","Nemichthyidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"29","Nomeidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"30","Opistognathidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"311","Pomacanthidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"33","Priacanthidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"35","Sciaenidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"36","Scombridae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"37","Scorpaenidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"39","Sparidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"40","Sphyraenidae",1,99,0.0101010101010101,"site3","Tropical_Northwestern_Atlantic"
"153","Labridae",11,64,0.171875,"site5","Tropical_Northwestern_Atlantic"
"163","Lutjanidae",4,64,0.0625,"site5","Tropical_Northwestern_Atlantic"
"252","Pomacentridae",4,64,0.0625,"site5","Tropical_Northwestern_Atlantic"
"312","Balistidae",3,64,0.046875,"site5","Tropical_Northwestern_Atlantic"
"43","Belonidae",3,64,0.046875,"site5","Tropical_Northwestern_Atlantic"
"63","Carangidae",3,64,0.046875,"site5","Tropical_Northwestern_Atlantic"
"133","Holocentridae",3,64,0.046875,"site5","Tropical_Northwestern_Atlantic"
"143","Kyphosidae",3,64,0.046875,"site5","Tropical_Northwestern_Atlantic"
"114","Acanthuridae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"73","Clupeidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"83","Diodontidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"93","Exocoetidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"115","Gobiidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"123","Hemiramphidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"183","Monacanthidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"193","Mullidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"203","Muraenidae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"261","Scaridae",2,64,0.03125,"site5","Tropical_Northwestern_Atlantic"
"213","Apogonidae",1,64,0.015625,"site5","Tropical_Northwestern_Atlantic"
"53","Blenniidae",1,64,0.015625,"site5","Tropical_Northwestern_Atlantic"
"103","Ginglymostomatidae",1,64,0.015625,"site5","Tropical_Northwestern_Atlantic"
"173","Malacanthidae",1,64,0.015625,"site5","Tropical_Northwestern_Atlantic"
"214","Myctophidae",1,64,0.015625,"site5","Tropical_Northwestern_Atlantic"
"223","Myliobatidae",1,64,0.015625,"site5","Tropical_Northwestern_Atlantic"
