"","family","n_motus","n_motus_total","prop","site","province"
"37","Labridae",51,538,0.0947955390334572,"site43","Western_Coral_Triangle"
"60","Pomacentridae",51,538,0.0947955390334572,"site43","Western_Coral_Triangle"
"29","Gobiidae",48,538,0.0892193308550186,"site43","Western_Coral_Triangle"
"40","Lutjanidae",32,538,0.0594795539033457,"site43","Western_Coral_Triangle"
"69","Serranidae",26,538,0.0483271375464684,"site43","Western_Coral_Triangle"
"1","Acanthuridae",24,538,0.0446096654275093,"site43","Western_Coral_Triangle"
"48","Muraenidae",23,538,0.0427509293680297,"site43","Western_Coral_Triangle"
"4","Apogonidae",22,538,0.0408921933085502,"site43","Western_Coral_Triangle"
"39","Lethrinidae",15,538,0.0278810408921933,"site43","Western_Coral_Triangle"
"12","Carangidae",14,538,0.0260223048327138,"site43","Western_Coral_Triangle"
"8","Balistidae",13,538,0.0241635687732342,"site43","Western_Coral_Triangle"
"14","Chaetodontidae",11,538,0.0204460966542751,"site43","Western_Coral_Triangle"
"19","Dasyatidae",11,538,0.0204460966542751,"site43","Western_Coral_Triangle"
"59","Pomacanthidae",11,538,0.0204460966542751,"site43","Western_Coral_Triangle"
"30","Haemulidae",8,538,0.0148698884758364,"site43","Western_Coral_Triangle"
"47","Mullidae",8,538,0.0148698884758364,"site43","Western_Coral_Triangle"
"75","Tetraodontidae",8,538,0.0148698884758364,"site43","Western_Coral_Triangle"
"23","Engraulidae",7,538,0.0130111524163569,"site43","Western_Coral_Triangle"
"33","Holocentridae",7,538,0.0130111524163569,"site43","Western_Coral_Triangle"
"49","Myctophidae",7,538,0.0130111524163569,"site43","Western_Coral_Triangle"
"13","Carcharhinidae",6,538,0.0111524163568773,"site43","Western_Coral_Triangle"
"22","Eleotridae",6,538,0.0111524163568773,"site43","Western_Coral_Triangle"
"46","Mugilidae",6,538,0.0111524163568773,"site43","Western_Coral_Triangle"
"70","Siganidae",6,538,0.0111524163568773,"site43","Western_Coral_Triangle"
"18","Congridae",5,538,0.00929368029739777,"site43","Western_Coral_Triangle"
"50","Myliobatidae",5,538,0.00929368029739777,"site43","Western_Coral_Triangle"
"56","Pempheridae",5,538,0.00929368029739777,"site43","Western_Coral_Triangle"
"67","Scombridae",5,538,0.00929368029739777,"site43","Western_Coral_Triangle"
"71","Sphyraenidae",5,538,0.00929368029739777,"site43","Western_Coral_Triangle"
"73","Synodontidae",5,538,0.00929368029739777,"site43","Western_Coral_Triangle"
"43","Monacanthidae",4,538,0.00743494423791822,"site43","Western_Coral_Triangle"
"65","Scaridae",4,538,0.00743494423791822,"site43","Western_Coral_Triangle"
"2","Ambassidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"6","Atherinidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"10","Blenniidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"16","Cirrhitidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"17","Clupeidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"28","Gerreidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"38","Leiognathidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"41","Malacanthidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"51","Nemipteridae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"68","Scorpaenidae",3,538,0.00557620817843866,"site43","Western_Coral_Triangle"
"9","Belonidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"20","Diodontidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"25","Exocoetidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"31","Hemiramphidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"35","Kuhliidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"36","Kyphosidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"45","Moringuidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"54","Osphronemidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"55","Ostraciidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"57","Pinguipedidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"58","Plesiopidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"61","Priacanthidae",2,538,0.00371747211895911,"site43","Western_Coral_Triangle"
"3","Anguillidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"5","Ariidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"7","Aulostomidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"11","Bramidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"15","Chanidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"21","Echeneidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"24","Ephippidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"26","Fistulariidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"27","Fundulidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"32","Hemiscylliidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"34","Istiophoridae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"42","Menidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"44","Monodactylidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"52","Nomeidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"53","Ophichthidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"62","Pseudochromidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"63","Rhinobatidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"64","Rhyacichthyidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"66","Scatophagidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"72","Stegostomatidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"74","Terapontidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"76","Toxotidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"77","Trichiuridae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"78","Uranoscopidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"79","Zanclidae",1,538,0.00185873605947955,"site43","Western_Coral_Triangle"
"281","Labridae",41,343,0.119533527696793,"site44","Western_Coral_Triangle"
"481","Pomacentridae",36,343,0.104956268221574,"site44","Western_Coral_Triangle"
"301","Lutjanidae",28,343,0.0816326530612245,"site44","Western_Coral_Triangle"
"110","Acanthuridae",20,343,0.0583090379008746,"site44","Western_Coral_Triangle"
"531","Serranidae",20,343,0.0583090379008746,"site44","Western_Coral_Triangle"
"410","Apogonidae",16,343,0.0466472303206997,"site44","Western_Coral_Triangle"
"221","Gobiidae",15,343,0.043731778425656,"site44","Western_Coral_Triangle"
"291","Lethrinidae",13,343,0.0379008746355685,"site44","Western_Coral_Triangle"
"341","Muraenidae",13,343,0.0379008746355685,"site44","Western_Coral_Triangle"
"510","Balistidae",8,343,0.0233236151603499,"site44","Western_Coral_Triangle"
"101","Carangidae",8,343,0.0233236151603499,"site44","Western_Coral_Triangle"
"121","Chaetodontidae",8,343,0.0233236151603499,"site44","Western_Coral_Triangle"
"171","Dasyatidae",7,343,0.0204081632653061,"site44","Western_Coral_Triangle"
"261","Holocentridae",7,343,0.0204081632653061,"site44","Western_Coral_Triangle"
"471","Pomacanthidae",6,343,0.0174927113702624,"site44","Western_Coral_Triangle"
"521","Scombridae",6,343,0.0174927113702624,"site44","Western_Coral_Triangle"
"581","Tetraodontidae",6,343,0.0174927113702624,"site44","Western_Coral_Triangle"
"231","Haemulidae",5,343,0.0145772594752187,"site44","Western_Coral_Triangle"
"331","Mullidae",5,343,0.0145772594752187,"site44","Western_Coral_Triangle"
"351","Myctophidae",5,343,0.0145772594752187,"site44","Western_Coral_Triangle"
"321","Mugilidae",4,343,0.0116618075801749,"site44","Western_Coral_Triangle"
"511","Scaridae",4,343,0.0116618075801749,"site44","Western_Coral_Triangle"
"541","Siganidae",4,343,0.0116618075801749,"site44","Western_Coral_Triangle"
"551","Sphyraenidae",4,343,0.0116618075801749,"site44","Western_Coral_Triangle"
"710","Blenniidae",3,343,0.0087463556851312,"site44","Western_Coral_Triangle"
"111","Carcharhinidae",3,343,0.0087463556851312,"site44","Western_Coral_Triangle"
"141","Cirrhitidae",3,343,0.0087463556851312,"site44","Western_Coral_Triangle"
"181","Engraulidae",3,343,0.0087463556851312,"site44","Western_Coral_Triangle"
"441","Pinguipedidae",3,343,0.0087463556851312,"site44","Western_Coral_Triangle"
"610","Belonidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"161","Congridae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"191","Ephippidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"201","Exocoetidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"241","Hemiramphidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"251","Hemiscylliidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"361","Myliobatidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"491","Pseudochromidae",2,343,0.00583090379008746,"site44","Western_Coral_Triangle"
"210","Albulidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"310","Aphaniidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"81","Bramidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"91","Callionymidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"131","Chanidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"151","Clupeidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"211","Fistulariidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"271","Kyphosidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"311","Monacanthidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"371","Nemipteridae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"381","Nomeidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"391","Opistognathidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"401","Osphronemidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"411","Ostraciidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"421","Paralepididae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"431","Pempheridae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"451","Plesiopidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"461","Poeciliidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"501","Rhinobatidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"561","Stegostomatidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"571","Synodontidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"591","Trichiuridae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"601","Zanclidae",1,343,0.00291545189504373,"site44","Western_Coral_Triangle"
"442","Pomacentridae",25,277,0.0902527075812274,"site45","Western_Coral_Triangle"
"312","Lutjanidae",24,277,0.0866425992779783,"site45","Western_Coral_Triangle"
"282","Labridae",23,277,0.0830324909747292,"site45","Western_Coral_Triangle"
"502","Serranidae",18,277,0.0649819494584837,"site45","Western_Coral_Triangle"
"232","Gobiidae",12,277,0.0433212996389892,"site45","Western_Coral_Triangle"
"112","Acanthuridae",10,277,0.036101083032491,"site45","Western_Coral_Triangle"
"512","Apogonidae",10,277,0.036101083032491,"site45","Western_Coral_Triangle"
"302","Lethrinidae",10,277,0.036101083032491,"site45","Western_Coral_Triangle"
"113","Carangidae",9,277,0.0324909747292419,"site45","Western_Coral_Triangle"
"82","Balistidae",8,277,0.0288808664259928,"site45","Western_Coral_Triangle"
"192","Engraulidae",8,277,0.0288808664259928,"site45","Western_Coral_Triangle"
"352","Mugilidae",7,277,0.0252707581227437,"site45","Western_Coral_Triangle"
