"","family","n_motus","n_motus_total","prop","station","site","province"
"25","Labridae",26,171,0.152046783625731,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"34","Pomacentridae",15,171,0.087719298245614,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"21","Gobiidae",14,171,0.0818713450292398,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"2","Apogonidae",13,171,0.0760233918128655,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"28","Lutjanidae",9,171,0.0526315789473684,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"1","Acanthuridae",8,171,0.0467836257309941,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"30","Mullidae",8,171,0.0467836257309941,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"24","Holocentridae",6,171,0.0350877192982456,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"31","Myctophidae",6,171,0.0350877192982456,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"35","Scaridae",6,171,0.0350877192982456,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"3","Balistidae",5,171,0.0292397660818713,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"7","Carangidae",5,171,0.0292397660818713,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"27","Lethrinidae",4,171,0.0233918128654971,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"33","Pomacanthidae",4,171,0.0233918128654971,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"12","Dasyatidae",3,171,0.0175438596491228,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"17","Engraulidae",3,171,0.0175438596491228,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"22","Haemulidae",3,171,0.0175438596491228,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"38","Serranidae",3,171,0.0175438596491228,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"8","Carcharhinidae",2,171,0.0116959064327485,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"11","Clupeidae",2,171,0.0116959064327485,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
"20","Gerreidae",2,171,0.0116959064327485,"GATOPE_FONDS_BLANCS","site57","Tropical_Southwestern_Pacific"
