"","family","n_motus","n_motus_total","prop","station","site","province"
"1","Balistidae",1,3,0.333333333333333,"petit_cul_de_sac_marin_Large","site6","Tropical_Northwestern_Atlantic"
"2","Myctophidae",1,3,0.333333333333333,"petit_cul_de_sac_marin_Large","site6","Tropical_Northwestern_Atlantic"
"3","Nomeidae",1,3,0.333333333333333,"petit_cul_de_sac_marin_Large","site6","Tropical_Northwestern_Atlantic"
"110","Acanthuridae",2,25,0.08,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"21","Carangidae",2,25,0.08,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"5","Clupeidae",2,25,0.08,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"6","Engraulidae",2,25,0.08,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"9","Labridae",2,25,0.08,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"10","Lutjanidae",2,25,0.08,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"31","Centrarchidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"4","Chaetodontidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"7","Gerreidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"8","Hemiramphidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"11","Mullidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"12","Myliobatidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"13","Opistognathidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"14","Pomacentridae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"15","Scaridae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"16","Scombridae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"17","Scorpaenidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"18","Sparidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"19","Sphyraenidae",1,25,0.04,"petit_cul_de_sac_marin_cote","site6","Tropical_Northwestern_Atlantic"
"71","Myctophidae",9,23,0.391304347826087,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"41","Exocoetidae",4,23,0.173913043478261,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"91","Scombridae",3,23,0.130434782608696,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"61","Hemiramphidae",2,23,0.0869565217391304,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"111","Bramidae",1,23,0.0434782608695652,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"22","Carangidae",1,23,0.0434782608695652,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"32","Diplophidae",1,23,0.0434782608695652,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"51","Gobiidae",1,23,0.0434782608695652,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"81","Nomeidae",1,23,0.0434782608695652,"sec_sud_1","site4","Tropical_Northwestern_Atlantic"
"62","Labridae",6,25,0.24,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"52","Holocentridae",3,25,0.12,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"112","Acanthuridae",2,25,0.08,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"23","Carangidae",2,25,0.08,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"113","Pomacentridae",2,25,0.08,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"121","Scaridae",2,25,0.08,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"33","Clupeidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"42","Gobiidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"72","Lutjanidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"82","Malacanthidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"92","Mullidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"101","Myctophidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"131","Scorpaenidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
"141","Serranidae",1,25,0.04,"anse_bertrand_cote","site3","Tropical_Northwestern_Atlantic"
