"","family","n_motus","n_motus_total","prop","station","site","province"
"20","Labridae",15,98,0.153061224489796,"europa_distance_50m","site10","Western_Indian_Ocean"
"28","Pomacentridae",13,98,0.13265306122449,"europa_distance_50m","site10","Western_Indian_Ocean"
"1","Acanthuridae",10,98,0.102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"21","Lutjanidae",6,98,0.0612244897959184,"europa_distance_50m","site10","Western_Indian_Ocean"
"18","Holocentridae",5,98,0.0510204081632653,"europa_distance_50m","site10","Western_Indian_Ocean"
"4","Balistidae",4,98,0.0408163265306122,"europa_distance_50m","site10","Western_Indian_Ocean"
"31","Serranidae",4,98,0.0408163265306122,"europa_distance_50m","site10","Western_Indian_Ocean"
"5","Belonidae",3,98,0.0306122448979592,"europa_distance_50m","site10","Western_Indian_Ocean"
"19","Kyphosidae",3,98,0.0306122448979592,"europa_distance_50m","site10","Western_Indian_Ocean"
"23","Mullidae",3,98,0.0306122448979592,"europa_distance_50m","site10","Western_Indian_Ocean"
"24","Muraenidae",3,98,0.0306122448979592,"europa_distance_50m","site10","Western_Indian_Ocean"
"25","Myctophidae",3,98,0.0306122448979592,"europa_distance_50m","site10","Western_Indian_Ocean"
"2","Apogonidae",2,98,0.0204081632653061,"europa_distance_50m","site10","Western_Indian_Ocean"
"8","Chaetodontidae",2,98,0.0204081632653061,"europa_distance_50m","site10","Western_Indian_Ocean"
"9","Cirrhitidae",2,98,0.0204081632653061,"europa_distance_50m","site10","Western_Indian_Ocean"
"15","Gobiidae",2,98,0.0204081632653061,"europa_distance_50m","site10","Western_Indian_Ocean"
"27","Pomacanthidae",2,98,0.0204081632653061,"europa_distance_50m","site10","Western_Indian_Ocean"
"32","Tetraodontidae",2,98,0.0204081632653061,"europa_distance_50m","site10","Western_Indian_Ocean"
"3","Atherinidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"6","Blenniidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"7","Carangidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"10","Dasyatidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"11","Diplophidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"12","Eleotridae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"13","Engraulidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"14","Exocoetidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"16","Haemulidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"17","Hemiramphidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"22","Mugilidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"26","Pinguipedidae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"29","Scaridae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"30","Scombridae",1,98,0.0102040816326531,"europa_distance_50m","site10","Western_Indian_Ocean"
"251","Labridae",19,131,0.145038167938931,"europa_distance_0m","site10","Western_Indian_Ocean"
"35","Pomacentridae",18,131,0.137404580152672,"europa_distance_0m","site10","Western_Indian_Ocean"
"110","Acanthuridae",10,131,0.0763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"271","Lutjanidae",9,131,0.0687022900763359,"europa_distance_0m","site10","Western_Indian_Ocean"
"38","Serranidae",8,131,0.0610687022900763,"europa_distance_0m","site10","Western_Indian_Ocean"
"211","Gobiidae",6,131,0.0458015267175573,"europa_distance_0m","site10","Western_Indian_Ocean"
"231","Holocentridae",6,131,0.0458015267175573,"europa_distance_0m","site10","Western_Indian_Ocean"
"311","Myctophidae",5,131,0.0381679389312977,"europa_distance_0m","site10","Western_Indian_Ocean"
"51","Balistidae",4,131,0.0305343511450382,"europa_distance_0m","site10","Western_Indian_Ocean"
"291","Mullidae",4,131,0.0305343511450382,"europa_distance_0m","site10","Western_Indian_Ocean"
"301","Muraenidae",4,131,0.0305343511450382,"europa_distance_0m","site10","Western_Indian_Ocean"
"61","Belonidae",3,131,0.0229007633587786,"europa_distance_0m","site10","Western_Indian_Ocean"
"111","Chaetodontidae",3,131,0.0229007633587786,"europa_distance_0m","site10","Western_Indian_Ocean"
"241","Kyphosidae",3,131,0.0229007633587786,"europa_distance_0m","site10","Western_Indian_Ocean"
"101","Carcharhinidae",2,131,0.0152671755725191,"europa_distance_0m","site10","Western_Indian_Ocean"
"36","Scaridae",2,131,0.0152671755725191,"europa_distance_0m","site10","Western_Indian_Ocean"
"210","Albulidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"310","Apogonidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"42","Atherinidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"71","Blenniidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"81","Bothidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"91","Carangidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"121","Chanidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"131","Cirrhitidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"141","Congridae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"151","Dasyatidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"161","Diodontidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"171","Eleotridae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"181","Exocoetidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"191","Fistulariidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"201","Gempylidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"221","Haemulidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"261","Lethrinidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"281","Mugilidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"321","Nomeidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"33","Ostraciidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"34","Pomacanthidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"37","Scombridae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"39","Sphyraenidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"40","Tetraodontidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"41","Zanclidae",1,131,0.00763358778625954,"europa_distance_0m","site10","Western_Indian_Ocean"
"162","Myctophidae",7,39,0.179487179487179,"juan_distance3","site13","Western_Indian_Ocean"
"112","Holocentridae",4,39,0.102564102564103,"juan_distance3","site13","Western_Indian_Ocean"
"192","Scombridae",4,39,0.102564102564103,"juan_distance3","site13","Western_Indian_Ocean"
"82","Exocoetidae",3,39,0.0769230769230769,"juan_distance3","site13","Western_Indian_Ocean"
"212","Belonidae",2,39,0.0512820512820513,"juan_distance3","site13","Western_Indian_Ocean"
"102","Hemiramphidae",2,39,0.0512820512820513,"juan_distance3","site13","Western_Indian_Ocean"
"132","Lutjanidae",2,39,0.0512820512820513,"juan_distance3","site13","Western_Indian_Ocean"
"113","Acanthuridae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"312","Carangidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"43","Congridae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"52","Dactylopteridae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"62","Diodontidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"72","Engraulidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"92","Gempylidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"122","Labridae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"142","Monacanthidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"152","Mullidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"172","Nomeidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"182","Pomacentridae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"202","Serranidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"213","Uranoscopidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"222","Zanclidae",1,39,0.0256410256410256,"juan_distance3","site13","Western_Indian_Ocean"
"173","Pomacentridae",10,56,0.178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"123","Labridae",7,56,0.125,"taaf_station","site10","Western_Indian_Ocean"
"114","Acanthuridae",5,56,0.0892857142857143,"taaf_station","site10","Western_Indian_Ocean"
"133","Lutjanidae",5,56,0.0892857142857143,"taaf_station","site10","Western_Indian_Ocean"
"143","Myctophidae",5,56,0.0892857142857143,"taaf_station","site10","Western_Indian_Ocean"
"203","Serranidae",3,56,0.0535714285714286,"taaf_station","site10","Western_Indian_Ocean"
"214","Balistidae",2,56,0.0357142857142857,"taaf_station","site10","Western_Indian_Ocean"
"313","Belonidae",2,56,0.0357142857142857,"taaf_station","site10","Western_Indian_Ocean"
"44","Carangidae",2,56,0.0357142857142857,"taaf_station","site10","Western_Indian_Ocean"
"115","Kyphosidae",2,56,0.0357142857142857,"taaf_station","site10","Western_Indian_Ocean"
"193","Scombridae",2,56,0.0357142857142857,"taaf_station","site10","Western_Indian_Ocean"
"53","Cirrhitidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"63","Diplophidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"73","Engraulidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"83","Exocoetidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"93","Gobiidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"103","Holocentridae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"153","Pempheridae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"163","Pomacanthidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"183","Scaridae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"215","Synodontidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"223","Tetraodontidae",1,56,0.0178571428571429,"taaf_station","site10","Western_Indian_Ocean"
"45","Labridae",6,24,0.25,"juan_2","site13","Western_Indian_Ocean"
"116","Acanthuridae",5,24,0.208333333333333,"juan_2","site13","Western_Indian_Ocean"
"314","Holocentridae",2,24,0.0833333333333333,"juan_2","site13","Western_Indian_Ocean"
"54","Lutjanidae",2,24,0.0833333333333333,"juan_2","site13","Western_Indian_Ocean"
"74","Myctophidae",2,24,0.0833333333333333,"juan_2","site13","Western_Indian_Ocean"
"84","Pomacentridae",2,24,0.0833333333333333,"juan_2","site13","Western_Indian_Ocean"
"94","Scaridae",2,24,0.0833333333333333,"juan_2","site13","Western_Indian_Ocean"
"216","Balistidae",1,24,0.0416666666666667,"juan_2","site13","Western_Indian_Ocean"
"64","Mullidae",1,24,0.0416666666666667,"juan_2","site13","Western_Indian_Ocean"
"104","Synodontidae",1,24,0.0416666666666667,"juan_2","site13","Western_Indian_Ocean"
"204","Labridae",25,152,0.164473684210526,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"117","Acanthuridae",13,152,0.0855263157894737,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"302","Pomacentridae",13,152,0.0855263157894737,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"315","Apogonidae",8,152,0.0526315789473684,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"224","Lutjanidae",7,152,0.0460526315789474,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"55","Balistidae",6,152,0.0394736842105263,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"134","Dasyatidae",6,152,0.0394736842105263,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"184","Holocentridae",6,152,0.0394736842105263,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"262","Muraenidae",6,152,0.0394736842105263,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"272","Myctophidae",6,152,0.0394736842105263,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"331","Serranidae",6,152,0.0394736842105263,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"164","Gobiidae",5,152,0.0328947368421053,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"252","Mullidae",5,152,0.0328947368421053,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"65","Belonidae",4,152,0.0263157894736842,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"75","Carangidae",3,152,0.0197368421052632,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"105","Cirrhitidae",3,152,0.0197368421052632,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"144","Exocoetidae",3,152,0.0197368421052632,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"361","Tetraodontidae",3,152,0.0197368421052632,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"217","Albulidae",2,152,0.0131578947368421,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"194","Kyphosidae",2,152,0.0131578947368421,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"218","Lethrinidae",2,152,0.0131578947368421,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"322","Scombridae",2,152,0.0131578947368421,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"351","Synodontidae",2,152,0.0131578947368421,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"46","Atherinidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"85","Carcharhinidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"95","Chaetodontidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"118","Clupeidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"124","Congridae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"154","Fistulariidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"174","Haemulidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"232","Moringuidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"242","Mugilidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"282","Pempheridae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"292","Pomacanthidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"316","Scaridae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"341","Siganidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"371","Zanclidae",1,152,0.00657894736842105,"glorieuse_distance_0m","site15","Western_Indian_Ocean"
"96","Myctophidae",6,24,0.25,"tromelin_distance_100m","site16","Western_Indian_Ocean"
"76","Lutjanidae",3,24,0.125,"tromelin_distance_100m","site16","Western_Indian_Ocean"
"119","Serranidae",3,24,0.125,"tromelin_distance_100m","site16","Western_Indian_Ocean"
"317","Exocoetidae",2,24,0.0833333333333333,"tromelin_distance_100m","site16","Western_Indian_Ocean"
"66","Labridae",2,24,0.0833333333333333,"tromelin_distance_100m","site16","Western_Indian_Ocean"
