"","family","n_motus","n_motus_total","prop","station","site","province"
"17","Labridae",16,118,0.135593220338983,"lagon_faka","fakarava","Southeast_Polynesia"
"27","Pomacentridae",11,118,0.0932203389830508,"lagon_faka","fakarava","Southeast_Polynesia"
"1","Acanthuridae",9,118,0.076271186440678,"lagon_faka","fakarava","Southeast_Polynesia"
"14","Gobiidae",9,118,0.076271186440678,"lagon_faka","fakarava","Southeast_Polynesia"
"15","Holocentridae",6,118,0.0508474576271186,"lagon_faka","fakarava","Southeast_Polynesia"
"23","Muraenidae",6,118,0.0508474576271186,"lagon_faka","fakarava","Southeast_Polynesia"
"22","Mullidae",5,118,0.0423728813559322,"lagon_faka","fakarava","Southeast_Polynesia"
"30","Serranidae",5,118,0.0423728813559322,"lagon_faka","fakarava","Southeast_Polynesia"
"5","Balistidae",4,118,0.0338983050847458,"lagon_faka","fakarava","Southeast_Polynesia"
"9","Carcharhinidae",4,118,0.0338983050847458,"lagon_faka","fakarava","Southeast_Polynesia"
"10","Chaetodontidae",4,118,0.0338983050847458,"lagon_faka","fakarava","Southeast_Polynesia"
"19","Lutjanidae",4,118,0.0338983050847458,"lagon_faka","fakarava","Southeast_Polynesia"
"29","Scombridae",4,118,0.0338983050847458,"lagon_faka","fakarava","Southeast_Polynesia"
"33","Tetraodontidae",4,118,0.0338983050847458,"lagon_faka","fakarava","Southeast_Polynesia"
"6","Belonidae",3,118,0.0254237288135593,"lagon_faka","fakarava","Southeast_Polynesia"
"3","Apogonidae",2,118,0.0169491525423729,"lagon_faka","fakarava","Southeast_Polynesia"
"8","Carangidae",2,118,0.0169491525423729,"lagon_faka","fakarava","Southeast_Polynesia"
"21","Mugilidae",2,118,0.0169491525423729,"lagon_faka","fakarava","Southeast_Polynesia"
"24","Myctophidae",2,118,0.0169491525423729,"lagon_faka","fakarava","Southeast_Polynesia"
"26","Pomacanthidae",2,118,0.0169491525423729,"lagon_faka","fakarava","Southeast_Polynesia"
"28","Scaridae",2,118,0.0169491525423729,"lagon_faka","fakarava","Southeast_Polynesia"
"2","Alepocephalidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"4","Aulostomidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"7","Blenniidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"11","Engraulidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"12","Fistulariidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"13","Ginglymostomatidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"16","Kuhliidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"18","Lethrinidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"20","Monacanthidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"25","Pinguipedidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"31","Siganidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"32","Sphyraenidae",1,118,0.00847457627118644,"lagon_faka","fakarava","Southeast_Polynesia"
"110","Acanthuridae",4,38,0.105263157894737,"passe_faka_T","fakarava","Southeast_Polynesia"
"81","Holocentridae",4,38,0.105263157894737,"passe_faka_T","fakarava","Southeast_Polynesia"
"41","Carcharhinidae",3,38,0.0789473684210526,"passe_faka_T","fakarava","Southeast_Polynesia"
"111","Lethrinidae",3,38,0.0789473684210526,"passe_faka_T","fakarava","Southeast_Polynesia"
"161","Pomacentridae",3,38,0.0789473684210526,"passe_faka_T","fakarava","Southeast_Polynesia"
"181","Scombridae",3,38,0.0789473684210526,"passe_faka_T","fakarava","Southeast_Polynesia"
"191","Serranidae",3,38,0.0789473684210526,"passe_faka_T","fakarava","Southeast_Polynesia"
"151","Pomacanthidae",2,38,0.0526315789473684,"passe_faka_T","fakarava","Southeast_Polynesia"
"210","Aulostomidae",1,38,0.0263157894736842,"passe_faka_T","fakarava","Southeast_Polynesia"
"34","Balistidae",1,38,0.0263157894736842,"passe_faka_T","fakarava","Southeast_Polynesia"
