"","family","n_motus","n_motus_total","prop","station","site"
"3","Carangidae",4,52,0.0769230769230769,"malpelo1","malpelo"
"4","Carcharhinidae",4,52,0.0769230769230769,"malpelo1","malpelo"
"21","Scombridae",4,52,0.0769230769230769,"malpelo1","malpelo"
"8","Exocoetidae",3,52,0.0576923076923077,"malpelo1","malpelo"
"14","Lutjanidae",3,52,0.0576923076923077,"malpelo1","malpelo"
"22","Serranidae",3,52,0.0576923076923077,"malpelo1","malpelo"
"23","Tetraodontidae",3,52,0.0576923076923077,"malpelo1","malpelo"
"2","Balistidae",2,52,0.0384615384615385,"malpelo1","malpelo"
"17","Myctophidae",2,52,0.0384615384615385,"malpelo1","malpelo"
"18","Nomeidae",2,52,0.0384615384615385,"malpelo1","malpelo"
"20","Pomacentridae",2,52,0.0384615384615385,"malpelo1","malpelo"
"1","Apogonidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"5","Chanidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"6","Coryphaenidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"7","Diodontidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"9","Gobiesocidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"10","Gobiidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"11","Holocentridae",1,52,0.0192307692307692,"malpelo1","malpelo"
"12","Istiophoridae",1,52,0.0192307692307692,"malpelo1","malpelo"
"13","Kyphosidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"15","Mugilidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"16","Muraenidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"19","Pomacanthidae",1,52,0.0192307692307692,"malpelo1","malpelo"
"41","Carangidae",3,58,0.0517241379310345,"malpelo2","malpelo"
"51","Carcharhinidae",3,58,0.0517241379310345,"malpelo2","malpelo"
"161","Lutjanidae",3,58,0.0517241379310345,"malpelo2","malpelo"
"171","Muraenidae",3,58,0.0517241379310345,"malpelo2","malpelo"
"211","Nomeidae",3,58,0.0517241379310345,"malpelo2","malpelo"
"24","Scombridae",3,58,0.0517241379310345,"malpelo2","malpelo"
"25","Serranidae",3,58,0.0517241379310345,"malpelo2","malpelo"
"27","Balistidae",2,58,0.0344827586206897,"malpelo2","malpelo"
"111","Gobiidae",2,58,0.0344827586206897,"malpelo2","malpelo"
"121","Holocentridae",2,58,0.0344827586206897,"malpelo2","malpelo"
"151","Labridae",2,58,0.0344827586206897,"malpelo2","malpelo"
"231","Pomacentridae",2,58,0.0344827586206897,"malpelo2","malpelo"
"26","Tetraodontidae",2,58,0.0344827586206897,"malpelo2","malpelo"
"110","Apogonidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"31","Belonidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"61","Chanidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"71","Coryphaenidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"81","Diodontidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"91","Gempylidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"101","Gobiesocidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"131","Kuhliidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"141","Kyphosidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"181","Myctophidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"191","Myliobatidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"201","Neoscopelidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"221","Pomacanthidae",1,58,0.0172413793103448,"malpelo2","malpelo"
"162","Muraenidae",4,57,0.0701754385964912,"malpelo3","malpelo"
"202","Pomacentridae",4,57,0.0701754385964912,"malpelo3","malpelo"
"222","Serranidae",4,57,0.0701754385964912,"malpelo3","malpelo"
"62","Carcharhinidae",3,57,0.0526315789473684,"malpelo3","malpelo"
"142","Labridae",3,57,0.0526315789473684,"malpelo3","malpelo"
"152","Lutjanidae",3,57,0.0526315789473684,"malpelo3","malpelo"
"212","Scombridae",3,57,0.0526315789473684,"malpelo3","malpelo"
"232","Tetraodontidae",3,57,0.0526315789473684,"malpelo3","malpelo"
"32","Balistidae",2,57,0.0350877192982456,"malpelo3","malpelo"
"52","Carangidae",2,57,0.0350877192982456,"malpelo3","malpelo"
"172","Myctophidae",2,57,0.0350877192982456,"malpelo3","malpelo"
"112","Acanthuridae",1,57,0.0175438596491228,"malpelo3","malpelo"
"28","Apogonidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"42","Callionymidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"72","Chanidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"82","Diodontidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"92","Gobiesocidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"102","Gobiidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"113","Holocentridae",1,57,0.0175438596491228,"malpelo3","malpelo"
"122","Istiophoridae",1,57,0.0175438596491228,"malpelo3","malpelo"
"132","Kyphosidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"182","Nomeidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"192","Pomacanthidae",1,57,0.0175438596491228,"malpelo3","malpelo"
"53","Carangidae",5,66,0.0757575757575758,"malpelo5","malpelo"
"210","Balistidae",3,66,0.0454545454545455,"malpelo5","malpelo"
"63","Carcharhinidae",3,66,0.0454545454545455,"malpelo5","malpelo"
"173","Lutjanidae",3,66,0.0454545454545455,"malpelo5","malpelo"
"193","Muraenidae",3,66,0.0454545454545455,"malpelo5","malpelo"
"251","Pomacentridae",3,66,0.0454545454545455,"malpelo5","malpelo"
"261","Scombridae",3,66,0.0454545454545455,"malpelo5","malpelo"
"271","Serranidae",3,66,0.0454545454545455,"malpelo5","malpelo"
"114","Gobiidae",2,66,0.0303030303030303,"malpelo5","malpelo"
"123","Holocentridae",2,66,0.0303030303030303,"malpelo5","malpelo"
"203","Myctophidae",2,66,0.0303030303030303,"malpelo5","malpelo"
"233","Nomeidae",2,66,0.0303030303030303,"malpelo5","malpelo"
"29","Tetraodontidae",2,66,0.0303030303030303,"malpelo5","malpelo"
"115","Apogonidae",1,66,0.0151515151515152,"malpelo5","malpelo"
"33","Belonidae",1,66,0.0151515151515152,"malpelo5","malpelo"
"43","Callionymidae",1,66,0.0151515151515152,"malpelo5","malpelo"
