"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",41,1446,0.0283540802213001
"2","Albulidae",3,1446,0.0020746887966805
"3","Alepocephalidae",1,1446,0.000691562932226833
"4","Ambassidae",6,1446,0.004149377593361
"5","Anguillidae",1,1446,0.000691562932226833
"6","Anomalopidae",2,1446,0.00138312586445367
"7","Aphaniidae",2,1446,0.00138312586445367
"8","Apogonidae",95,1446,0.0656984785615491
"9","Ariidae",1,1446,0.000691562932226833
"10","Atherinidae",10,1446,0.00691562932226833
"11","Aulostomidae",2,1446,0.00138312586445367
"12","Balistidae",20,1446,0.0138312586445367
"13","Belonidae",10,1446,0.00691562932226833
"14","Blenniidae",14,1446,0.00968188105117566
"15","Bothidae",3,1446,0.0020746887966805
"16","Bramidae",3,1446,0.0020746887966805
"17","Bregmacerotidae",1,1446,0.000691562932226833
"18","Callionymidae",2,1446,0.00138312586445367
"19","Carangidae",42,1446,0.029045643153527
"20","Carcharhinidae",17,1446,0.0117565698478562
"21","Centrarchidae",1,1446,0.000691562932226833
"22","Centriscidae",2,1446,0.00138312586445367
"23","Ceratiidae",1,1446,0.000691562932226833
"24","Chaetodontidae",23,1446,0.0159059474412171
"25","Chanidae",1,1446,0.000691562932226833
"26","Channidae",1,1446,0.000691562932226833
"27","Chirocentridae",1,1446,0.000691562932226833
"28","Chlopsidae",2,1446,0.00138312586445367
"29","Cichlidae",2,1446,0.00138312586445367
"30","Cirrhitidae",5,1446,0.00345781466113416
"31","Clupeidae",22,1446,0.0152143845089903
"32","Congridae",10,1446,0.00691562932226833
"33","Dactylopteridae",2,1446,0.00138312586445367
"34","Dasyatidae",19,1446,0.0131396957123098
"35","Diodontidae",4,1446,0.00276625172890733
"36","Diplophidae",2,1446,0.00138312586445367
"37","Dussumieriidae",3,1446,0.0020746887966805
"38","Echeneidae",1,1446,0.000691562932226833
"39","Eleotridae",8,1446,0.00553250345781466
"40","Elopidae",3,1446,0.0020746887966805
"41","Emmelichthyidae",1,1446,0.000691562932226833
"42","Engraulidae",15,1446,0.0103734439834025
"43","Ephippidae",3,1446,0.0020746887966805
"44","Evermannellidae",1,1446,0.000691562932226833
"45","Exocoetidae",9,1446,0.00622406639004149
"46","Fistulariidae",2,1446,0.00138312586445367
"47","Fundulidae",1,1446,0.000691562932226833
"48","Gempylidae",4,1446,0.00276625172890733
"49","Gerreidae",6,1446,0.004149377593361
"50","Ginglymostomatidae",2,1446,0.00138312586445367
"51","Gobiesocidae",4,1446,0.00276625172890733
"52","Gobiidae",161,1446,0.11134163208852
"53","Haemulidae",13,1446,0.00899031811894882
"54","Hemiramphidae",6,1446,0.004149377593361
"55","Hemiscylliidae",2,1446,0.00138312586445367
"56","Holocentridae",29,1446,0.0200553250345781
"57","Istiophoridae",3,1446,0.0020746887966805
"58","Kuhliidae",4,1446,0.00276625172890733
"59","Kyphosidae",4,1446,0.00276625172890733
"60","Labridae",122,1446,0.0843706777316736
"61","Leiognathidae",8,1446,0.00553250345781466
"62","Lethrinidae",24,1446,0.016597510373444
"63","Lutjanidae",57,1446,0.0394190871369295
"64","Malacanthidae",4,1446,0.00276625172890733
"65","Megalopidae",2,1446,0.00138312586445367
"66","Melanotaeniidae",1,1446,0.000691562932226833
"67","Menidae",1,1446,0.000691562932226833
"68","Monacanthidae",15,1446,0.0103734439834025
"69","Monocentridae",1,1446,0.000691562932226833
"70","Monodactylidae",2,1446,0.00138312586445367
"71","Moringuidae",4,1446,0.00276625172890733
"72","Mugilidae",21,1446,0.0145228215767635
"73","Mullidae",25,1446,0.0172890733056708
"74","Muraenidae",66,1446,0.045643153526971
"75","Myctophidae",64,1446,0.0442600276625173
"76","Myliobatidae",9,1446,0.00622406639004149
"77","Narcinidae",2,1446,0.00138312586445367
"78","Nemichthyidae",1,1446,0.000691562932226833
"79","Nemipteridae",6,1446,0.004149377593361
"80","Nomeidae",3,1446,0.0020746887966805
"81","Ophichthidae",7,1446,0.00484094052558783
"82","Opistognathidae",2,1446,0.00138312586445367
"83","Orectolobidae",3,1446,0.0020746887966805
"84","Osphronemidae",4,1446,0.00276625172890733
"85","Ostraciidae",5,1446,0.00345781466113416
"86","Paralepididae",2,1446,0.00138312586445367
"87","Pempheridae",8,1446,0.00553250345781466
"88","Pinguipedidae",7,1446,0.00484094052558783
"89","Plesiopidae",2,1446,0.00138312586445367
"90","Plotosidae",2,1446,0.00138312586445367
"91","Poeciliidae",2,1446,0.00138312586445367
"92","Pomacanthidae",27,1446,0.0186721991701245
"93","Pomacentridae",106,1446,0.0733056708160443
"94","Priacanthidae",3,1446,0.0020746887966805
"95","Pristigasteridae",2,1446,0.00138312586445367
"96","Pseudochromidae",3,1446,0.0020746887966805
"97","Rachycentridae",1,1446,0.000691562932226833
"98","Rhinobatidae",1,1446,0.000691562932226833
"99","Rhyacichthyidae",1,1446,0.000691562932226833
"100","Rhynchobatidae",1,1446,0.000691562932226833
"101","Scaridae",12,1446,0.00829875518672199
"102","Scatophagidae",1,1446,0.000691562932226833
"103","Sciaenidae",6,1446,0.004149377593361
"104","Scombridae",15,1446,0.0103734439834025
"105","Scorpaenidae",7,1446,0.00484094052558783
"106","Serranidae",53,1446,0.0366528354080221
"107","Siganidae",9,1446,0.00622406639004149
"108","Sillaginidae",1,1446,0.000691562932226833
"109","Soleidae",1,1446,0.000691562932226833
"110","Sparidae",2,1446,0.00138312586445367
"111","Sphyraenidae",6,1446,0.004149377593361
"112","Stegostomatidae",1,1446,0.000691562932226833
"113","Stomiidae",2,1446,0.00138312586445367
"114","Synanceiidae",1,1446,0.000691562932226833
"115","Synaphobranchidae",1,1446,0.000691562932226833
"116","Syngnathidae",2,1446,0.00138312586445367
"117","Synodontidae",9,1446,0.00622406639004149
"118","Terapontidae",2,1446,0.00138312586445367
"119","Tetraodontidae",17,1446,0.0117565698478562
"120","Toxotidae",1,1446,0.000691562932226833
"121","Trichiuridae",2,1446,0.00138312586445367
"122","Tripterygiidae",3,1446,0.0020746887966805
"123","Uranoscopidae",2,1446,0.00138312586445367
"124","Urotrygonidae",2,1446,0.00138312586445367
"125","Xenocyprididae",1,1446,0.000691562932226833
"126","Zanclidae",1,1446,0.000691562932226833
