"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",364,7346,0.0495507759324803
"2","Albulidae",63,7346,0.00857609583446774
"3","Apogonidae",115,7346,0.0156547781105363
"4","Ariidae",1,7346,0.000136128505309012
"5","Atherinidae",2,7346,0.000272257010618023
"6","Aulostomidae",46,7346,0.00626191124421454
"7","Balistidae",104,7346,0.0141573645521372
"8","Belonidae",59,7346,0.00803158181323169
"9","Blenniidae",4,7346,0.000544514021236047
"10","Bramidae",23,7346,0.00313095562210727
"11","Carangidae",226,7346,0.0307650421998366
"12","Carcharhinidae",80,7346,0.0108902804247209
"13","Centrarchidae",3,7346,0.000408385515927035
"14","Chaetodontidae",52,7346,0.00707868227606861
"15","Characidae",1,7346,0.000136128505309012
"16","Chlopsidae",21,7346,0.00285869861148925
"17","Cichlidae",1,7346,0.000136128505309012
"18","Clupeidae",680,7346,0.092567383610128
"19","Congridae",2,7346,0.000272257010618023
"20","Coryphaenidae",1,7346,0.000136128505309012
"21","Cyprinidae",4,7346,0.000544514021236047
"22","Diodontidae",123,7346,0.0167438061530084
"23","Eleotridae",8,7346,0.00108902804247209
"24","Elopidae",12,7346,0.00163354206370814
"25","Engraulidae",59,7346,0.00803158181323169
"26","Exocoetidae",152,7346,0.0206915328069698
"27","Fistulariidae",7,7346,0.000952899537163082
"28","Gempylidae",5,7346,0.000680642526545058
"29","Ginglymostomatidae",108,7346,0.0147018785733733
"30","Gobiesocidae",14,7346,0.00190579907432616
"31","Gobiidae",144,7346,0.0196025047644977
"32","Holocentridae",72,7346,0.00980125238224884
"33","Kyphosidae",175,7346,0.023822488429077
"34","Labridae",1825,7346,0.248434522188946
"35","Loricariidae",5,7346,0.000680642526545058
"36","Lutjanidae",620,7346,0.0843996732915873
"37","Malacanthidae",5,7346,0.000680642526545058
"38","Megalopidae",5,7346,0.000680642526545058
"39","Monacanthidae",35,7346,0.00476449768581541
"40","Moringuidae",5,7346,0.000680642526545058
"41","Mugilidae",30,7346,0.00408385515927035
"42","Mullidae",193,7346,0.0262728015246393
"43","Muraenidae",170,7346,0.023141845902532
"44","Myctophidae",94,7346,0.0127960794990471
"45","Myliobatidae",98,7346,0.0133405935202831
"46","Narcinidae",4,7346,0.000544514021236047
"47","Nemichthyidae",3,7346,0.000408385515927035
"48","Nomeidae",5,7346,0.000680642526545058
"49","Ophichthidae",7,7346,0.000952899537163082
"50","Osphronemidae",32,7346,0.00435611216988837
"51","Poeciliidae",38,7346,0.00517288320174244
"52","Pomacanthidae",28,7346,0.00381159814865233
"53","Pomacentridae",724,7346,0.0985570378437245
"54","Priacanthidae",3,7346,0.000408385515927035
"55","Rachycentridae",2,7346,0.000272257010618023
"56","Sciaenidae",12,7346,0.00163354206370814
"57","Scombridae",130,7346,0.0176967056901715
"58","Scorpaenidae",10,7346,0.00136128505309012
"59","Serranidae",42,7346,0.00571739722297849
"60","Sparidae",48,7346,0.00653416825483256
"61","Sphyraenidae",32,7346,0.00435611216988837
"62","Syngnathidae",8,7346,0.00108902804247209
"63","Tetraodontidae",224,7346,0.0304927851892186
"64","Trichomycteridae",5,7346,0.000680642526545058
"65","Urotrygonidae",173,7346,0.023550231418459
