"","family","n_motus","n_motus_total","prop","site"
"22","Labridae",272,1162,0.23407917383821,"guadeloupe"
"16","Exocoetidae",112,1162,0.0963855421686747,"guadeloupe"
"35","Pomacentridae",106,1162,0.0912220309810671,"guadeloupe"
"24","Lutjanidae",81,1162,0.0697074010327022,"guadeloupe"
"29","Myctophidae",77,1162,0.0662650602409639,"guadeloupe"
"1","Acanthuridae",75,1162,0.0645438898450947,"guadeloupe"
"37","Scombridae",64,1162,0.0550774526678141,"guadeloupe"
"12","Clupeidae",53,1162,0.0456110154905336,"guadeloupe"
"15","Engraulidae",41,1162,0.0352839931153184,"guadeloupe"
"9","Carangidae",33,1162,0.0283993115318417,"guadeloupe"
"27","Mullidae",28,1162,0.0240963855421687,"guadeloupe"
"8","Bramidae",23,1162,0.0197934595524957,"guadeloupe"
"19","Gobiidae",17,1162,0.0146299483648881,"guadeloupe"
"20","Holocentridae",17,1162,0.0146299483648881,"guadeloupe"
"39","Serranidae",15,1162,0.0129087779690189,"guadeloupe"
"21","Kyphosidae",13,1162,0.0111876075731497,"guadeloupe"
"28","Muraenidae",13,1162,0.0111876075731497,"guadeloupe"
"14","Diodontidae",11,1162,0.00946643717728055,"guadeloupe"
"18","Ginglymostomatidae",10,1162,0.00860585197934595,"guadeloupe"
"30","Myliobatidae",9,1162,0.00774526678141136,"guadeloupe"
"42","Tetraodontidae",9,1162,0.00774526678141136,"guadeloupe"
"6","Balistidae",8,1162,0.00688468158347676,"guadeloupe"
"38","Scorpaenidae",8,1162,0.00688468158347676,"guadeloupe"
"7","Belonidae",7,1162,0.00602409638554217,"guadeloupe"
"11","Chaetodontidae",6,1162,0.00516351118760757,"guadeloupe"
"2","Albulidae",5,1162,0.00430292598967298,"guadeloupe"
"25","Malacanthidae",5,1162,0.00430292598967298,"guadeloupe"
"26","Monacanthidae",5,1162,0.00430292598967298,"guadeloupe"
"32","Nomeidae",5,1162,0.00430292598967298,"guadeloupe"
"34","Pomacanthidae",5,1162,0.00430292598967298,"guadeloupe"
"3","Apogonidae",4,1162,0.00344234079173838,"guadeloupe"
"5","Aulostomidae",3,1162,0.00258175559380379,"guadeloupe"
"31","Nemichthyidae",3,1162,0.00258175559380379,"guadeloupe"
"36","Priacanthidae",3,1162,0.00258175559380379,"guadeloupe"
"40","Sparidae",3,1162,0.00258175559380379,"guadeloupe"
"41","Sphyraenidae",3,1162,0.00258175559380379,"guadeloupe"
"4","Atherinidae",2,1162,0.00172117039586919,"guadeloupe"
