"","family","n_motus","n_motus_total","prop","site"
"1","Acanthuridae",792,7026,0.112724167378309,"nusa_ulan"
"40","Labridae",787,7026,0.112012524907486,"nusa_ulan"
"43","Lutjanidae",751,7026,0.106888699117563,"nusa_ulan"
"63","Pomacentridae",674,7026,0.0959294050668944,"nusa_ulan"
"74","Serranidae",476,7026,0.0677483632223171,"nusa_ulan"
"8","Balistidae",360,7026,0.0512382578992314,"nusa_ulan"
"34","Haemulidae",272,7026,0.0387133504127526,"nusa_ulan"
"42","Lethrinidae",216,7026,0.0307429547395389,"nusa_ulan"
"33","Gobiidae",215,7026,0.0306006262453743,"nusa_ulan"
"52","Myctophidae",190,7026,0.027042413891261,"nusa_ulan"
"75","Siganidae",164,7026,0.0233418730429832,"nusa_ulan"
"50","Mullidae",155,7026,0.0220609165955024,"nusa_ulan"
"62","Pomacanthidae",125,7026,0.0177910617705665,"nusa_ulan"
"51","Muraenidae",122,7026,0.0173640762880729,"nusa_ulan"
"36","Holocentridae",117,7026,0.0166524338172502,"nusa_ulan"
"49","Mugilidae",108,7026,0.0153714773697694,"nusa_ulan"
"5","Apogonidae",106,7026,0.0150868203814404,"nusa_ulan"
"13","Chaetodontidae",106,7026,0.0150868203814404,"nusa_ulan"
"39","Kyphosidae",97,7026,0.0138058639339596,"nusa_ulan"
"81","Tetraodontidae",83,7026,0.0118132650156561,"nusa_ulan"
"24","Eleotridae",80,7026,0.0113862795331625,"nusa_ulan"
"76","Sphyraenidae",79,7026,0.011243951038998,"nusa_ulan"
"72","Scombridae",78,7026,0.0111016225448335,"nusa_ulan"
"19","Dasyatidae",77,7026,0.0109592940506689,"nusa_ulan"
"17","Clupeidae",74,7026,0.0105323085681753,"nusa_ulan"
"64","Potamotrygonidae",62,7026,0.00882436663820097,"nusa_ulan"
"11","Carangidae",55,7026,0.00782806717904925,"nusa_ulan"
"28","Exocoetidae",43,7026,0.00612012524907486,"nusa_ulan"
"35","Hemiscylliidae",42,7026,0.00597779675491033,"nusa_ulan"
"84","Zanclidae",36,7026,0.00512382578992314,"nusa_ulan"
"67","Pseudochromidae",35,7026,0.00498149729575861,"nusa_ulan"
"79","Synodontidae",34,7026,0.00483916880159408,"nusa_ulan"
"12","Carcharhinidae",32,7026,0.00455451181326502,"nusa_ulan"
"26","Engraulidae",29,7026,0.00412752633077142,"nusa_ulan"
"6","Atherinidae",27,7026,0.00384286934244236,"nusa_ulan"
"27","Ephippidae",26,7026,0.00370054084827783,"nusa_ulan"
"45","Monacanthidae",26,7026,0.00370054084827783,"nusa_ulan"
"53","Myliobatidae",21,7026,0.00298889837745517,"nusa_ulan"
"61","Plesiopidae",20,7026,0.00284656988329063,"nusa_ulan"
"14","Chanidae",19,7026,0.0027042413891261,"nusa_ulan"
"18","Congridae",18,7026,0.00256191289496157,"nusa_ulan"
"9","Blenniidae",17,7026,0.00241958440079704,"nusa_ulan"
"16","Cirrhitidae",17,7026,0.00241958440079704,"nusa_ulan"
"2","Alopiidae",12,7026,0.00170794192997438,"nusa_ulan"
"3","Ambassidae",11,7026,0.00156561343580985,"nusa_ulan"
"65","Priacanthidae",10,7026,0.00142328494164532,"nusa_ulan"
"58","Osphronemidae",9,7026,0.00128095644748079,"nusa_ulan"
"59","Ostraciidae",9,7026,0.00128095644748079,"nusa_ulan"
"37","Istiophoridae",8,7026,0.00113862795331625,"nusa_ulan"
"73","Scorpaenidae",8,7026,0.00113862795331625,"nusa_ulan"
"82","Toxotidae",8,7026,0.00113862795331625,"nusa_ulan"
"4","Anguillidae",7,7026,0.000996299459151722,"nusa_ulan"
"7","Aulostomidae",7,7026,0.000996299459151722,"nusa_ulan"
"10","Bramidae",6,7026,0.00085397096498719,"nusa_ulan"
"30","Fundulidae",6,7026,0.00085397096498719,"nusa_ulan"
"44","Malacanthidae",6,7026,0.00085397096498719,"nusa_ulan"
"32","Gerreidae",4,7026,0.000569313976658127,"nusa_ulan"
"38","Kuhliidae",4,7026,0.000569313976658127,"nusa_ulan"
"48","Moringuidae",4,7026,0.000569313976658127,"nusa_ulan"
"15","Cichlidae",3,7026,0.000426985482493595,"nusa_ulan"
"20","Diodontidae",3,7026,0.000426985482493595,"nusa_ulan"
"47","Monodactylidae",3,7026,0.000426985482493595,"nusa_ulan"
"54","Nemipteridae",3,7026,0.000426985482493595,"nusa_ulan"
"66","Pristigasteridae",3,7026,0.000426985482493595,"nusa_ulan"
"83","Trichiuridae",3,7026,0.000426985482493595,"nusa_ulan"
"23","Echeneidae",2,7026,0.000284656988329063,"nusa_ulan"
"55","Nomeidae",2,7026,0.000284656988329063,"nusa_ulan"
"56","Ophichthidae",2,7026,0.000284656988329063,"nusa_ulan"
"70","Salmonidae",2,7026,0.000284656988329063,"nusa_ulan"
"71","Scatophagidae",2,7026,0.000284656988329063,"nusa_ulan"
"78","Stomiidae",2,7026,0.000284656988329063,"nusa_ulan"
"80","Terapontidae",2,7026,0.000284656988329063,"nusa_ulan"
"21","Drepaneidae",1,7026,0.000142328494164532,"nusa_ulan"
"22","Dussumieriidae",1,7026,0.000142328494164532,"nusa_ulan"
"25","Emmelichthyidae",1,7026,0.000142328494164532,"nusa_ulan"
"29","Fistulariidae",1,7026,0.000142328494164532,"nusa_ulan"
"31","Gempylidae",1,7026,0.000142328494164532,"nusa_ulan"
"41","Leiognathidae",1,7026,0.000142328494164532,"nusa_ulan"
"46","Monocentridae",1,7026,0.000142328494164532,"nusa_ulan"
"57","Orectolobidae",1,7026,0.000142328494164532,"nusa_ulan"
"60","Pempheridae",1,7026,0.000142328494164532,"nusa_ulan"
"68","Rhinobatidae",1,7026,0.000142328494164532,"nusa_ulan"
"69","Rhyacichthyidae",1,7026,0.000142328494164532,"nusa_ulan"
"77","Stegostomatidae",1,7026,0.000142328494164532,"nusa_ulan"
"351","Lutjanidae",472,3408,0.13849765258216,"pulau_venu"
"541","Pomacentridae",464,3408,0.136150234741784,"pulau_venu"
"331","Labridae",418,3408,0.122652582159624,"pulau_venu"
"110","Acanthuridae",331,3408,0.0971244131455399,"pulau_venu"
"611","Serranidae",294,3408,0.0862676056338028,"pulau_venu"
"341","Lethrinidae",155,3408,0.045481220657277,"pulau_venu"
"410","Apogonidae",106,3408,0.0311032863849765,"pulau_venu"
"610","Balistidae",92,3408,0.0269953051643192,"pulau_venu"
"411","Myctophidae",76,3408,0.0223004694835681,"pulau_venu"
"391","Mullidae",73,3408,0.0214201877934272,"pulau_venu"
"221","Engraulidae",64,3408,0.0187793427230047,"pulau_venu"
"621","Siganidae",64,3408,0.0187793427230047,"pulau_venu"
"271","Gobiidae",60,3408,0.0176056338028169,"pulau_venu"
"671","Tetraodontidae",57,3408,0.0167253521126761,"pulau_venu"
"531","Pomacanthidae",56,3408,0.0164319248826291,"pulau_venu"
"101","Carangidae",53,3408,0.0155516431924883,"pulau_venu"
"591","Scombridae",52,3408,0.0152582159624413,"pulau_venu"
