"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",3,248,0.0120967741935484
"2","Albulidae",1,248,0.00403225806451613
"3","Apogonidae",6,248,0.0241935483870968
"4","Ariidae",2,248,0.00806451612903226
"5","Atherinidae",1,248,0.00403225806451613
"6","Aulostomidae",1,248,0.00403225806451613
"7","Balistidae",5,248,0.0201612903225806
"8","Belonidae",1,248,0.00403225806451613
"9","Blenniidae",1,248,0.00403225806451613
"10","Bramidae",1,248,0.00403225806451613
"11","Carangidae",16,248,0.0645161290322581
"12","Carcharhinidae",4,248,0.0161290322580645
"13","Centrarchidae",1,248,0.00403225806451613
"14","Chaetodontidae",1,248,0.00403225806451613
"15","Characidae",1,248,0.00403225806451613
"16","Chlopsidae",2,248,0.00806451612903226
"17","Cichlidae",1,248,0.00403225806451613
"18","Clupeidae",8,248,0.032258064516129
"19","Congridae",1,248,0.00403225806451613
"20","Coryphaenidae",1,248,0.00403225806451613
"21","Cyprinidae",1,248,0.00403225806451613
"22","Diodontidae",2,248,0.00806451612903226
"23","Eleotridae",3,248,0.0120967741935484
"24","Elopidae",3,248,0.0120967741935484
"25","Engraulidae",9,248,0.0362903225806452
"26","Exocoetidae",4,248,0.0161290322580645
"27","Fistulariidae",1,248,0.00403225806451613
"28","Gempylidae",1,248,0.00403225806451613
"29","Ginglymostomatidae",3,248,0.0120967741935484
"30","Gobiesocidae",2,248,0.00806451612903226
"31","Gobiidae",19,248,0.0766129032258065
"32","Holocentridae",3,248,0.0120967741935484
"33","Kyphosidae",4,248,0.0161290322580645
"34","Labridae",18,248,0.0725806451612903
"35","Loricariidae",2,248,0.00806451612903226
"36","Lutjanidae",10,248,0.0403225806451613
"37","Malacanthidae",1,248,0.00403225806451613
"38","Megalopidae",1,248,0.00403225806451613
"39","Monacanthidae",5,248,0.0201612903225806
"40","Moringuidae",1,248,0.00403225806451613
"41","Mugilidae",5,248,0.0201612903225806
"42","Mullidae",2,248,0.00806451612903226
"43","Muraenidae",9,248,0.0362903225806452
"44","Myctophidae",13,248,0.0524193548387097
"45","Myliobatidae",2,248,0.00806451612903226
"46","Narcinidae",2,248,0.00806451612903226
"47","Nemichthyidae",1,248,0.00403225806451613
"48","Nomeidae",1,248,0.00403225806451613
"49","Ophichthidae",2,248,0.00806451612903226
"50","Osphronemidae",1,248,0.00403225806451613
"51","Poeciliidae",4,248,0.0161290322580645
"52","Pomacanthidae",2,248,0.00806451612903226
"53","Pomacentridae",13,248,0.0524193548387097
"54","Priacanthidae",1,248,0.00403225806451613
"55","Rachycentridae",1,248,0.00403225806451613
"56","Sciaenidae",9,248,0.0362903225806452
"57","Scombridae",8,248,0.032258064516129
"58","Scorpaenidae",1,248,0.00403225806451613
"59","Serranidae",6,248,0.0241935483870968
"60","Sparidae",2,248,0.00806451612903226
"61","Sphyraenidae",1,248,0.00403225806451613
"62","Syngnathidae",1,248,0.00403225806451613
"63","Tetraodontidae",3,248,0.0120967741935484
"64","Trichiuridae",1,248,0.00403225806451613
"65","Trichomycteridae",2,248,0.00806451612903226
"66","Urotrygonidae",4,248,0.0161290322580645
