"","family","n_motus","n_motus_total","prop","site"
"63","Pomacentridae",49,542,0.0904059040590406,"nusa_ulan"
"40","Labridae",47,542,0.0867158671586716,"nusa_ulan"
"33","Gobiidae",44,542,0.0811808118081181,"nusa_ulan"
"1","Acanthuridae",30,542,0.0553505535055351,"nusa_ulan"
"43","Lutjanidae",30,542,0.0553505535055351,"nusa_ulan"
"74","Serranidae",27,542,0.0498154981549815,"nusa_ulan"
"5","Apogonidae",24,542,0.044280442804428,"nusa_ulan"
"51","Muraenidae",23,542,0.0424354243542435,"nusa_ulan"
"11","Carangidae",15,542,0.0276752767527675,"nusa_ulan"
"52","Myctophidae",15,542,0.0276752767527675,"nusa_ulan"
"8","Balistidae",13,542,0.0239852398523985,"nusa_ulan"
"42","Lethrinidae",13,542,0.0239852398523985,"nusa_ulan"
"62","Pomacanthidae",12,542,0.022140221402214,"nusa_ulan"
"13","Chaetodontidae",11,542,0.0202952029520295,"nusa_ulan"
"81","Tetraodontidae",10,542,0.018450184501845,"nusa_ulan"
"19","Dasyatidae",9,542,0.0166051660516605,"nusa_ulan"
"24","Eleotridae",9,542,0.0166051660516605,"nusa_ulan"
"36","Holocentridae",9,542,0.0166051660516605,"nusa_ulan"
"34","Haemulidae",8,542,0.014760147601476,"nusa_ulan"
"79","Synodontidae",8,542,0.014760147601476,"nusa_ulan"
"50","Mullidae",7,542,0.0129151291512915,"nusa_ulan"
"75","Siganidae",7,542,0.0129151291512915,"nusa_ulan"
"26","Engraulidae",6,542,0.011070110701107,"nusa_ulan"
"49","Mugilidae",6,542,0.011070110701107,"nusa_ulan"
"53","Myliobatidae",6,542,0.011070110701107,"nusa_ulan"
"12","Carcharhinidae",5,542,0.00922509225092251,"nusa_ulan"
"18","Congridae",5,542,0.00922509225092251,"nusa_ulan"
"72","Scombridae",5,542,0.00922509225092251,"nusa_ulan"
"45","Monacanthidae",4,542,0.00738007380073801,"nusa_ulan"
"76","Sphyraenidae",4,542,0.00738007380073801,"nusa_ulan"
"3","Ambassidae",3,542,0.00553505535055351,"nusa_ulan"
"6","Atherinidae",3,542,0.00553505535055351,"nusa_ulan"
"17","Clupeidae",3,542,0.00553505535055351,"nusa_ulan"
"44","Malacanthidae",3,542,0.00553505535055351,"nusa_ulan"
"73","Scorpaenidae",3,542,0.00553505535055351,"nusa_ulan"
"2","Alopiidae",2,542,0.003690036900369,"nusa_ulan"
"9","Blenniidae",2,542,0.003690036900369,"nusa_ulan"
"10","Bramidae",2,542,0.003690036900369,"nusa_ulan"
"20","Diodontidae",2,542,0.003690036900369,"nusa_ulan"
"27","Ephippidae",2,542,0.003690036900369,"nusa_ulan"
"28","Exocoetidae",2,542,0.003690036900369,"nusa_ulan"
"32","Gerreidae",2,542,0.003690036900369,"nusa_ulan"
"38","Kuhliidae",2,542,0.003690036900369,"nusa_ulan"
"39","Kyphosidae",2,542,0.003690036900369,"nusa_ulan"
"48","Moringuidae",2,542,0.003690036900369,"nusa_ulan"
"54","Nemipteridae",2,542,0.003690036900369,"nusa_ulan"
"58","Osphronemidae",2,542,0.003690036900369,"nusa_ulan"
"59","Ostraciidae",2,542,0.003690036900369,"nusa_ulan"
"61","Plesiopidae",2,542,0.003690036900369,"nusa_ulan"
"64","Potamotrygonidae",2,542,0.003690036900369,"nusa_ulan"
"65","Priacanthidae",2,542,0.003690036900369,"nusa_ulan"
"83","Trichiuridae",2,542,0.003690036900369,"nusa_ulan"
"4","Anguillidae",1,542,0.0018450184501845,"nusa_ulan"
"7","Aulostomidae",1,542,0.0018450184501845,"nusa_ulan"
"14","Chanidae",1,542,0.0018450184501845,"nusa_ulan"
"15","Cichlidae",1,542,0.0018450184501845,"nusa_ulan"
"16","Cirrhitidae",1,542,0.0018450184501845,"nusa_ulan"
"21","Drepaneidae",1,542,0.0018450184501845,"nusa_ulan"
"22","Dussumieriidae",1,542,0.0018450184501845,"nusa_ulan"
"23","Echeneidae",1,542,0.0018450184501845,"nusa_ulan"
"25","Emmelichthyidae",1,542,0.0018450184501845,"nusa_ulan"
"29","Fistulariidae",1,542,0.0018450184501845,"nusa_ulan"
"30","Fundulidae",1,542,0.0018450184501845,"nusa_ulan"
"31","Gempylidae",1,542,0.0018450184501845,"nusa_ulan"
"35","Hemiscylliidae",1,542,0.0018450184501845,"nusa_ulan"
"37","Istiophoridae",1,542,0.0018450184501845,"nusa_ulan"
"41","Leiognathidae",1,542,0.0018450184501845,"nusa_ulan"
"46","Monocentridae",1,542,0.0018450184501845,"nusa_ulan"
"47","Monodactylidae",1,542,0.0018450184501845,"nusa_ulan"
"55","Nomeidae",1,542,0.0018450184501845,"nusa_ulan"
"56","Ophichthidae",1,542,0.0018450184501845,"nusa_ulan"
"57","Orectolobidae",1,542,0.0018450184501845,"nusa_ulan"
"60","Pempheridae",1,542,0.0018450184501845,"nusa_ulan"
"66","Pristigasteridae",1,542,0.0018450184501845,"nusa_ulan"
"67","Pseudochromidae",1,542,0.0018450184501845,"nusa_ulan"
"68","Rhinobatidae",1,542,0.0018450184501845,"nusa_ulan"
"69","Rhyacichthyidae",1,542,0.0018450184501845,"nusa_ulan"
"70","Salmonidae",1,542,0.0018450184501845,"nusa_ulan"
"71","Scatophagidae",1,542,0.0018450184501845,"nusa_ulan"
"77","Stegostomatidae",1,542,0.0018450184501845,"nusa_ulan"
"78","Stomiidae",1,542,0.0018450184501845,"nusa_ulan"
