"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",51,1505,0.0338870431893688
"2","Albulidae",3,1505,0.00199335548172757
"3","Alepocephalidae",1,1505,0.000664451827242525
"4","Alopiidae",2,1505,0.00132890365448505
"5","Ambassidae",6,1505,0.00398671096345515
"6","Anabantidae",1,1505,0.000664451827242525
"7","Anguillidae",1,1505,0.000664451827242525
"8","Anomalopidae",2,1505,0.00132890365448505
"9","Aphaniidae",1,1505,0.000664451827242525
"10","Apogonidae",98,1505,0.0651162790697674
"11","Ariidae",1,1505,0.000664451827242525
"12","Atherinidae",9,1505,0.00598006644518272
"13","Aulostomidae",2,1505,0.00132890365448505
"14","Balistidae",23,1505,0.0152823920265781
"15","Belonidae",8,1505,0.0053156146179402
"16","Blenniidae",13,1505,0.00863787375415282
"17","Bothidae",2,1505,0.00132890365448505
"18","Bramidae",2,1505,0.00132890365448505
"19","Bregmacerotidae",1,1505,0.000664451827242525
"20","Callionymidae",2,1505,0.00132890365448505
"21","Carangidae",45,1505,0.0299003322259136
"22","Carcharhinidae",17,1505,0.0112956810631229
"23","Centrarchidae",1,1505,0.000664451827242525
"24","Centriscidae",1,1505,0.000664451827242525
"25","Ceratiidae",1,1505,0.000664451827242525
"26","Chaetodontidae",26,1505,0.0172757475083056
"27","Chanidae",1,1505,0.000664451827242525
"28","Channidae",1,1505,0.000664451827242525
"29","Characidae",1,1505,0.000664451827242525
"30","Chirocentridae",1,1505,0.000664451827242525
"31","Chlopsidae",3,1505,0.00199335548172757
"32","Cichlidae",5,1505,0.00332225913621262
"33","Cirrhitidae",3,1505,0.00199335548172757
"34","Clariidae",1,1505,0.000664451827242525
"35","Clupeidae",23,1505,0.0152823920265781
"36","Congridae",11,1505,0.00730897009966777
"37","Coryphaenidae",2,1505,0.00132890365448505
"38","Cyprinidae",5,1505,0.00332225913621262
"39","Cyprinodontidae",1,1505,0.000664451827242525
"40","Dactylopteridae",2,1505,0.00132890365448505
"41","Dasyatidae",18,1505,0.0119601328903654
"42","Diodontidae",5,1505,0.00332225913621262
"43","Diplophidae",1,1505,0.000664451827242525
"44","Drepaneidae",1,1505,0.000664451827242525
"45","Dussumieriidae",4,1505,0.0026578073089701
"46","Echeneidae",1,1505,0.000664451827242525
