"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",3,384,0.0078125
"2","Albulidae",1,384,0.00260416666666667
"3","Apogonidae",6,384,0.015625
"4","Ariidae",1,384,0.00260416666666667
"5","Atherinidae",1,384,0.00260416666666667
"6","Aulostomidae",1,384,0.00260416666666667
"7","Balistidae",5,384,0.0130208333333333
"8","Belonidae",1,384,0.00260416666666667
"9","Blenniidae",1,384,0.00260416666666667
"10","Bramidae",1,384,0.00260416666666667
"11","Carangidae",16,384,0.0416666666666667
"12","Carcharhinidae",4,384,0.0104166666666667
"13","Centrarchidae",1,384,0.00260416666666667
"14","Chaetodontidae",1,384,0.00260416666666667
"15","Characidae",1,384,0.00260416666666667
"16","Chlopsidae",2,384,0.00520833333333333
"17","Cichlidae",1,384,0.00260416666666667
"18","Clupeidae",8,384,0.0208333333333333
"19","Congridae",1,384,0.00260416666666667
"20","Coryphaenidae",1,384,0.00260416666666667
"21","Cyprinidae",1,384,0.00260416666666667
"22","Diodontidae",2,384,0.00520833333333333
"23","Eleotridae",3,384,0.0078125
"24","Elopidae",2,384,0.00520833333333333
"25","Engraulidae",9,384,0.0234375
"26","Exocoetidae",4,384,0.0104166666666667
"27","Fistulariidae",1,384,0.00260416666666667
"28","Gempylidae",1,384,0.00260416666666667
"29","Ginglymostomatidae",3,384,0.0078125
"30","Gobiesocidae",2,384,0.00520833333333333
"31","Gobiidae",19,384,0.0494791666666667
"32","Holocentridae",3,384,0.0078125
"33","Kyphosidae",4,384,0.0104166666666667
"34","Labridae",18,384,0.046875
"35","Loricariidae",2,384,0.00520833333333333
"36","Lutjanidae",10,384,0.0260416666666667
"37","Malacanthidae",1,384,0.00260416666666667
"38","Megalopidae",1,384,0.00260416666666667
"39","Monacanthidae",5,384,0.0130208333333333
"40","Moringuidae",1,384,0.00260416666666667
"41","Mugilidae",5,384,0.0130208333333333
"42","Mullidae",2,384,0.00520833333333333
"43","Muraenidae",9,384,0.0234375
"44","Myctophidae",13,384,0.0338541666666667
"45","Myliobatidae",2,384,0.00520833333333333
"46","Narcinidae",2,384,0.00520833333333333
"47","Nemichthyidae",1,384,0.00260416666666667
"48","Nomeidae",1,384,0.00260416666666667
"49","Ophichthidae",2,384,0.00520833333333333
"50","Osphronemidae",1,384,0.00260416666666667
"51","Poeciliidae",4,384,0.0104166666666667
"52","Pomacanthidae",2,384,0.00520833333333333
"53","Pomacentridae",13,384,0.0338541666666667
"54","Priacanthidae",1,384,0.00260416666666667
"55","Rachycentridae",1,384,0.00260416666666667
"56","Sciaenidae",6,384,0.015625
"57","Scombridae",8,384,0.0208333333333333
"58","Scorpaenidae",1,384,0.00260416666666667
"59","Serranidae",6,384,0.015625
"60","Sparidae",2,384,0.00520833333333333
"61","Sphyraenidae",1,384,0.00260416666666667
"62","Syngnathidae",1,384,0.00260416666666667
"63","Tetraodontidae",3,384,0.0078125
"64","Trichomycteridae",2,384,0.00520833333333333
"65","Urotrygonidae",4,384,0.0104166666666667
