"","family","n_motus","n_motus_total","prop"
"1","Acanthuridae",33,756,0.0436507936507936
"2","Albulidae",1,756,0.00132275132275132
"3","Alopiidae",2,756,0.00264550264550265
"4","Ambassidae",6,756,0.00793650793650794
"5","Anabantidae",1,756,0.00132275132275132
"6","Anguillidae",1,756,0.00132275132275132
"7","Anomalopidae",1,756,0.00132275132275132
"8","Apogonidae",48,756,0.0634920634920635
"9","Atherinidae",4,756,0.00529100529100529
"10","Aulostomidae",1,756,0.00132275132275132
"11","Balistidae",15,756,0.0198412698412698
"12","Belonidae",1,756,0.00132275132275132
"13","Blenniidae",5,756,0.00661375661375661
"14","Bramidae",2,756,0.00264550264550265
"15","Callionymidae",1,756,0.00132275132275132
"16","Carangidae",21,756,0.0277777777777778
"17","Carcharhinidae",8,756,0.0105820105820106
"18","Ceratiidae",1,756,0.00132275132275132
"19","Chaetodontidae",14,756,0.0185185185185185
"20","Chanidae",1,756,0.00132275132275132
"21","Chlopsidae",1,756,0.00132275132275132
"22","Cirrhitidae",1,756,0.00132275132275132
"23","Clariidae",1,756,0.00132275132275132
"24","Clupeidae",9,756,0.0119047619047619
"25","Congridae",7,756,0.00925925925925926
"26","Cyprinodontidae",1,756,0.00132275132275132
"27","Dactylopteridae",1,756,0.00132275132275132
"28","Dasyatidae",12,756,0.0158730158730159
"29","Diodontidae",3,756,0.00396825396825397
"30","Drepaneidae",1,756,0.00132275132275132
"31","Dussumieriidae",2,756,0.00264550264550265
"32","Echeneidae",1,756,0.00132275132275132
"33","Eleotridae",11,756,0.0145502645502645
"34","Emmelichthyidae",1,756,0.00132275132275132
"35","Engraulidae",10,756,0.0132275132275132
"36","Ephippidae",3,756,0.00396825396825397
"37","Exocoetidae",3,756,0.00396825396825397
"38","Fistulariidae",1,756,0.00132275132275132
"39","Fundulidae",1,756,0.00132275132275132
"40","Gempylidae",1,756,0.00132275132275132
"41","Gerreidae",4,756,0.00529100529100529
"42","Gobiidae",66,756,0.0873015873015873
"43","Haemulidae",8,756,0.0105820105820106
"44","Hemigaleidae",1,756,0.00132275132275132
"45","Hemiscylliidae",2,756,0.00264550264550265
"46","Holocentridae",14,756,0.0185185185185185
"47","Istiophoridae",1,756,0.00132275132275132
"48","Kneriidae",1,756,0.00132275132275132
"49","Kuhliidae",2,756,0.00264550264550265
"50","Kyphosidae",2,756,0.00264550264550265
"51","Labridae",56,756,0.0740740740740741
"52","Leiognathidae",3,756,0.00396825396825397
"53","Lethrinidae",18,756,0.0238095238095238
"54","Lutjanidae",39,756,0.0515873015873016
"55","Malacanthidae",3,756,0.00396825396825397
"56","Megalopidae",1,756,0.00132275132275132
"57","Melanotaeniidae",2,756,0.00264550264550265
"58","Monacanthidae",6,756,0.00793650793650794
"59","Monocentridae",1,756,0.00132275132275132
"60","Monodactylidae",1,756,0.00132275132275132
"61","Moringuidae",2,756,0.00264550264550265
"62","Mugilidae",10,756,0.0132275132275132
"63","Mullidae",9,756,0.0119047619047619
"64","Muraenidae",31,756,0.041005291005291
"65","Myctophidae",17,756,0.0224867724867725
"66","Myliobatidae",7,756,0.00925925925925926
"67","Nemipteridae",4,756,0.00529100529100529
"68","Nomeidae",2,756,0.00264550264550265
"69","Ophichthidae",4,756,0.00529100529100529
"70","Opistognathidae",1,756,0.00132275132275132
"71","Orectolobidae",3,756,0.00396825396825397
"72","Osphronemidae",3,756,0.00396825396825397
"73","Ostraciidae",2,756,0.00264550264550265
"74","Paralepididae",1,756,0.00132275132275132
"75","Pempheridae",1,756,0.00132275132275132
"76","Pinguipedidae",1,756,0.00132275132275132
"77","Plesiopidae",2,756,0.00264550264550265
"78","Pomacanthidae",16,756,0.0211640211640212
"79","Pomacentridae",58,756,0.0767195767195767
"80","Potamotrygonidae",3,756,0.00396825396825397
"81","Priacanthidae",3,756,0.00396825396825397
"82","Pristigasteridae",4,756,0.00529100529100529
"83","Pseudochromidae",1,756,0.00132275132275132
"84","Rhinidae",1,756,0.00132275132275132
"85","Rhinobatidae",2,756,0.00264550264550265
"86","Rhyacichthyidae",1,756,0.00132275132275132
"87","Salmonidae",1,756,0.00132275132275132
"88","Scaridae",4,756,0.00529100529100529
"89","Scatophagidae",1,756,0.00132275132275132
"90","Sciaenidae",1,756,0.00132275132275132
"91","Scombridae",9,756,0.0119047619047619
"92","Scorpaenidae",4,756,0.00529100529100529
"93","Serranidae",32,756,0.0423280423280423
"94","Siganidae",7,756,0.00925925925925926
"95","Sparidae",1,756,0.00132275132275132
"96","Sphyraenidae",4,756,0.00529100529100529
"97","Stegostomatidae",1,756,0.00132275132275132
"98","Stomiidae",1,756,0.00132275132275132
"99","Synaphobranchidae",1,756,0.00132275132275132
"100","Synodontidae",11,756,0.0145502645502645
"101","Terapontidae",2,756,0.00264550264550265
"102","Tetraodontidae",10,756,0.0132275132275132
"103","Toxotidae",1,756,0.00132275132275132
"104","Triacanthidae",1,756,0.00132275132275132
"105","Triakidae",1,756,0.00132275132275132
"106","Trichiuridae",3,756,0.00396825396825397
"107","Zanclidae",1,756,0.00132275132275132
"108","Zenionidae",1,756,0.00132275132275132
