"","family","n_motus","n_motus_total","prop","site","region"
"34","Labridae",34,310,0.109677419354839,"GATOPE","South_West_Pacific"
"29","Gobiidae",30,310,0.0967741935483871,"GATOPE","South_West_Pacific"
"4","Apogonidae",29,310,0.0935483870967742,"GATOPE","South_West_Pacific"
"52","Pomacentridae",26,310,0.0838709677419355,"GATOPE","South_West_Pacific"
"44","Myctophidae",16,310,0.0516129032258065,"GATOPE","South_West_Pacific"
"37","Lutjanidae",14,310,0.0451612903225806,"GATOPE","South_West_Pacific"
"1","Acanthuridae",11,310,0.0354838709677419,"GATOPE","South_West_Pacific"
"42","Mullidae",11,310,0.0354838709677419,"GATOPE","South_West_Pacific"
"57","Serranidae",10,310,0.032258064516129,"GATOPE","South_West_Pacific"
"10","Carcharhinidae",8,310,0.0258064516129032,"GATOPE","South_West_Pacific"
"32","Holocentridae",7,310,0.0225806451612903,"GATOPE","South_West_Pacific"
"36","Lethrinidae",7,310,0.0225806451612903,"GATOPE","South_West_Pacific"
"51","Pomacanthidae",6,310,0.0193548387096774,"GATOPE","South_West_Pacific"
"54","Scaridae",6,310,0.0193548387096774,"GATOPE","South_West_Pacific"
"5","Balistidae",5,310,0.0161290322580645,"GATOPE","South_West_Pacific"
"9","Carangidae",5,310,0.0161290322580645,"GATOPE","South_West_Pacific"
"56","Scombridae",5,310,0.0161290322580645,"GATOPE","South_West_Pacific"
"15","Clupeidae",4,310,0.0129032258064516,"GATOPE","South_West_Pacific"
"17","Dasyatidae",4,310,0.0129032258064516,"GATOPE","South_West_Pacific"
"30","Haemulidae",4,310,0.0129032258064516,"GATOPE","South_West_Pacific"
"41","Mugilidae",4,310,0.0129032258064516,"GATOPE","South_West_Pacific"
"43","Muraenidae",4,310,0.0129032258064516,"GATOPE","South_West_Pacific"
"7","Blenniidae",3,310,0.00967741935483871,"GATOPE","South_West_Pacific"
"22","Engraulidae",3,310,0.00967741935483871,"GATOPE","South_West_Pacific"
"39","Monacanthidae",3,310,0.00967741935483871,"GATOPE","South_West_Pacific"
