"","family","n_motus","n_motus_total","prop","site","region"
"29","Labridae",24,205,0.117073170731707,"europa","West_Indian"
"42","Pomacentridae",19,205,0.0926829268292683,"europa","West_Indian"
"1","Acanthuridae",15,205,0.0731707317073171,"europa","West_Indian"
"31","Lutjanidae",10,205,0.0487804878048781,"europa","West_Indian"
"35","Myctophidae",10,205,0.0487804878048781,"europa","West_Indian"
"44","Serranidae",9,205,0.0439024390243902,"europa","West_Indian"
"27","Holocentridae",7,205,0.0341463414634146,"europa","West_Indian"
"24","Gobiidae",5,205,0.024390243902439,"europa","West_Indian"
"33","Mullidae",5,205,0.024390243902439,"europa","West_Indian"
"34","Muraenidae",5,205,0.024390243902439,"europa","West_Indian"
"3","Apogonidae",4,205,0.0195121951219512,"europa","West_Indian"
"5","Balistidae",4,205,0.0195121951219512,"europa","West_Indian"
"15","Cyprinidae",4,205,0.0195121951219512,"europa","West_Indian"
"48","Tetraodontidae",4,205,0.0195121951219512,"europa","West_Indian"
"6","Belonidae",3,205,0.0146341463414634,"europa","West_Indian"
"11","Chaetodontidae",3,205,0.0146341463414634,"europa","West_Indian"
"28","Kyphosidae",3,205,0.0146341463414634,"europa","West_Indian"
"9","Carangidae",2,205,0.00975609756097561,"europa","West_Indian"
"10","Carcharhinidae",2,205,0.00975609756097561,"europa","West_Indian"
"13","Cirrhitidae",2,205,0.00975609756097561,"europa","West_Indian"
"26","Hemiramphidae",2,205,0.00975609756097561,"europa","West_Indian"
"38","Pempheridae",2,205,0.00975609756097561,"europa","West_Indian"
"41","Pomacanthidae",2,205,0.00975609756097561,"europa","West_Indian"
"43","Scombridae",2,205,0.00975609756097561,"europa","West_Indian"
"2","Albulidae",1,205,0.0048780487804878,"europa","West_Indian"
"4","Atherinidae",1,205,0.0048780487804878,"europa","West_Indian"
"7","Blenniidae",1,205,0.0048780487804878,"europa","West_Indian"
"8","Bothidae",1,205,0.0048780487804878,"europa","West_Indian"
"12","Chanidae",1,205,0.0048780487804878,"europa","West_Indian"
"14","Congridae",1,205,0.0048780487804878,"europa","West_Indian"
"16","Dasyatidae",1,205,0.0048780487804878,"europa","West_Indian"
"17","Diodontidae",1,205,0.0048780487804878,"europa","West_Indian"
"18","Diplophidae",1,205,0.0048780487804878,"europa","West_Indian"
"19","Eleotridae",1,205,0.0048780487804878,"europa","West_Indian"
"20","Engraulidae",1,205,0.0048780487804878,"europa","West_Indian"
"21","Exocoetidae",1,205,0.0048780487804878,"europa","West_Indian"
"22","Fistulariidae",1,205,0.0048780487804878,"europa","West_Indian"
"23","Gempylidae",1,205,0.0048780487804878,"europa","West_Indian"
"25","Haemulidae",1,205,0.0048780487804878,"europa","West_Indian"
"30","Lethrinidae",1,205,0.0048780487804878,"europa","West_Indian"
"32","Mugilidae",1,205,0.0048780487804878,"europa","West_Indian"
"36","Nomeidae",1,205,0.0048780487804878,"europa","West_Indian"
"37","Ostraciidae",1,205,0.0048780487804878,"europa","West_Indian"
"39","Percidae",1,205,0.0048780487804878,"europa","West_Indian"
"40","Pinguipedidae",1,205,0.0048780487804878,"europa","West_Indian"
"45","Siluridae",1,205,0.0048780487804878,"europa","West_Indian"
"46","Sphyraenidae",1,205,0.0048780487804878,"europa","West_Indian"
"47","Synodontidae",1,205,0.0048780487804878,"europa","West_Indian"
"49","Zanclidae",1,205,0.0048780487804878,"europa","West_Indian"
"171","Labridae",20,118,0.169491525423729,"juan_de_nova","West_Indian"
"221","Myctophidae",14,118,0.11864406779661,"juan_de_nova","West_Indian"
"261","Pomacentridae",10,118,0.0847457627118644,"juan_de_nova","West_Indian"
"110","Acanthuridae",9,118,0.076271186440678,"juan_de_nova","West_Indian"
"191","Lutjanidae",7,118,0.0593220338983051,"juan_de_nova","West_Indian"
"210","Balistidae",5,118,0.0423728813559322,"juan_de_nova","West_Indian"
"161","Holocentridae",5,118,0.0423728813559322,"juan_de_nova","West_Indian"
"271","Scombridae",4,118,0.0338983050847458,"juan_de_nova","West_Indian"
"310","Belonidae",3,118,0.0254237288135593,"juan_de_nova","West_Indian"
"111","Exocoetidae",3,118,0.0254237288135593,"juan_de_nova","West_Indian"
"211","Mullidae",3,118,0.0254237288135593,"juan_de_nova","West_Indian"
"281","Serranidae",3,118,0.0254237288135593,"juan_de_nova","West_Indian"
"141","Gobiidae",2,118,0.0169491525423729,"juan_de_nova","West_Indian"
"151","Hemiramphidae",2,118,0.0169491525423729,"juan_de_nova","West_Indian"
"410","Carangidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"51","Carcharhinidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"61","Congridae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"71","Coryphaenidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"81","Dactylopteridae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"91","Diodontidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"101","Engraulidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"121","Fistulariidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"131","Gempylidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"181","Lethrinidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"201","Monacanthidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"231","Nomeidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"241","Pempheridae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"251","Pomacanthidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"291","Synodontidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"301","Uranoscopidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"311","Zanclidae",1,118,0.00847457627118644,"juan_de_nova","West_Indian"
"252","Labridae",35,261,0.134099616858238,"glorieuse","West_Indian"
"371","Pomacentridae",18,261,0.0689655172413793,"glorieuse","West_Indian"
"112","Acanthuridae",17,261,0.0651340996168582,"glorieuse","West_Indian"
"401","Serranidae",13,261,0.0498084291187739,"glorieuse","West_Indian"
"272","Lutjanidae",11,261,0.0421455938697318,"glorieuse","West_Indian"
"312","Apogonidae",9,261,0.0344827586206897,"glorieuse","West_Indian"
"331","Myctophidae",9,261,0.0344827586206897,"glorieuse","West_Indian"
"52","Balistidae",8,261,0.0306513409961686,"glorieuse","West_Indian"
"202","Gobiidae",8,261,0.0306513409961686,"glorieuse","West_Indian"
"232","Holocentridae",8,261,0.0306513409961686,"glorieuse","West_Indian"
"321","Muraenidae",8,261,0.0306513409961686,"glorieuse","West_Indian"
"441","Tetraodontidae",6,261,0.0229885057471264,"glorieuse","West_Indian"
"62","Belonidae",5,261,0.0191570881226054,"glorieuse","West_Indian"
"72","Carangidae",5,261,0.0191570881226054,"glorieuse","West_Indian"
"152","Dasyatidae",5,261,0.0191570881226054,"glorieuse","West_Indian"
"313","Mullidae",5,261,0.0191570881226054,"glorieuse","West_Indian"
"122","Cirrhitidae",3,261,0.0114942528735632,"glorieuse","West_Indian"
"182","Exocoetidae",3,261,0.0114942528735632,"glorieuse","West_Indian"
"262","Lethrinidae",3,261,0.0114942528735632,"glorieuse","West_Indian"
"361","Pomacanthidae",3,261,0.0114942528735632,"glorieuse","West_Indian"
"431","Synodontidae",3,261,0.0114942528735632,"glorieuse","West_Indian"
"212","Albulidae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"82","Carcharhinidae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"92","Chaetodontidae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"242","Kyphosidae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"302","Mugilidae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"391","Scombridae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"421","Sphyraenidae",2,261,0.00766283524904215,"glorieuse","West_Indian"
"411","Atherinidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"102","Chanidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"113","Channidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"132","Clupeidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"142","Congridae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"162","Diodontidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"172","Engraulidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"192","Fistulariidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"213","Haemulidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"222","Hemiramphidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"282","Monacanthidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"292","Moringuidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"341","Myliobatidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"351","Pempheridae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"381","Potamotrygonidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"412","Siganidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"451","Zanclidae",1,261,0.00383141762452107,"glorieuse","West_Indian"
"214","Myctophidae",12,112,0.107142857142857,"tromelin","West_Indian"
"114","Acanthuridae",10,112,0.0892857142857143,"tromelin","West_Indian"
"143","Labridae",9,112,0.0803571428571429,"tromelin","West_Indian"
"243","Pomacentridae",7,112,0.0625,"tromelin","West_Indian"
"314","Balistidae",6,112,0.0535714285714286,"tromelin","West_Indian"
"163","Lutjanidae",6,112,0.0535714285714286,"tromelin","West_Indian"
"263","Serranidae",6,112,0.0535714285714286,"tromelin","West_Indian"
"413","Belonidae",4,112,0.0357142857142857,"tromelin","West_Indian"
"133","Holocentridae",4,112,0.0357142857142857,"tromelin","West_Indian"
"193","Mullidae",4,112,0.0357142857142857,"tromelin","West_Indian"
"53","Carangidae",3,112,0.0267857142857143,"tromelin","West_Indian"
"203","Muraenidae",3,112,0.0267857142857143,"tromelin","West_Indian"
"73","Cirrhitidae",2,112,0.0178571428571429,"tromelin","West_Indian"
"93","Exocoetidae",2,112,0.0178571428571429,"tromelin","West_Indian"
"253","Scombridae",2,112,0.0178571428571429,"tromelin","West_Indian"
"215","Aphaniidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"63","Chaetodontidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"83","Diplophidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"103","Gempylidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"115","Gobiidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"123","Hemiramphidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"153","Lethrinidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"173","Monacanthidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"183","Moringuidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"223","Notosudidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"233","Pomacanthidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"273","Stomiidae",1,112,0.00892857142857143,"tromelin","West_Indian"
"283","Zanclidae",1,112,0.00892857142857143,"tromelin","West_Indian"
