"","family","n_motus","n_motus_total","prop","site","region"
"63","Pomacentridae",49,722,0.0678670360110803,"nusa_ulan","West_Papua"
"40","Labridae",47,722,0.0650969529085873,"nusa_ulan","West_Papua"
"33","Gobiidae",44,722,0.0609418282548476,"nusa_ulan","West_Papua"
"1","Acanthuridae",30,722,0.0415512465373961,"nusa_ulan","West_Papua"
"43","Lutjanidae",30,722,0.0415512465373961,"nusa_ulan","West_Papua"
"74","Serranidae",27,722,0.0373961218836565,"nusa_ulan","West_Papua"
"5","Apogonidae",24,722,0.0332409972299169,"nusa_ulan","West_Papua"
"51","Muraenidae",23,722,0.0318559556786704,"nusa_ulan","West_Papua"
"11","Carangidae",15,722,0.0207756232686981,"nusa_ulan","West_Papua"
"52","Myctophidae",15,722,0.0207756232686981,"nusa_ulan","West_Papua"
"8","Balistidae",13,722,0.018005540166205,"nusa_ulan","West_Papua"
"42","Lethrinidae",13,722,0.018005540166205,"nusa_ulan","West_Papua"
"62","Pomacanthidae",12,722,0.0166204986149584,"nusa_ulan","West_Papua"
"13","Chaetodontidae",11,722,0.0152354570637119,"nusa_ulan","West_Papua"
"81","Tetraodontidae",10,722,0.0138504155124654,"nusa_ulan","West_Papua"
"19","Dasyatidae",9,722,0.0124653739612188,"nusa_ulan","West_Papua"
"24","Eleotridae",9,722,0.0124653739612188,"nusa_ulan","West_Papua"
"36","Holocentridae",9,722,0.0124653739612188,"nusa_ulan","West_Papua"
"34","Haemulidae",8,722,0.0110803324099723,"nusa_ulan","West_Papua"
"79","Synodontidae",8,722,0.0110803324099723,"nusa_ulan","West_Papua"
"50","Mullidae",7,722,0.00969529085872576,"nusa_ulan","West_Papua"
"75","Siganidae",7,722,0.00969529085872576,"nusa_ulan","West_Papua"
"26","Engraulidae",6,722,0.00831024930747922,"nusa_ulan","West_Papua"
"49","Mugilidae",6,722,0.00831024930747922,"nusa_ulan","West_Papua"
"53","Myliobatidae",6,722,0.00831024930747922,"nusa_ulan","West_Papua"
"12","Carcharhinidae",5,722,0.00692520775623269,"nusa_ulan","West_Papua"
"18","Congridae",5,722,0.00692520775623269,"nusa_ulan","West_Papua"
"72","Scombridae",5,722,0.00692520775623269,"nusa_ulan","West_Papua"
"45","Monacanthidae",4,722,0.00554016620498615,"nusa_ulan","West_Papua"
"76","Sphyraenidae",4,722,0.00554016620498615,"nusa_ulan","West_Papua"
"3","Ambassidae",3,722,0.00415512465373961,"nusa_ulan","West_Papua"
"6","Atherinidae",3,722,0.00415512465373961,"nusa_ulan","West_Papua"
"17","Clupeidae",3,722,0.00415512465373961,"nusa_ulan","West_Papua"
"44","Malacanthidae",3,722,0.00415512465373961,"nusa_ulan","West_Papua"
"73","Scorpaenidae",3,722,0.00415512465373961,"nusa_ulan","West_Papua"
"2","Alopiidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"9","Blenniidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"10","Bramidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"20","Diodontidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"27","Ephippidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"28","Exocoetidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"32","Gerreidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"38","Kuhliidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"39","Kyphosidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"48","Moringuidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"54","Nemipteridae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"58","Osphronemidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"59","Ostraciidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"61","Plesiopidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"64","Potamotrygonidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"65","Priacanthidae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"83","Trichiuridae",2,722,0.00277008310249307,"nusa_ulan","West_Papua"
"4","Anguillidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"7","Aulostomidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"14","Chanidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"15","Cichlidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"16","Cirrhitidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"21","Drepaneidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"22","Dussumieriidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"23","Echeneidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"25","Emmelichthyidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"29","Fistulariidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"30","Fundulidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"31","Gempylidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"35","Hemiscylliidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"37","Istiophoridae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"41","Leiognathidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"46","Monocentridae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"47","Monodactylidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"55","Nomeidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"56","Ophichthidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"57","Orectolobidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"60","Pempheridae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"66","Pristigasteridae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"67","Pseudochromidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"68","Rhinobatidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"69","Rhyacichthyidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"70","Salmonidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"71","Scatophagidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"77","Stegostomatidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"78","Stomiidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"80","Terapontidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"82","Toxotidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"84","Zanclidae",1,722,0.00138504155124654,"nusa_ulan","West_Papua"
"331","Labridae",41,444,0.0923423423423423,"pulau_venu","West_Papua"
"541","Pomacentridae",31,444,0.0698198198198198,"pulau_venu","West_Papua"
"351","Lutjanidae",23,444,0.0518018018018018,"pulau_venu","West_Papua"
"110","Acanthuridae",21,444,0.0472972972972973,"pulau_venu","West_Papua"
"611","Serranidae",21,444,0.0472972972972973,"pulau_venu","West_Papua"
"410","Apogonidae",17,444,0.0382882882882883,"pulau_venu","West_Papua"
"341","Lethrinidae",13,444,0.0292792792792793,"pulau_venu","West_Papua"
"401","Muraenidae",13,444,0.0292792792792793,"pulau_venu","West_Papua"
"271","Gobiidae",11,444,0.0247747747747748,"pulau_venu","West_Papua"
"101","Carangidae",10,444,0.0225225225225225,"pulau_venu","West_Papua"
"610","Balistidae",8,444,0.018018018018018,"pulau_venu","West_Papua"
"301","Holocentridae",8,444,0.018018018018018,"pulau_venu","West_Papua"
"411","Myctophidae",8,444,0.018018018018018,"pulau_venu","West_Papua"
"121","Chaetodontidae",7,444,0.0157657657657658,"pulau_venu","West_Papua"
"191","Dasyatidae",7,444,0.0157657657657658,"pulau_venu","West_Papua"
"531","Pomacanthidae",7,444,0.0157657657657658,"pulau_venu","West_Papua"
"671","Tetraodontidae",7,444,0.0157657657657658,"pulau_venu","West_Papua"
"391","Mullidae",6,444,0.0135135135135135,"pulau_venu","West_Papua"
"281","Haemulidae",5,444,0.0112612612612613,"pulau_venu","West_Papua"
"591","Scombridae",5,444,0.0112612612612613,"pulau_venu","West_Papua"
"381","Mugilidae",4,444,0.00900900900900901,"pulau_venu","West_Papua"
"621","Siganidae",4,444,0.00900900900900901,"pulau_venu","West_Papua"
"641","Sphyraenidae",4,444,0.00900900900900901,"pulau_venu","West_Papua"
"710","Blenniidae",3,444,0.00675675675675676,"pulau_venu","West_Papua"
"111","Carcharhinidae",3,444,0.00675675675675676,"pulau_venu","West_Papua"
"221","Engraulidae",3,444,0.00675675675675676,"pulau_venu","West_Papua"
"231","Ephippidae",3,444,0.00675675675675676,"pulau_venu","West_Papua"
"661","Synodontidae",3,444,0.00675675675675676,"pulau_venu","West_Papua"
"141","Cichlidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"161","Clupeidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"241","Exocoetidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"291","Hemiscylliidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"371","Monacanthidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"421","Myliobatidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"551","Potamotrygonidae",2,444,0.0045045045045045,"pulau_venu","West_Papua"
"210","Albulidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"310","Anabantidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"510","Atherinidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"85","Bramidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"91","Callionymidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"131","Chanidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"151","Cirrhitidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"171","Congridae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"181","Cyprinodontidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"201","Eleotridae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"211","Emmelichthyidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"251","Fistulariidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"261","Gempylidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"311","Kneriidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"321","Kyphosidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"361","Melanotaeniidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"431","Nemipteridae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"441","Nomeidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"451","Opistognathidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"461","Osphronemidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"471","Ostraciidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"481","Paralepididae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"491","Pempheridae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"501","Pinguipedidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"511","Plesiopidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"521","Poeciliidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"561","Pseudochromidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"571","Rhinidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"581","Rhinobatidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"601","Scorpaenidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"631","Sparidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"651","Stegostomatidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"681","Trichiuridae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"691","Zanclidae",1,444,0.00225225225225225,"pulau_venu","West_Papua"
"322","Lutjanidae",23,363,0.0633608815426997,"triton_bay","West_Papua"
"292","Labridae",22,363,0.0606060606060606,"triton_bay","West_Papua"
"472","Pomacentridae",21,363,0.0578512396694215,"triton_bay","West_Papua"
"542","Serranidae",19,363,0.0523415977961433,"triton_bay","West_Papua"
"252","Gobiidae",15,363,0.0413223140495868,"triton_bay","West_Papua"
"412","Apogonidae",13,363,0.0358126721763085,"triton_bay","West_Papua"
"92","Carangidae",13,363,0.0358126721763085,"triton_bay","West_Papua"
"112","Acanthuridae",11,363,0.0303030303030303,"triton_bay","West_Papua"
"113","Chaetodontidae",9,363,0.0247933884297521,"triton_bay","West_Papua"
"711","Balistidae",8,363,0.0220385674931129,"triton_bay","West_Papua"
"172","Dasyatidae",8,363,0.0220385674931129,"triton_bay","West_Papua"
"212","Engraulidae",7,363,0.0192837465564738,"triton_bay","West_Papua"
"462","Pomacanthidae",7,363,0.0192837465564738,"triton_bay","West_Papua"
"102","Carcharhinidae",6,363,0.0165289256198347,"triton_bay","West_Papua"
"362","Mugilidae",6,363,0.0165289256198347,"triton_bay","West_Papua"
"522","Scombridae",6,363,0.0165289256198347,"triton_bay","West_Papua"
"132","Clupeidae",5,363,0.0137741046831956,"triton_bay","West_Papua"
"262","Haemulidae",5,363,0.0137741046831956,"triton_bay","West_Papua"
"272","Holocentridae",5,363,0.0137741046831956,"triton_bay","West_Papua"
"312","Lethrinidae",5,363,0.0137741046831956,"triton_bay","West_Papua"
"572","Synodontidae",5,363,0.0137741046831956,"triton_bay","West_Papua"
"372","Mullidae",4,363,0.0110192837465565,"triton_bay","West_Papua"
"382","Muraenidae",4,363,0.0110192837465565,"triton_bay","West_Papua"
"492","Pristigasteridae",4,363,0.0110192837465565,"triton_bay","West_Papua"
"552","Siganidae",4,363,0.0110192837465565,"triton_bay","West_Papua"
"562","Sphyraenidae",4,363,0.0110192837465565,"triton_bay","West_Papua"
