"","family","n_motus","n_motus_total","prop","station","site"
"21","Lutjanidae",12,102,0.117647058823529,"LENG003","nusa_ulan"
"18","Labridae",9,102,0.0882352941176471,"LENG003","nusa_ulan"
"33","Serranidae",8,102,0.0784313725490196,"LENG003","nusa_ulan"
"13","Gobiidae",7,102,0.0686274509803922,"LENG003","nusa_ulan"
"1","Acanthuridae",6,102,0.0588235294117647,"LENG003","nusa_ulan"
"16","Holocentridae",5,102,0.0490196078431373,"LENG003","nusa_ulan"
"28","Pomacentridae",5,102,0.0490196078431373,"LENG003","nusa_ulan"
"4","Balistidae",4,102,0.0392156862745098,"LENG003","nusa_ulan"
"5","Carangidae",4,102,0.0392156862745098,"LENG003","nusa_ulan"
"8","Dasyatidae",4,102,0.0392156862745098,"LENG003","nusa_ulan"
"14","Haemulidae",3,102,0.0294117647058824,"LENG003","nusa_ulan"
"3","Apogonidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"7","Clupeidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"23","Mullidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"25","Myctophidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"26","Myliobatidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"27","Pomacanthidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"29","Potamotrygonidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"31","Scombridae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"36","Tetraodontidae",2,102,0.0196078431372549,"LENG003","nusa_ulan"
"2","Anguillidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"6","Chaetodontidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"9","Diodontidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"10","Eleotridae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"11","Engraulidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"12","Exocoetidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"15","Hemiscylliidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"17","Kyphosidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"19","Leiognathidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"20","Lethrinidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"22","Malacanthidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"24","Muraenidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
"30","Priacanthidae",1,102,0.00980392156862745,"LENG003","nusa_ulan"
