"","family","n_motus","n_motus_total","prop","station","site","region"
"15","Labridae",15,82,0.182926829268293,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"22","Pomacentridae",11,82,0.134146341463415,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"2","Apogonidae",5,82,0.0609756097560976,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"12","Gobiidae",4,82,0.0487804878048781,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"17","Lutjanidae",4,82,0.0487804878048781,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"19","Myctophidae",4,82,0.0487804878048781,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"1","Acanthuridae",3,82,0.0365853658536585,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"13","Haemulidae",3,82,0.0365853658536585,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"4","Carangidae",2,82,0.024390243902439,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"5","Carcharhinidae",2,82,0.024390243902439,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"9","Engraulidae",2,82,0.024390243902439,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"11","Gerreidae",2,82,0.024390243902439,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"16","Lethrinidae",2,82,0.024390243902439,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"3","Blenniidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"6","Centriscidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"7","Clupeidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"8","Dasyatidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"10","Evermannellidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"14","Hemiramphidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"18","Mullidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"20","Myliobatidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"21","Pomacanthidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"23","Scatophagidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"24","Sphyraenidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"25","Synodontidae",1,82,0.0121951219512195,"GATOPE_FONDS_BLANCS_2","GATOPE","South_West_Pacific"
"241","Labridae",37,275,0.134545454545455,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"36","Pomacentridae",16,275,0.0581818181818182,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"110","Acanthuridae",13,275,0.0472727272727273,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"201","Gobiidae",11,275,0.04,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"210","Apogonidae",9,275,0.0327272727272727,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"26","Lutjanidae",8,275,0.0290909090909091,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"28","Mullidae",8,275,0.0290909090909091,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"29","Muraenidae",8,275,0.0290909090909091,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"221","Holocentridae",7,275,0.0254545454545455,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"251","Lethrinidae",7,275,0.0254545454545455,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"40","Serranidae",6,275,0.0218181818181818,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"43","Tetraodontidae",6,275,0.0218181818181818,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"45","Balistidae",5,275,0.0181818181818182,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"151","Dasyatidae",5,275,0.0181818181818182,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"30","Myctophidae",5,275,0.0181818181818182,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"35","Pomacanthidae",5,275,0.0181818181818182,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"51","Belonidae",4,275,0.0145454545454545,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"27","Monacanthidae",4,275,0.0145454545454545,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"91","Carcharhinidae",3,275,0.0109090909090909,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"33","Ostraciidae",3,275,0.0109090909090909,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
"34","Pinguipedidae",3,275,0.0109090909090909,"STVINCENT_FONDS_BLANCS_2","STVINCENT","South_West_Pacific"
