"","family","n_motus","n_motus_total","prop","station","site","region"
"10","Lutjanidae",3,20,0.15,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"4","Clupeidae",2,20,0.1,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"7","Gobiidae",2,20,0.1,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"8","Labridae",2,20,0.1,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"1","Balistidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"2","Carangidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"3","Centrarchidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"5","Coryphaenidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"6","Exocoetidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"9","Loricariidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"11","Myctophidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"12","Nomeidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"13","Pomacentridae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"14","Serranidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"15","Sparidae",1,20,0.05,"petit_cul_de_sac_marin_Large","guadeloupe","Caribbean"
"61","Engraulidae",4,26,0.153846153846154,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"121","Scaridae",3,26,0.115384615384615,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"17","Acanthuridae",2,26,0.0769230769230769,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"21","Carangidae",2,26,0.0769230769230769,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"51","Clupeidae",2,26,0.0769230769230769,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"71","Labridae",2,26,0.0769230769230769,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"81","Lutjanidae",2,26,0.0769230769230769,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"31","Centrarchidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"41","Chaetodontidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"91","Mullidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"101","Myliobatidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"111","Pomacentridae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"131","Scombridae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"141","Scorpaenidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"151","Sparidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"16","Sphyraenidae",1,26,0.0384615384615385,"petit_cul_de_sac_marin_cote","guadeloupe","Caribbean"
"18","Apogonidae",1,3,0.333333333333333,"sec_nord","guadeloupe","Caribbean"
"22","Clupeidae",1,3,0.333333333333333,"sec_nord","guadeloupe","Caribbean"
"32","Exocoetidae",1,3,0.333333333333333,"sec_nord","guadeloupe","Caribbean"
"52","Myctophidae",8,19,0.421052631578947,"sec_sud_1","guadeloupe","Caribbean"
"23","Exocoetidae",4,19,0.210526315789474,"sec_sud_1","guadeloupe","Caribbean"
"72","Scombridae",3,19,0.157894736842105,"sec_sud_1","guadeloupe","Caribbean"
"19","Bramidae",1,19,0.0526315789473684,"sec_sud_1","guadeloupe","Caribbean"
"33","Holocentridae",1,19,0.0526315789473684,"sec_sud_1","guadeloupe","Caribbean"
"42","Labridae",1,19,0.0526315789473684,"sec_sud_1","guadeloupe","Caribbean"
"62","Nomeidae",1,19,0.0526315789473684,"sec_sud_1","guadeloupe","Caribbean"
"92","Labridae",4,28,0.142857142857143,"pointe_ferry","guadeloupe","Caribbean"
"181","Scaridae",3,28,0.107142857142857,"pointe_ferry","guadeloupe","Caribbean"
"63","Exocoetidae",2,28,0.0714285714285714,"pointe_ferry","guadeloupe","Caribbean"
"73","Gobiidae",2,28,0.0714285714285714,"pointe_ferry","guadeloupe","Caribbean"
"122","Myctophidae",2,28,0.0714285714285714,"pointe_ferry","guadeloupe","Caribbean"
"161","Pomacentridae",2,28,0.0714285714285714,"pointe_ferry","guadeloupe","Caribbean"
"110","Acanthuridae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"24","Atherinidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"34","Carangidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"43","Clupeidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"53","Diodontidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"82","Holocentridae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"102","Lutjanidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"112","Muraenidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"132","Nemichthyidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"142","Nomeidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"152","Pomacanthidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"171","Priacanthidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"191","Scorpaenidae",1,28,0.0357142857142857,"pointe_ferry","guadeloupe","Caribbean"
"83","Labridae",5,26,0.192307692307692,"anse_bertrand_cote","guadeloupe","Caribbean"
"143","Scaridae",3,26,0.115384615384615,"anse_bertrand_cote","guadeloupe","Caribbean"
"113","Acanthuridae",2,26,0.0769230769230769,"anse_bertrand_cote","guadeloupe","Caribbean"
"35","Carangidae",2,26,0.0769230769230769,"anse_bertrand_cote","guadeloupe","Caribbean"
"133","Pomacentridae",2,26,0.0769230769230769,"anse_bertrand_cote","guadeloupe","Caribbean"
"25","Atherinidae",1,26,0.0384615384615385,"anse_bertrand_cote","guadeloupe","Caribbean"
"44","Clupeidae",1,26,0.0384615384615385,"anse_bertrand_cote","guadeloupe","Caribbean"
"54","Exocoetidae",1,26,0.0384615384615385,"anse_bertrand_cote","guadeloupe","Caribbean"
