"","family","n_motus","n_motus_total","prop","station","site"
"21","Labridae",16,121,0.132231404958678,"europa_distance_50m","europa"
"30","Pomacentridae",14,121,0.115702479338843,"europa_distance_50m","europa"
"1","Acanthuridae",11,121,0.0909090909090909,"europa_distance_50m","europa"
"22","Lutjanidae",6,121,0.0495867768595041,"europa_distance_50m","europa"
"19","Holocentridae",5,121,0.0413223140495868,"europa_distance_50m","europa"
"4","Balistidae",4,121,0.0330578512396694,"europa_distance_50m","europa"
"10","Cyprinidae",4,121,0.0330578512396694,"europa_distance_50m","europa"
"32","Serranidae",4,121,0.0330578512396694,"europa_distance_50m","europa"
"5","Belonidae",3,121,0.0247933884297521,"europa_distance_50m","europa"
"20","Kyphosidae",3,121,0.0247933884297521,"europa_distance_50m","europa"
"24","Mullidae",3,121,0.0247933884297521,"europa_distance_50m","europa"
"25","Muraenidae",3,121,0.0247933884297521,"europa_distance_50m","europa"
"26","Myctophidae",3,121,0.0247933884297521,"europa_distance_50m","europa"
"2","Apogonidae",2,121,0.0165289256198347,"europa_distance_50m","europa"
"8","Chaetodontidae",2,121,0.0165289256198347,"europa_distance_50m","europa"
"9","Cirrhitidae",2,121,0.0165289256198347,"europa_distance_50m","europa"
"18","Hemiramphidae",2,121,0.0165289256198347,"europa_distance_50m","europa"
"29","Pomacanthidae",2,121,0.0165289256198347,"europa_distance_50m","europa"
"34","Tetraodontidae",2,121,0.0165289256198347,"europa_distance_50m","europa"
"3","Atherinidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"6","Blenniidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"7","Carangidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"11","Dasyatidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"12","Diplophidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"13","Eleotridae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"14","Engraulidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"15","Exocoetidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"16","Gobiidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"17","Haemulidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"23","Mugilidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"27","Percidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"28","Pinguipedidae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"31","Scombridae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"33","Siluridae",1,121,0.00826446280991736,"europa_distance_50m","europa"
"261","Labridae",21,160,0.13125,"europa_distance_0m","europa"
"37","Pomacentridae",18,160,0.1125,"europa_distance_0m","europa"
"110","Acanthuridae",11,160,0.06875,"europa_distance_0m","europa"
"281","Lutjanidae",9,160,0.05625,"europa_distance_0m","europa"
"39","Serranidae",8,160,0.05,"europa_distance_0m","europa"
"241","Holocentridae",6,160,0.0375,"europa_distance_0m","europa"
"321","Myctophidae",5,160,0.03125,"europa_distance_0m","europa"
"51","Balistidae",4,160,0.025,"europa_distance_0m","europa"
"151","Cyprinidae",4,160,0.025,"europa_distance_0m","europa"
"221","Gobiidae",4,160,0.025,"europa_distance_0m","europa"
"301","Mullidae",4,160,0.025,"europa_distance_0m","europa"
"311","Muraenidae",4,160,0.025,"europa_distance_0m","europa"
"61","Belonidae",3,160,0.01875,"europa_distance_0m","europa"
"251","Kyphosidae",3,160,0.01875,"europa_distance_0m","europa"
"310","Apogonidae",2,160,0.0125,"europa_distance_0m","europa"
"101","Carcharhinidae",2,160,0.0125,"europa_distance_0m","europa"
"111","Chaetodontidae",2,160,0.0125,"europa_distance_0m","europa"
"210","Albulidae",1,160,0.00625,"europa_distance_0m","europa"
"45","Atherinidae",1,160,0.00625,"europa_distance_0m","europa"
"71","Blenniidae",1,160,0.00625,"europa_distance_0m","europa"
"81","Bothidae",1,160,0.00625,"europa_distance_0m","europa"
"91","Carangidae",1,160,0.00625,"europa_distance_0m","europa"
"121","Chanidae",1,160,0.00625,"europa_distance_0m","europa"
"131","Cirrhitidae",1,160,0.00625,"europa_distance_0m","europa"
"141","Congridae",1,160,0.00625,"europa_distance_0m","europa"
"161","Dasyatidae",1,160,0.00625,"europa_distance_0m","europa"
"171","Diodontidae",1,160,0.00625,"europa_distance_0m","europa"
"181","Eleotridae",1,160,0.00625,"europa_distance_0m","europa"
"191","Exocoetidae",1,160,0.00625,"europa_distance_0m","europa"
"201","Fistulariidae",1,160,0.00625,"europa_distance_0m","europa"
"211","Gempylidae",1,160,0.00625,"europa_distance_0m","europa"
"231","Haemulidae",1,160,0.00625,"europa_distance_0m","europa"
"271","Lethrinidae",1,160,0.00625,"europa_distance_0m","europa"
"291","Mugilidae",1,160,0.00625,"europa_distance_0m","europa"
"331","Nomeidae",1,160,0.00625,"europa_distance_0m","europa"
"341","Ostraciidae",1,160,0.00625,"europa_distance_0m","europa"
"35","Percidae",1,160,0.00625,"europa_distance_0m","europa"
"36","Pomacanthidae",1,160,0.00625,"europa_distance_0m","europa"
"38","Scombridae",1,160,0.00625,"europa_distance_0m","europa"
"40","Siluridae",1,160,0.00625,"europa_distance_0m","europa"
"41","Sphyraenidae",1,160,0.00625,"europa_distance_0m","europa"
"42","Synodontidae",1,160,0.00625,"europa_distance_0m","europa"
"43","Tetraodontidae",1,160,0.00625,"europa_distance_0m","europa"
