"","family","n_motus","n_motus_total","prop","station","site","region"
"17","Labridae",11,93,0.118279569892473,"lagon_faka","fakarava","Central_Pacific"
"26","Pomacentridae",8,93,0.0860215053763441,"lagon_faka","fakarava","Central_Pacific"
"14","Gobiidae",7,93,0.0752688172043011,"lagon_faka","fakarava","Central_Pacific"
"1","Acanthuridae",6,93,0.0645161290322581,"lagon_faka","fakarava","Central_Pacific"
"29","Serranidae",5,93,0.0537634408602151,"lagon_faka","fakarava","Central_Pacific"
"31","Tetraodontidae",5,93,0.0537634408602151,"lagon_faka","fakarava","Central_Pacific"
"10","Chaetodontidae",4,93,0.043010752688172,"lagon_faka","fakarava","Central_Pacific"
"15","Holocentridae",4,93,0.043010752688172,"lagon_faka","fakarava","Central_Pacific"
"22","Mullidae",4,93,0.043010752688172,"lagon_faka","fakarava","Central_Pacific"
"5","Balistidae",3,93,0.032258064516129,"lagon_faka","fakarava","Central_Pacific"
"9","Carcharhinidae",3,93,0.032258064516129,"lagon_faka","fakarava","Central_Pacific"
"18","Lethrinidae",3,93,0.032258064516129,"lagon_faka","fakarava","Central_Pacific"
"19","Lutjanidae",3,93,0.032258064516129,"lagon_faka","fakarava","Central_Pacific"
"23","Muraenidae",3,93,0.032258064516129,"lagon_faka","fakarava","Central_Pacific"
"27","Scaridae",3,93,0.032258064516129,"lagon_faka","fakarava","Central_Pacific"
"3","Apogonidae",2,93,0.021505376344086,"lagon_faka","fakarava","Central_Pacific"
"8","Carangidae",2,93,0.021505376344086,"lagon_faka","fakarava","Central_Pacific"
"21","Mugilidae",2,93,0.021505376344086,"lagon_faka","fakarava","Central_Pacific"
"24","Myctophidae",2,93,0.021505376344086,"lagon_faka","fakarava","Central_Pacific"
"28","Scombridae",2,93,0.021505376344086,"lagon_faka","fakarava","Central_Pacific"
"2","Alepocephalidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"4","Aulostomidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"6","Belonidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"7","Blenniidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"11","Engraulidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"12","Fistulariidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"13","Ginglymostomatidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"16","Kuhliidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"20","Monacanthidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"25","Pomacanthidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"30","Siganidae",1,93,0.010752688172043,"lagon_faka","fakarava","Central_Pacific"
"110","Acanthuridae",3,31,0.0967741935483871,"passe_faka_T","fakarava","Central_Pacific"
"51","Carcharhinidae",3,31,0.0967741935483871,"passe_faka_T","fakarava","Central_Pacific"
"81","Holocentridae",3,31,0.0967741935483871,"passe_faka_T","fakarava","Central_Pacific"
"101","Lethrinidae",3,31,0.0967741935483871,"passe_faka_T","fakarava","Central_Pacific"
"171","Serranidae",3,31,0.0967741935483871,"passe_faka_T","fakarava","Central_Pacific"
"32","Balistidae",2,31,0.0645161290322581,"passe_faka_T","fakarava","Central_Pacific"
"141","Pomacentridae",2,31,0.0645161290322581,"passe_faka_T","fakarava","Central_Pacific"
"161","Scombridae",2,31,0.0645161290322581,"passe_faka_T","fakarava","Central_Pacific"
"210","Aulostomidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"41","Carangidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"61","Chaetodontidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"71","Engraulidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"91","Labridae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"111","Lutjanidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"121","Muraenidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"131","Myctophidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"151","Priacanthidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"181","Tetraodontidae",1,31,0.032258064516129,"passe_faka_T","fakarava","Central_Pacific"
"112","Acanthuridae",3,28,0.107142857142857,"passe_faka_l","fakarava","Central_Pacific"
"132","Lethrinidae",3,28,0.107142857142857,"passe_faka_l","fakarava","Central_Pacific"
"142","Lutjanidae",3,28,0.107142857142857,"passe_faka_l","fakarava","Central_Pacific"
"182","Serranidae",3,28,0.107142857142857,"passe_faka_l","fakarava","Central_Pacific"
"72","Carcharhinidae",2,28,0.0714285714285714,"passe_faka_l","fakarava","Central_Pacific"
"113","Holocentridae",2,28,0.0714285714285714,"passe_faka_l","fakarava","Central_Pacific"
"211","Alepocephalidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"33","Apogonidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"42","Aulostomidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"52","Balistidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"62","Carangidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"82","Chaetodontidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"92","Engraulidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"102","Gobiidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"122","Labridae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"152","Mullidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"162","Myctophidae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"172","Scombridae",1,28,0.0357142857142857,"passe_faka_l","fakarava","Central_Pacific"
"163","Labridae",13,89,0.146067415730337,"passe_faka_1","fakarava","Central_Pacific"
"114","Acanthuridae",7,89,0.0786516853932584,"passe_faka_1","fakarava","Central_Pacific"
"123","Gobiidae",6,89,0.0674157303370786,"passe_faka_1","fakarava","Central_Pacific"
"183","Lutjanidae",5,89,0.0561797752808989,"passe_faka_1","fakarava","Central_Pacific"
"241","Pomacentridae",5,89,0.0561797752808989,"passe_faka_1","fakarava","Central_Pacific"
"83","Carcharhinidae",4,89,0.0449438202247191,"passe_faka_1","fakarava","Central_Pacific"
"212","Mullidae",4,89,0.0449438202247191,"passe_faka_1","fakarava","Central_Pacific"
"53","Balistidae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"73","Carangidae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"93","Chaetodontidae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"133","Holocentridae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"261","Scaridae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"271","Scombridae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"281","Serranidae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"301","Tetraodontidae",3,89,0.0337078651685393,"passe_faka_1","fakarava","Central_Pacific"
"34","Apogonidae",2,89,0.0224719101123595,"passe_faka_1","fakarava","Central_Pacific"
"173","Lethrinidae",2,89,0.0224719101123595,"passe_faka_1","fakarava","Central_Pacific"
"201","Mugilidae",2,89,0.0224719101123595,"passe_faka_1","fakarava","Central_Pacific"
"221","Muraenidae",2,89,0.0224719101123595,"passe_faka_1","fakarava","Central_Pacific"
"231","Pomacanthidae",2,89,0.0224719101123595,"passe_faka_1","fakarava","Central_Pacific"
"213","Alepocephalidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"43","Aulostomidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"63","Belonidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"103","Fistulariidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"115","Ginglymostomatidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"143","Istiophoridae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"153","Kuhliidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"191","Monacanthidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"251","Priacanthidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"291","Siganidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
"311","Zanclidae",1,89,0.0112359550561798,"passe_faka_1","fakarava","Central_Pacific"
