"","family","n_motus","n_motus_total","prop","station","site","region"
"21","Lutjanidae",12,102,0.117647058823529,"LENG003","nusa_ulan","Central_IndoPacific"
"18","Labridae",8,102,0.0784313725490196,"LENG003","nusa_ulan","Central_IndoPacific"
"34","Serranidae",8,102,0.0784313725490196,"LENG003","nusa_ulan","Central_IndoPacific"
"13","Gobiidae",7,102,0.0686274509803922,"LENG003","nusa_ulan","Central_IndoPacific"
"1","Acanthuridae",6,102,0.0588235294117647,"LENG003","nusa_ulan","Central_IndoPacific"
"16","Holocentridae",5,102,0.0490196078431373,"LENG003","nusa_ulan","Central_IndoPacific"
"28","Pomacentridae",5,102,0.0490196078431373,"LENG003","nusa_ulan","Central_IndoPacific"
"4","Balistidae",4,102,0.0392156862745098,"LENG003","nusa_ulan","Central_IndoPacific"
"5","Carangidae",4,102,0.0392156862745098,"LENG003","nusa_ulan","Central_IndoPacific"
"8","Dasyatidae",4,102,0.0392156862745098,"LENG003","nusa_ulan","Central_IndoPacific"
"14","Haemulidae",3,102,0.0294117647058824,"LENG003","nusa_ulan","Central_IndoPacific"
"3","Apogonidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"7","Clupeidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"23","Mullidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"25","Myctophidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"26","Myliobatidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"27","Pomacanthidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"29","Potamotrygonidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"32","Scombridae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"37","Tetraodontidae",2,102,0.0196078431372549,"LENG003","nusa_ulan","Central_IndoPacific"
"2","Anguillidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"6","Chaetodontidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"9","Diodontidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"10","Eleotridae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"11","Engraulidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"12","Exocoetidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"15","Hemiscylliidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"17","Kyphosidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"19","Leiognathidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"20","Lethrinidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"22","Malacanthidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"24","Muraenidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"30","Priacanthidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"31","Scaridae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"33","Scorpaenidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"35","Siganidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"36","Sphyraenidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"38","Zanclidae",1,102,0.00980392156862745,"LENG003","nusa_ulan","Central_IndoPacific"
"201","Labridae",30,207,0.144927536231884,"LENG013","pulau_venu","Central_IndoPacific"
"331","Pomacentridae",24,207,0.115942028985507,"LENG013","pulau_venu","Central_IndoPacific"
