"","scale","total","turnover","nestedness"
"1","inter-province",0.879058009579564,0.732253313696613,0.146804695882951
"2","inter-site",0.772690763052209,0.638569604086845,0.134121158965363
"3","inter-site",0.537878787878788,0.371134020618557,0.166744767260231
"4","inter-site",0.917712284797199,0.831238779174147,0.0864735056230515
"5","inter-site",0.868978295394389,0.795369987598181,0.0736083077962075
"6","inter-site",0.864435146443515,0.752293577981651,0.112141568461863
"7","inter-site",NA,NA,NA
"8","inter-site",0.423728813559322,0.306122448979592,0.11760636457973
"9","inter-site",0.395348837209302,0,0.395348837209302
"10","inter-site",0.513513513513513,0.314285714285714,0.199227799227799
"11","inter-site",0.827924528301887,0.627450980392157,0.20047354790973
"12","inter-site",0.70935960591133,0.542635658914729,0.166723946996601
"13","inter-site",0.85043446108338,0.756398675097862,0.0940357859855175
"14","inter-site",0.847794649313087,0.696904247660187,0.1508904016529
"15","inter-site",0.26865671641791,0.19672131147541,0.0719354049425006
"16","inter-site",0.619047619047619,0.428571428571429,0.19047619047619
"17","inter-site",0.566929133858268,0.421052631578947,0.14587650227932
"18","inter-site",0.576576576576577,0.253968253968254,0.322608322608323
"19","inter-site",0.592727272727273,0.434343434343434,0.158383838383838
"20","inter-site",0.208333333333333,0,0.208333333333333
"21","inter-site",0.173913043478261,0.173913043478261,0
"22","inter-site",0.4,0.117647058823529,0.282352941176471
"23","inter-site",NA,NA,NA
"24","inter-site",0.356164383561644,0.145454545454545,0.210709838107098
"25","inter-site",0.216216216216216,0.121212121212121,0.095004095004095
"26","inter-station",0.743542435424354,0.627345844504021,0.116196590920333
"27","inter-station",0.464285714285714,0.347826086956522,0.116459627329193
"28","inter-station",0.51063829787234,0.303030303030303,0.207607994842037
"29","inter-station",NA,NA,NA
"30","inter-station",0.776774193548387,0.623093681917211,0.153680511631176
"31","inter-station",0.457142857142857,0.40625,0.0508928571428571
"32","inter-station",0.657718120805369,0.514285714285714,0.143432406519655
"33","inter-station",0.939033784527347,0.896448598130841,0.0425851863965056
"34","inter-station",0.796666666666667,0.706730769230769,0.0899358974358974
"35","inter-station",NA,NA,NA
"36","inter-station",0.625,0.53125,0.09375
"37","inter-station",0.633608815426997,0.516363636363636,0.117245179063361
"38","inter-station",NA,NA,NA
"39","inter-station",0.749003984063745,0.54014598540146,0.208857998662285
"40","inter-station",0.802794196668458,0.726323639075317,0.0764705575931409
"41","inter-station",0.746428571428571,0.637755102040816,0.108673469387755
"42","inter-station",NA,NA,NA
"43","inter-station",0.391304347826087,0.125,0.266304347826087
"44","inter-station",0.7,0.571428571428571,0.128571428571429
"45","inter-station",NA,NA,NA
"46","inter-station",0.660377358490566,0.538461538461538,0.121915820029028
"47","inter-station",0.684210526315789,0.560975609756098,0.123234916559692
"48","inter-station",0.682926829268293,0.506329113924051,0.176597715344242
"49","inter-station",0.837913628715648,0.736554238833181,0.101359389882466
"50","inter-station",0.651515151515151,0.452380952380952,0.199134199134199
"51","inter-station",0.887158296249205,0.830871843735112,0.0562864525140934
"52","inter-station",0.603174603174603,0.427480916030534,0.175693687144069
"53","inter-station",0.761904761904762,0.545454545454545,0.216450216450216
"54","inter-station",0.804843304843305,0.726546906187625,0.0782963986556801
"55","inter-station",0.728395061728395,0.611764705882353,0.116630355846042
"56","inter-station",0.535135135135135,0.394366197183099,0.140768937952037
"57","inter-station",0.461538461538462,0.363636363636364,0.0979020979020979
"58","inter-station",0.44,0.125,0.315
"59","inter-station",NA,NA,NA
"60","inter-station",0.79694430754066,0.679626749611198,0.117317557929463
"61","inter-station",0.517241379310345,0.416666666666667,0.100574712643678
"62","inter-station",0.644171779141104,0.560606060606061,0.0835657185350437
"63","inter-station",NA,NA,NA
"64","inter-station",0.758814102564103,0.6487747957993,0.110039306764803
"65","inter-station",0.694682675814751,0.55050505050505,0.144177625309701
"66","inter-station",0.303030303030303,0.08,0.223030303030303
"67","inter-station",0.708428246013667,0.552447552447552,0.155980693566115
"68","inter-station",0.701923076923077,0.537313432835821,0.164609644087256
"69","inter-station",0.708571428571429,0.514285714285714,0.194285714285714
"70","inter-station",0.720848056537102,0.587826086956522,0.133021969580581
"71","inter-station",0.742230347349177,0.563467492260062,0.178762855089115
"72","inter-station",0.672064777327935,0.470588235294118,0.201476542033818
"73","inter-station",0.686354378818737,0.583783783783784,0.102570595034953
"74","inter-station",NA,NA,NA
"75","inter-station",0.641025641025641,0.525423728813559,0.115601912212082
"76","inter-station",0.555555555555556,0.511111111111111,0.0444444444444444
"77","inter-station",0.428571428571429,0.25,0.178571428571429
"78","inter-station",NA,NA,NA
"79","inter-station",0.505494505494505,0.328358208955224,0.177136296539282
"80","inter-station",0.571428571428571,0.48936170212766,0.0820668693009119
"81","inter-station",0.476190476190476,0.352941176470588,0.123249299719888
"82","inter-station",0.50259067357513,0.351351351351351,0.151239322223778
"83","inter-station",0.428571428571429,0.142857142857143,0.285714285714286
"84","inter-station",0.48,0.48,0
"85","inter-station",NA,NA,NA
