"family","n_motus","n_asymtote"
"Acanthuridae","48",53
"Apogonidae","62",75
"Balistidae","21",22
"Carangidae","39",44
"Carcharhinidae","14",15
"Chaetodontidae","20",23
"Clupeidae","18",19
"Dasyatidae","15",17
"Eleotridae","15",18
"Engraulidae","19",27
"Gobiidae","97",147
"Holocentridae","21",23
"Labridae","104",117
"Lethrinidae","21",21
"Lutjanidae","56",63
"Mugilidae","18",22
"Mullidae","16",19
"Muraenidae","49",67
"Myctophidae","47",60
"Pomacanthidae","21",24
"Pomacentridae","91",105
"Scombridae","16",19
"Serranidae","46",51
"Synodontidae","11",12
"Tetraodontidae","16",19
