"region","step","Reads","MOTUs","Species"
"Caribbean","before",51576345,14152,102
"Caribbean","tenreads",51514885,1163,86
"Caribbean","blanks",51514885,1163,86
"Caribbean","fishonly",45949687,947,83
"Caribbean","readlength",45947315,944,83
"Caribbean","PCR_all",45787628,565,74
"Caribbean","LULU",37335866,384,72
"Caribbean","LULU_family",26522373,242,72
"Central_Indo_Pacific","before",333369000,82099,276
"Central_Indo_Pacific","tenreads",333116815,4595,257
"Central_Indo_Pacific","blanks",333116815,4595,257
"Central_Indo_Pacific","fishonly",250191799,3268,251
"Central_Indo_Pacific","readlength",250191765,3267,251
"Central_Indo_Pacific","PCR_all",247327088,1655,217
"Central_Indo_Pacific","LULU",200583481,1066,203
"Central_Indo_Pacific","LULU_family",165650749,760,203
"Central_Pacific","before",11004457,2753,65
"Central_Pacific","tenreads",10997692,343,60
"Central_Pacific","blanks",10997692,343,60
"Central_Pacific","fishonly",10081824,290,59
"Central_Pacific","readlength",10081824,290,59
"Central_Pacific","PCR_all",9788652,168,46
"Central_Pacific","LULU",9546270,147,46
"Central_Pacific","LULU_family",8315208,117,46
"South_West_Pacific","before",72329350,19049,215
"South_West_Pacific","tenreads",72283094,1621,211
"South_West_Pacific","blanks",72283094,1621,211
"South_West_Pacific","fishonly",65289934,1394,208
"South_West_Pacific","readlength",65289934,1394,208
"South_West_Pacific","PCR_all",64420254,995,189
"South_West_Pacific","LULU",58511803,820,180
"South_West_Pacific","LULU_family",43615329,605,180
"West_Indian","before",36178115,13931,122
"West_Indian","tenreads",36142078,1090,117
"West_Indian","blanks",36142078,1090,117
"West_Indian","fishonly",31204154,927,114
"West_Indian","readlength",31204154,927,114
"West_Indian","PCR_all",30634904,476,98
"West_Indian","LULU",29332594,350,93
"West_Indian","LULU_family",26334222,280,93
